ACAO_POLITICA;Plano de Ensino para o Pessoal Subalterno da Armada
ACAO_POLITICA;Plano de Equivalência Salarial ( PES )
ACAO_POLITICA;Plano de Erradicação do mosquito Aedes Aegypti
ACAO_POLITICA;Plano de Estabilização
ACAO_POLITICA;Plano de Estabilização da Economia
ACAO_POLITICA;Plano de Estabilização Econômica
ACAO_POLITICA;Plano de Estabilização Monetária ( PEM )
ACAO_POLITICA;Plano de Expansão da Indústria Açucareira Nacional
ACAO_POLITICA;Plano de Habitação Popular
ACAO_POLITICA;Plano de Integração Nacional ( PIN )
ACAO_POLITICA;Plano de Integração Social ( PIS )
ACAO_POLITICA;Plano de Melhoramento Logístico para a Marinha do Brasil
ACAO_POLITICA;Plano de Metas
ACAO_POLITICA;Plano de Metas de Juscelino Kubitschek
ACAO_POLITICA;Plano de Metas do Governo ( Plameg )
ACAO_POLITICA;Plano de Metas Governamentais
ACAO_POLITICA;Plano de Mobilização Nacional contra o Analfabetismo
ACAO_POLITICA;Plano de Motomecanização do Exército
ACAO_POLITICA;Plano de Municipalização do Turismo
ACAO_POLITICA;Plano de Obras
ACAO_POLITICA;Plano de Obras de Emergência
ACAO_POLITICA;Plano de Obras do Desenvolvimento do Estado de Goiás
ACAO_POLITICA;Plano de Obras e Equipamentos
ACAO_POLITICA;Plano de Outorgas
ACAO_POLITICA;Plano de Padronização da Contabilidade Bancária
ACAO_POLITICA;Plano de Parcerias Público Privadas ( PLP )
ACAO_POLITICA;Plano de Paridade de Vencimentos entre civis e militares
ACAO_POLITICA;Plano de Pavimentação do Estado de São Paulo
ACAO_POLITICA;Plano de Planejamento Plurianual ( PPA )
ACAO_POLITICA;Plano de Pronta Ação
ACAO_POLITICA;Plano de Realização de Obras
ACAO_POLITICA;Plano de Reaparelhamento
ACAO_POLITICA;Plano de Recuperação da Estrada de Ferro do Piauí
ACAO_POLITICA;Plano de Recuperação do Setor de Energia Elétrica ( PRS )
ACAO_POLITICA;Plano de Recuperação Econômica do Estado
ACAO_POLITICA;Plano de Recuperação Econômico-Rural da Lavoura Cacaueira ( Ceplac )
ACAO_POLITICA;Plano de Recuperação Setorial ( PRS )
ACAO_POLITICA;Plano de Refinarias da Petrobras
ACAO_POLITICA;Plano de Reforma Agrária
ACAO_POLITICA;Plano de Reorganização do Ministério da Educação e Saúde
ACAO_POLITICA;Plano de Retenção
ACAO_POLITICA;Plano de Revitalização das Ferrovias
ACAO_POLITICA;Plano de Serviços e Investimentos Públicos
ACAO_POLITICA;Plano de Sindicalização Rural
ACAO_POLITICA;Plano de Telecomunicações de Minas Gerais
ACAO_POLITICA;Plano de Transformação do Sistema Eletrobrás
ACAO_POLITICA;Plano de Urbanização de Fortaleza
ACAO_POLITICA;Plano de urbanização de Goiânia
ACAO_POLITICA;Plano de Valorização
ACAO_POLITICA;Plano de Valorização da Amazônia
ACAO_POLITICA;Plano de Valorização da Fronteira Sudoeste do País
ACAO_POLITICA;Plano de Valorização Econômica da Amazônia
ACAO_POLITICA;Plano de Valorização Econômica da Amazônia ( SPVEA )
ACAO_POLITICA;Plano de Viação Geral
ACAO_POLITICA;Plano de Viação Nacional
ACAO_POLITICA;Plano Diretor
ACAO_POLITICA;Plano Diretor da Barra da Tijuca
ACAO_POLITICA;Plano Diretor da capital federal
ACAO_POLITICA;Plano Diretor da cidade
