lemma,poscode,surface
Guerra da Lagosta,3,Guerra da Lagosta
Segunda Ocupação da República Dominicana,3,Segunda Ocupação da República Dominicana
Guerrilha do Araguaia,3,Guerrilha do Araguaia
Operação Traíra,3,Operação Traíra
Guerra Luso-Holandesa,3,Guerra Luso-Holandesa
Guerra Luso-Espanhola,3,Guerra Luso-Espanhola
Guerra Guaranítica,3,Guerra Guaranítica
Invasão da Guiana Francesa,3,Invasão da Guiana Francesa
Primeira Campanha da Cisplatina,3,Primeira Campanha da Cisplatina
Guerra contra Artigas,3,Guerra contra Artigas
Guerra de Independência do Brasil,3,Guerra de Independência do Brasil
Confederação do Equador,3,Confederação do Equador
Guerra da Cisplatina,3,Guerra da Cisplatina
Revolta dos Mercenários,3,Revolta dos Mercenários
Cabanagem,3,Cabanagem
Revolta dos Malês,3,Revolta dos Malês
Guerra dos Farrapos,3,Guerra dos Farrapos
Balaiada,3,Balaiada
Revolta dos Praieiros,3,Revolta dos Praieiros
Guerra do Prata,3,Guerra do Prata
Guerra do Uruguai,3,Guerra do Uruguai
Guerra do Paraguai,3,Guerra do Paraguai
França Antártica,3,França Antártica
Insurreição Pernambucana,3,Insurreição Pernambucana
Guerra dos Bárbaros,3,Guerra dos Bárbaros
Guerra dos Emboabas,3,Guerra dos Emboabas
Guerra de Independência do Brasil,3,Guerra de Independência do Brasil
Guerra Cisplatina,3,Guerra Cisplatina
Guerra Civil Uruguaia,3,Guerra Civil Uruguaia
Guerra do Prata,3,Guerra do Prata
Guerra contra Aguirre,3,Guerra contra Aguirre
Guerra do Paraguai,3,Guerra do Paraguai
Primeira Guerra Mundial (veja: Brasil na Primeira Guerra Mundial),3,Primeira Guerra Mundial (veja: Brasil na Primeira Guerra Mundial)
Segunda Guerra Mundial (veja: Força Expedicionária Brasileira),3,Segunda Guerra Mundial (veja: Força Expedicionária Brasileira)
Operação Power Pack (Ocupação americana da República Dominicana (19651966),3,Operação Power Pack (Ocupação americana da República Dominicana (19651966)
Confederação do Equador,3,Confederação do Equador
Guerra dos Farrapos,3,Guerra dos Farrapos
Guerra de Canudos,3,Guerra de Canudos
Revolução Constitucionalista,3,Revolução Constitucionalista
Guerra do Contestado,3,Guerra do Contestado
Balaiada,3,Balaiada
Cabanagem,3,Cabanagem
