lemma,poscode,surface
anteprojeto do Código Penal Brasileiro,3,anteprojeto do Código Penal Brasileiro
anteprojeto do Estatuto do Petróleo,3,anteprojeto do Estatuto do Petróleo
anteprojeto do Governo Provisório,3,anteprojeto do Governo Provisório
anteprojeto do Metropolitano do Rio de Janeiro,3,anteprojeto do Metropolitano do Rio de Janeiro
anteprojeto do Plano de Valorização Econômica da Amazônia,3,anteprojeto do Plano de Valorização Econômica da Amazônia
anteprojeto do Plano Salte ao Congresso,3,anteprojeto do Plano Salte ao Congresso
anteprojeto do Poder Legislativo,3,anteprojeto do Poder Legislativo
Anteprojeto do Regimento do Itamarati,3,Anteprojeto do Regimento do Itamarati
Anteprojeto do Regulamento para os Serviços Diplomáticos,3,Anteprojeto do Regulamento para os Serviços Diplomáticos
Constituição,3,Constituição
Constituição Estadual,3,Constituição Estadual
Constituição Estadual de (ano),3,Constituição Estadual de (ano)
Constituição Federal,3,Constituição Federal
Constituição Federal de (ano),3,Constituição Federal de (ano)
Constituição Provisória,3,Constituição Provisória
Constituição Provisória sobre Movimentações Financeiras,3,Constituição Provisória sobre Movimentações Financeiras
Constituição Republicana,3,Constituição Republicana
Emenda Constitucional de Revisão nº 5,3,Emenda Constitucional de Revisão nº 5
Emenda Constitucional (CEPEC),3,Emenda Constitucional (CEPEC)
Emenda Constitucional (PEC),3,Emenda Constitucional (PEC)
Emenda Constitucional Calmon,3,Emenda Constitucional Calmon
Emenda Constitucional de número 22,3,Emenda Constitucional de número 22
Emenda Constitucional N° 45,3,Emenda Constitucional N° 45
Emenda Constitucional n° 5,3,Emenda Constitucional n° 5
Emenda Constitucional n° 8,3,Emenda Constitucional n° 8
Emenda Constitucional n° 96,3,Emenda Constitucional n° 96
Emenda Constitucional Nº 08,3,Emenda Constitucional Nº 08
Emenda Constitucional nº 1,3,Emenda Constitucional nº 1
Emenda Constitucional Nº 1/1969,3,Emenda Constitucional Nº 1/1969
Emenda Constitucional nº 1/69,3,Emenda Constitucional nº 1/69
Emenda Constitucional nº 10,3,Emenda Constitucional nº 10
Emenda Constitucional nº 11,3,Emenda Constitucional nº 11
Emenda Constitucional nº 11/78,3,Emenda Constitucional nº 11/78
Emenda Constitucional Nº 12/78,3,Emenda Constitucional Nº 12/78
Emenda Constitucional nº 13,3,Emenda Constitucional nº 13
Emenda Constitucional nº 14,3,Emenda Constitucional nº 14
Emenda Constitucional nº 16,3,Emenda Constitucional nº 16
Emenda Constitucional nº 16/65,3,Emenda Constitucional nº 16/65
Emenda Constitucional nº 16/80),3,Emenda Constitucional nº 16/80)
Emenda Constitucional Nº 17,3,Emenda Constitucional Nº 17
Emenda Constitucional Nº 17/91,3,Emenda Constitucional Nº 17/91
Emenda Constitucional nº 175,3,Emenda Constitucional nº 175
Emenda Constitucional nº 18/65,3,Emenda Constitucional nº 18/65
Emenda Constitucional nº 18/81,3,Emenda Constitucional nº 18/81
Emenda Constitucional Nº 19/81,3,Emenda Constitucional Nº 19/81
Emenda Constitucional nº 2,3,Emenda Constitucional nº 2
