<OUTPUT SRCFILE="10955.raw">
** ** Fz 1 -
as o DA0FP0 0.974798 - o PD0FP00 0.0142702 - o PP3FPA0 0.0109322 -
Diretas-Já diretas-já NP00O00 1 -
, , Fc 1 -
em em SP 1 -
o o DA0MS0 1 -
Rio_de_Janeiro rio_de_janeiro NP00G00 1 -
. . Fp 1 -

Em em SP 1 -
esse esse DD0MS0 0.946429 - esse PD0MS00 0.0535714 -
mesmo mesmo RG 0.820175 -
período período NCMS000 1 15113229-n:0.00314946/15248564-n:0.00189254/15247518-n:0.00185532/15254028-n:0.0017363/15144371-n:0.00172956/15248020-n:0.00164538/15290337-n:0.00163029/15122231-n:0.00162885/15248269-n:0.00157156/15236475-n:0.00156203/15249236-n:0.00151519/15224486-n:0.00151122/15120346-n:0.00143958/15134490-n:0.0014024
, , Fc 1 -
entrou entrar VMIS3S0 1 02016523-v:0.0109094/00307568-v:0.0106068
em em SP 1 -
contato contato NCMS000 1 00046522-n:0.00739746/00039297-n:0.00719416/00125629-n:0.00709691
com com SP 1 -
o o DA0MS0 0.950254 -
movimento movimento NCMS000 0.990196 00279835-n:0.00234654/07309781-n:0.00230783/00166355-n:0.00197148/08464601-n:0.00195598/00294190-n:0.00195266/07046339-n:0.00193895/14004317-n:0.001904/00280586-n:0.0018923/00331655-n:0.00188824/00165942-n:0.00182903/11425088-n:0.0017625
sindical sindical AQ0CS00 1 02474191-a:0.0222829
e e CC 0.999951 -
presidiu presidir VMIS3S0 1 02443609-v:0.0206709
o o DA0MS0 0.950254 -
Sindicato_dos_Farmacêuticos sindicato_dos_farmacêuticos NP00O00 1 -
. . Fp 1 -

Em em SP 1 -
1990 1990 Z 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00216234/02051694-v:0.00124494/01955984-v:0.00115893/01995549-v:0.00112801/02072849-v:0.00111553/01904930-v:0.00104974/02009433-v:0.00104485/01935233-v:0.00101471/01957529-v:0.00100391/02102398-v:0.000984705/00341560-v:0.000965029/01882814-v:0.000909877/02058994-v:0.000907125/02685951-v:0.000903475/01846916-v:0.000898117/02102002-v:0.000893553/01849221-v:0.000889285/01841079-v:0.00085427/02686471-v:0.000829099/01839538-v:0.000809325/00343898-v:0.000797027
fundador fundador AQ0MS00 0.517364 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
SindSaúde sindsaúde NP00G00 1 -
e e CC 0.999951 -
ainda ainda RG 1 00047534-r:0.0364068
em em SP 1 -
a o DA0FS0 1 -
mesma mesmo PI0FS00 0.968254 -
década década NCFS000 1 15204983-n:0.0251521
, , Fc 1 -
fundou fundar VMIS3S0 1 -
também também RG 0.998533 00047534-r:0.0364068
o o DA0MS0 0.950254 -
Departamento_de_Saúde_da_Central_Única_dos_Trabalhadores_na_Paraíba departamento_de_saúde_da_central_única_dos_trabalhadores_na_paraíba NP00O00 1 -
( ( Fpa 1 -
CUT-PB cut-pb NP00O00 1 -
) ) Fpt 1 -
. . Fp 1 -

Esteve estar VMIS3S0 0.982759 02604760-v:0.00695751/02655135-v:0.00429649/00149583-v:0.00421294/01857392-v:0.00414557/02734338-v:0.00404827/02729963-v:0.003953/00065495-v:0.00371022
ainda ainda RG 1 00047534-r:0.0273124
por por SP 1 -
duas 2 Z 1 -
vezes vez NCFP000 0.99449 14485064-n:0.0270514
a a SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
frente frente NCFS000 1 08573674-n:0.0275236
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Sindicato_dos_Funcionários sindicato_dos_funcionários NP00O00 1 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
UFPB ufpb NP00O00 1 -
. . Fp 1 -

Foi ir VMIS3S0 0.5 01835496-v:0.00277159/02051694-v:0.00160016/01955984-v:0.00148562/01995549-v:0.00144632/02072849-v:0.00143333/02009433-v:0.00134291/01904930-v:0.00133812/01935233-v:0.00130413/01957529-v:0.00128695/02102398-v:0.00125864/00341560-v:0.00123967/01882814-v:0.00116909/02058994-v:0.00116526/02685951-v:0.0011591/01846916-v:0.00115393/02102002-v:0.00114961/01849221-v:0.00114204/01841079-v:0.00109791/02686471-v:0.00106617/01839538-v:0.00104114/00343898-v:0.00102541
eleito eleito AQ0MS00 0.5 00846052-a:0.0138179/01294857-a:0.0118154
vereador vereador NCMS000 1 09944763-n:0.0128554/09782397-n:0.0118378
de de SP 1 -
João_Pessoa joão_pessoa NP00SP0 1 -
por por SP 1 -
o o DA0MS0 1 -
Partido_dos_Trabalhadores partido_dos_trabalhadores NP00O00 1 -
( ( Fpa 1 -
PT pt NP00O00 1 -
) ) Fpt 1 -
por por SP 1 -
duas 2 Z 1 -
vezes vez NCFP000 0.99449 14485064-n:0.0231872
, , Fc 1 -
em em SP 1 -
1992 1992 Z 1 -
e e CC 0.999951 -
em em SP 1 -
1996 1996 Z 1 -
. . Fp 1 -

Para para SP 0.999444 -
o o DA0MS0 0.950254 -
segundo segundo AO0MS00 0.19746 -
mandato mandato NCMS000 0.98913 06556481-n:0.00308406/06552984-n:0.0030094/01140658-n:0.00296866/06530789-n:0.00281341
, , Fc 1 -
obteve obter VMIS3S0 1 02288295-v:0.00385476/02210855-v:0.00362409/00522751-v:0.00290075/02290461-v:0.00288624/02289295-v:0.00183156/02526085-v:0.00125987/02238085-v:0.00122384/02207206-v:0.00109459/02238770-v:0.00093555/02236124-v:0.000914434/02239261-v:0.000898057/00597915-v:0.000886664/02359340-v:0.000861487/02527431-v:0.000833989
6.917 6917 Z 1 -
votos voto NCMP000 0.987805 -
conquistando conquistar VMG0000 1 01114303-v:0.00598054/00012267-v:0.00557112
o o DA0MS0 0.950254 -
primeiro primeiro AO0MS00 0.722944 01012990-a:0.0109825
lugar lugar NCMS000 1 00027167-n:0.00279146/08621598-n:0.00143253/08620061-n:0.00126006/00582388-n:0.00125859/13947415-n:0.00120225/08500433-n:0.00118023/08622950-n:0.00113293/08624385-n:0.00109122/08653706-n:0.00107799/08490039-n:0.00101127/08683383-n:0.000990488
em em SP 1 -
aquela aquele DD0FS0 0.846535 - aquele PD0FS00 0.153465 -
eleição eleição NCFS000 1 00181781-n:0.00351628/05790944-n:0.00331786/00183505-n:0.00309489/00180962-n:0.00300933
e e CC 0.999951 -
o o DA0MS0 0.950254 -
maior maior AQ0CS00 0.979323 01395330-a:0.00308398/01471002-a:0.0030773/01511520-a:0.00294997/01383756-a:0.00268
número número NCMS000 1 13582013-n:0.00108603/05121418-n:0.00102036/05090441-n:0.0010201/13741022-n:0.00101291/06807198-n:0.00088956/05855125-n:0.000886039/05861067-n:0.000864675/05107765-n:0.000857314/13742358-n:0.000856671/06596978-n:0.000838968/06425065-n:0.00083414/00033615-n:0.00082936/06426111-n:0.000826277/06892016-n:0.000779129/06326526-n:0.000763364
de de SP 1 -
votos voto NCMP000 0.987805 -
até_então até_então RG 1 -
recebidos receber VMP00PM 0.972958 02288295-v:0.00385476/02210855-v:0.00362409/00522751-v:0.00290075/02290461-v:0.00288624/02108377-v:0.0019762/00605893-a:0.00183445
por por SP 1 -
um um DI0MS0 0.877848 -
vereador vereador NCMS000 1 09944763-n:0.0064289/09782397-n:0.00591818
em em SP 1 -
a o DA0FS0 1 -
capital capital NCFS000 0.498759 08524735-n:0.00780312/08518505-n:0.00608651
. . Fp 1 -

Em em SP 1 -
1998 1998 Z 1 -
, , Fc 1 -
candidatou candidatar VMIS3S0 1 -
se se PP3CN00 1 -
a o DA0FS0 0.675415 -
deputado deputado NCMS000 0.993827 09830400-n:0.00990665/10005934-n:0.00979417
estadual estadual AQ0CS00 1 -
por por SP 1 -
o o DA0MS0 1 -
PT pt NP00O00 1 -
, , Fc 1 -
sendo ser VMG0000 1 02604760-v:0.023812
o o DA0MS0 0.950254 -
mais mais RG 0.999721 00029367-r:0.0151005/00099712-r:0.0127288
votado votar VMP00SM 0.992515 02461314-v:0.00963754/02400637-v:0.00674686/02462201-v:0.00658332
em em SP 1 -
João_Pessoa joão_pessoa NP00SP0 1 -
. . Fp 1 -

Em em SP 1 -
2002 2002 Z 1 -
, , Fc 1 -
ainda ainda RG 1 00047534-r:0.0204946
por por SP 1 -
o o DA0MS0 1 -
PT pt NP00O00 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00243166/02051694-v:0.00140038/01955984-v:0.00130393/01995549-v:0.00127045/02072849-v:0.00125449/01904930-v:0.00117877/02009433-v:0.00117681/01935233-v:0.00114151/01957529-v:0.00112793/02102398-v:0.00110227/00341560-v:0.00108466/01882814-v:0.0010235/02058994-v:0.0010205/02685951-v:0.00101975/01846916-v:0.00101025/02102002-v:0.00100738/01849221-v:0.00100113/01841079-v:0.000961024/02686471-v:0.000934107/01839538-v:0.000910465/00343898-v:0.000896753
reeleito reeleito NCMS000 0.607634 -
com com SP 1 -
o o DA0MS0 0.950254 -
maior maior AQ0CS00 0.979323 01395330-a:0.00538208/01471002-a:0.00534867/01511520-a:0.0051371/01383756-a:0.00468945
número número NCMS000 1 13582013-n:0.00186454/13741022-n:0.00175781/05121418-n:0.00170803/05090441-n:0.00170499/06807198-n:0.0015456/05855125-n:0.00154022/05861067-n:0.00150109/13742358-n:0.00149398/05107765-n:0.00149386/06596978-n:0.00146005/06425065-n:0.00145146/06426111-n:0.00144155/00033615-n:0.00143174/06892016-n:0.00136297/06326526-n:0.00133287
de de SP 1 -
votos voto NCMP000 0.987805 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
pleito pleito NCMS000 1 01182654-n:0.0209392
: : Fd 1 -
47.912 47912 Z 1 -
. . Fp 1 -

Em em SP 1 -
a o DA0FS0 1 -
Assembleia_Legislativa_do_Estado_da_Paraíba assembleia_legislativa_do_estado_da_paraíba NP00O00 1 -
( ( Fpa 1 -
AL-PB al-pb NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
