<OUTPUT SRCFILE="5143.raw">
SOUSA sousa NP00SP0 1 -
( ( Fpa 1 -
UNE une NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
em em SP 1 -
uma um DI0FS0 1 -
fase fase NCFS000 1 13939892-n:0.00234836/15290337-n:0.00222193/15290132-n:0.00194726/15206744-n:0.00188985/14480065-n:0.00185802
em em SP 1 -
que que PR0CN00 0.584265 -
, , Fc 1 -
segundo segundo SP 0.636259 -
Artur_José_Poerner artur_josé_poerner NP00SP0 1 -
, , Fc 1 -
a o DA0FS0 0.675415 -
União_Democrática_Nacional união_democrática_nacional NP00O00 1 -
( ( Fpa 1 -
UDN udn NP00O00 1 -
) ) Fpt 1 -
predominava predominar VMII3S0 0.500055 02644234-v:0.0105793
em em SP 1 -
aquela aquele DD0FS0 0.846535 - aquele PD0FS00 0.153465 -
entidade entidade NCFS000 1 00001740-n:0.00512795/00002137-n:0.00470238
. . Fp 1 -

Durante durante SP 0.99651 -
o o DA0MS0 0.950254 -
exercício exercício NCMS000 1 00624738-n:0.00386709/00894552-n:0.00385956/15203120-n:0.00370553/00729919-n:0.00353257
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
vice vice AQ0CN00 0.532364 -
­ ­ Fz 1 -
- - Fg 1 -
presidência presidência NCFS000 1 00596807-n:0.00746868/15266265-n:0.0074472
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
UNE une NP00O00 1 -
representou representar VMIS3S0 1 01719302-v:0.00146861/00836236-v:0.00133111/01686132-v:0.00126167/02723733-v:0.00124116/00988028-v:0.00121281/01719921-v:0.0012027/02697725-v:0.0011906/02620587-v:0.00117731/02698443-v:0.0011209/02541509-v:0.00111833/02541921-v:0.00111748/02581675-v:0.00110533/02740352-v:0.00109093/01723690-v:0.00109093
o o DA0MS0 0.950254 -
Brasil brasil NP00O00 1 12489524-n:0.0156098
em em SP 1 -
a o DA0FS0 1 -
Conferência_Internacional_de_Estudantes conferência_internacional_de_estudantes NP00O00 1 -
, , Fc 1 -
rea rea NCFS000 0.846076 -
­ ­ Fz 1 -
lizada lizar VMP00SF 1 -
em em SP 1 -
Edimburgo edimburgo NP00G00 1 -
, , Fc 1 -
em em SP 1 -
a o DA0FS0 1 -
Escócia escócia NCFS000 0.628251 -
. . Fp 1 -

Ainda ainda RG 1 00047534-r:0.0327821
em em SP 1 -
1952 1952 Z 1 -
bacharelou bacharelar VMIS3S0 1 -
se se PP3CN00 1 -
em em SP 1 -
ciências ciência NCFP000 1 05999797-n:0.00748454/05985999-n:0.0067506/05636887-n:0.0067258/06000400-n:0.00660278/05999540-n:0.00639642
jurídicas jurídico AQ0FP00 1 02753724-a:0.0304558
e e CC 0.999951 -
sociais social AQ0CP00 1 02248349-a:0.00608071/02798370-a:0.00589065/02258360-a:0.00577464/01076634-a:0.00566959/02798597-a:0.00544484/02252877-a:0.00528713
. . Fp 1 -

Em em SP 1 -
1962 1962 Z 1 -
foi ir VMIS3S0 0.5 01835496-v:0.0018103/02051694-v:0.00101972/01955984-v:0.000975107/01995549-v:0.00093116/02072849-v:0.00092088/01904930-v:0.000886925/02009433-v:0.000861383/01957529-v:0.000839696/01935233-v:0.000832404/02102398-v:0.000809091/00341560-v:0.000791391/01882814-v:0.000745414/02058994-v:0.000743813/02685951-v:0.000742455/01846916-v:0.000736475/02102002-v:0.000733898/01849221-v:0.00073088/01841079-v:0.000700607/02686471-v:0.000678836/01839538-v:0.000662568/00343898-v:0.000652602
eleito eleito AQ0MS00 0.5 00846052-a:0.00881829/01294857-a:0.0075217
deputado deputado NCMS000 0.993827 09830400-n:0.00722677/10005934-n:0.00712606
estadual estadual AQ0CS00 1 -
em em SP 1 -
o o DA0MS0 1 -
Rio_Grande_do_Sul rio_grande_do_sul NP00G00 1 -
, , Fc 1 -
em em SP 1 -
a o DA0FS0 1 -
legenda legenda NCFS000 0.8193 06346891-n:0.0080426/06347588-n:0.00744909
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
PSD psd NP00O00 1 -
, , Fc 1 -
assumindo assumir VMG0000 1 00632236-v:0.00516616/00524682-v:0.00514123/02381726-v:0.00510405
sua seu DP3FSS 0.929764 -
cadeira cadeira NCFS000 1 04161981-n:0.00419813/04161358-n:0.00405849/04326896-n:0.003558/03001627-n:0.00345661/08647616-n:0.00327184
em em SP 1 -
fevereiro [??:??/2/??:??.??:??] W 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
ano ano NCMS000 1 15202634-n:0.00191456/15203565-n:0.00188164/15203791-n:0.00182647/15153787-n:0.00166246/15204297-n:0.00165868/15201505-n:0.00164901/08238660-n:0.00164751/15202806-n:0.00162538/15203229-n:0.00156846/15273626-n:0.00155421
seguinte seguinte AQ0CS00 0.932099 00127948-a:0.00742238/00127815-a:0.00740066
. . Fp 1 -

Após após SP 1 -
o o DA0MS0 0.950254 -
movimento movimento NCMS000 0.990196 07309781-n:0.000769545/00279835-n:0.000756124/08464601-n:0.000642417/00166355-n:0.000632468/00294190-n:0.00062653/07046339-n:0.000622097/14004317-n:0.000612392/00280586-n:0.00060746/00331655-n:0.00060592/00165942-n:0.000587144/11425088-n:0.000565661
político-militar político-militar AQ0CS00 0.714286 -
de de SP 1 -
março_de_1964 [??:??/3/1964:??.??:??] W 1 -
, , Fc 1 -
e e CC 0.999951 -
com com SP 1 -
a o DA0FS0 0.675415 -
extinção extinção NCFS000 1 13963032-n:0.00125695/07332691-n:0.00119639/14012173-n:0.00114532/05758692-n:0.00109846/00229934-n:0.00106562/13478342-n:0.00103539
de de SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
partidos partido NCMP000 0.98374 -
políticos político AQ0MP00 0.861842 02857407-a:0.00320756/02857587-a:0.00312563
por por SP 1 -
o o DA0MS0 1 -
Ato_Institucional ato_institucional NP00O00 1 -
nº nº NCMS000 1 -
2 2 Z 1 -
( ( Fpa 1 -
27/10/65 [??:27/10/1965:??.??:??] W 1 -
) ) Fpt 1 -
e e CC 0.999951 -
a o DA0FS0 0.675415 -
posterior posterior AQ0CS00 0.97619 00122626-a:0.00149385/00197576-a:0.00147743/00131426-a:0.00142323/00131692-a:0.00114227/00197891-a:0.00111005/00123485-a:0.00106799
instauração instauração NCFS000 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
bipartidarismo bipartidarismo NCMS000 1 -
, , Fc 1 -
filiou filiar VMIS3S0 1 -
se se PP3CN00 1 -
**** **** Fz 1 -
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
partido partido NCMS000 0.98773 -
governista governista AQ0CS00 0.477912 -
, , Fc 1 -
a o DA0FS0 0.675415 -
Aliança_Renova aliança_renova NP00O00 1 -
­ ­ Fz 1 -
dora dora NCFS000 1 -
Nacional nacional NP00V00 1 -
( ( Fpa 1 -
Arena arena NP00O00 1 02736511-n:0.00655439
) ) Fpt 1 -
, , Fc 1 -
assumindo assumir VMG0000 1 00632236-v:0.00227918/00524682-v:0.00226773/02381726-v:0.00224056
a o DA0FS0 0.675415 -
vice vice AQ0CN00 1 -
lide lide NCFS000 1 -
­ ­ Fz 1 -
rança ranço AQ0FS00 0.569768 01054922-a:0.00339432/01070321-a:0.00326036
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
bancada bancada NCFS000 1 04600486-n:0.00733836
em em SP 1 -
a o DA0FS0 1 -
Assembléia assembléia NP00O00 1 01229938-n:0.00350366/08163792-n:0.00340706
de de SP 1 -
seu seu DP3MSS 0.957305 -
es es NCFP000 0.381512 -
­ ­ Fz 1 -
tado tado VMP00SM 0.580748 -
. . Fp 1 -

Em em SP 1 -
novembro_de_1966 [??:??/11/1966:??.??:??] W 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00154081/02051694-v:0.00086318/01955984-v:0.000826394/01995549-v:0.000792943/02072849-v:0.00077999/01904930-v:0.0007561/02009433-v:0.000730947/01957529-v:0.00071163/01935233-v:0.000704173/02102398-v:0.000686339/00341560-v:0.000674645/01882814-v:0.000631427/02058994-v:0.000630223/02685951-v:0.000629306/01846916-v:0.000623411/02102002-v:0.000621462/01849221-v:0.000619446/01841079-v:0.000593082/02686471-v:0.000574476/01839538-v:0.000560759/00343898-v:0.000554929
eleito eleito AQ0MS00 0.5 00846052-a:0.00744061/01294857-a:0.00636563
depu depu VMIS3S0 0.937863 -
­ ­ Fz 1 -
tado tado NCMS000 0.403122 -
federal federal AQ0CS00 1 01606214-a:0.00309165/01107206-a:0.00301117/02725829-a:0.00299564/01106129-a:0.00292301
por por SP 1 -
o o DA0MS0 1 -
Rio_Grande_do_Sul rio_grande_do_sul NP00G00 1 -
, , Fc 1 -
assumindo assumir VMG0000 1 00632236-v:0.00437409/00524682-v:0.00435327/02381726-v:0.00432345
sua seu DP3FSS 0.929764 -
cadeira cadeira NCFS000 1 04161981-n:0.00354229/04161358-n:0.00320474/04326896-n:0.00301015/03001627-n:0.00292063/08647616-n:0.00276451
em em SP 1 -
fevereiro [??:??/2/??:??.??:??] W 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
ano ano NCMS000 1 15202634-n:0.00162075/15203565-n:0.00159296/15203791-n:0.00156242/15153787-n:0.00140891/15204297-n:0.00140372/15201505-n:0.00139606/08238660-n:0.00139373/15202806-n:0.00137567/15203229-n:0.00132763/15273626-n:0.00131463
seguinte seguinte AQ0CS00 0.932099 00127948-a:0.00627921/00127815-a:0.00626082
, , Fc 1 -
após após SP 1 -
deixar deixar VMN0000 0.331507 00120316-v:0.0031589/00800930-v:0.00279913/00802318-v:0.00263575/02310007-v:0.00247867/00771490-v:0.00238794
a o DA0FS0 0.675415 -
Assembléia_Legislativa assembléia_legislativa NP00O00 1 -
gaúcha gaúcho AQ0FS00 0.367388 -
. . Fp 1 -

Reeleito reeleito NCMS000 0.607634 -
em em SP 1 -
em em SP 1 -
o o DA0MS0 1 -
­ ­ Fz 1 -
vembro vembro NCMS000 1 -
de de SP 1 -
1970 1970 Z 1 -
, , Fc 1 -
representou representar VMIS3S0 1 01719302-v:0.00201609/00836236-v:0.0018257/01686132-v:0.00172936/02723733-v:0.00170567/02620587-v:0.0017002/00988028-v:0.00166242/01719921-v:0.00165111/02697725-v:0.00163636/02541509-v:0.0015548/02698443-v:0.00153982/02541921-v:0.00153573/02581675-v:0.00151952/01723690-v:0.00149894/02740352-v:0.00149868
o o DA0MS0 0.950254 -
governo governo NCMS000 0.914011 08050678-n:0.00745095/01124794-n:0.00715227/00815173-n:0.00660419
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Rio_Grande_do_Sul rio_grande_do_sul NP00O00 1 -
em em SP 1 -
a o DA0FS0 1 -
junta junta NCFS000 0.574074 08324514-n:0.0218595
deliberativa deliberativo AQ0FS00 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Instituto_Nacional_do_Mate instituto_nacional_do_mate NP00O00 1 -
. . Fp 1 -

Em em SP 1 -
outubro_de_1974 [??:??/10/1974:??.??:??] W 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00198629/02051694-v:0.001121/01955984-v:0.00105071/01995549-v:0.00103073/01935233-v:0.00102357/02072849-v:0.00100507/01904930-v:0.000951816/02009433-v:0.000944178/01957529-v:0.000907987/02102398-v:0.00088429/00341560-v:0.00086868/01882814-v:0.000819841/02058994-v:0.000818278/02685951-v:0.000816506/01846916-v:0.000809069/02102002-v:0.00080667/01849221-v:0.000801777/01841079-v:0.000769705/02686471-v:0.00074684/01839538-v:0.000728712/00343898-v:0.000717583
eleito eleito AQ0MS00 0.5 00846052-a:0.00965398/01294857-a:0.0082706
indireta indireta NCFS000 1 07238455-n:0.0160952
­ ­ Fz 1 -
mente mente NCFS000 0.522371 05982915-n:0.0160552
vice vice AQ0CN00 1 -
governador governador AQ0MS00 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Rio_Grande_do_Sul rio_grande_do_sul NP00G00 1 -
em em SP 1 -
a o DA0FS0 1 -
chapa chapa NCFS000 0.819323 04188643-n:0.00461101/04314216-n:0.0042037/04233405-n:0.00407502/03661180-n:0.00388554
encabeçada encabeçar VMP00SF 0.992518 02694287-v:0.00857618/02440244-v:0.00833281
por por SP 1 -
Sinval_Guazelli sinval_guazelli NP00SP0 1 -
. . Fp 1 -

Dei dar VMIS1S0 1 02230772-v:0.00106572/02327200-v:0.00103935/02200686-v:0.000999082/02199590-v:0.00089545/02339413-v:0.000875255/02235229-v:0.000872805/00056930-v:0.000824037/02358327-v:0.000795961/02229055-v:0.000795874/02262278-v:0.000792112/02296153-v:0.000722177/02293321-v:0.000721409/02308741-v:0.000719436/02263027-v:0.000688782/02255462-v:0.000685128/02316649-v:0.000673073/02357873-v:0.0006454/02310328-v:0.000639419/02310007-v:0.000632636/01180351-v:0.000629046/02316868-v:0.000622228/02336483-v:0.000619411/02200498-v:0.000615727/01233027-v:0.000600501
­ ­ Fz 1 -
xou xou VMIS3S0 1 -
a o DA0FS0 0.675415 -
Câmara câmara NP00O00 1 02942699-n:0.00617976/04404997-n:0.0057482/03789171-n:0.0052381
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
final final NCFS000 0.422733 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
legislatura legislatura NCFS000 1 15291498-n:0.0159843
, , Fc 1 -
em em SP 1 -
janeiro_de_1975 [??:??/1/1975:??.??:??] W 1 -
, , Fc 1 -
e e CC 0.999951 -
assumiu assumir VMIS3S0 1 00632236-v:0.00515874/00524682-v:0.00513763/02381726-v:0.00508857
o o DA0MS0 0.950254 -
cargo cargo NCMS000 1 00586262-n:0.00951774/13945102-n:0.00735235
em em SP 1 -
o o DA0MS0 1 -
Executivo executivo NP00O00 1 09770472-n:0.0152439
gaú gaú VMIP3S0 0.0623573 -
­ ­ Fz 1 -
cho cho NCMS000 0.615606 -
em em SP 1 -
março [??:??/3/??:??.??:??] W 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
mesmo mesmo PI0MS00 0.176901 -
ano ano NCMS000 1 15202634-n:0.00191622/15203565-n:0.00191262/15203791-n:0.001825/15153787-n:0.00166637/15204297-n:0.00166263/15201505-n:0.00165122/08238660-n:0.00165116/15202806-n:0.00162532/15203229-n:0.00157441/15273626-n:0.00155452
. . Fp 1 -

Em em SP 1 -
abril_de_1978 [??:??/4/1978:??.??:??] W 1 -
, , Fc 1 -
ainda ainda RG 1 00047534-r:0.0136719
durante durante SP 0.99651 -
sua seu DP3FSS 0.929764 -
gestão gestão NCFS000 1 01133281-n:0.00586767/01135952-n:0.00493831/01144876-n:0.00469031
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00166172/02051694-v:0.000934592/01955984-v:0.000877076/01995549-v:0.000857273/02072849-v:0.000838629/01904930-v:0.000800494/02009433-v:0.000789299/01935233-v:0.000767792/01957529-v:0.000759168/02102398-v:0.000737994/00341560-v:0.000736906/01882814-v:0.000683655/02058994-v:0.000682322/02685951-v:0.000682292/01846916-v:0.000676217/02102002-v:0.000673935/01849221-v:0.000671322/01841079-v:0.00064189/02686471-v:0.000624864/01839538-v:0.000607376/00343898-v:0.000604122
escolhido escolher VMP00SM 0.992518 00674607-v:0.00384783/02400760-v:0.00193668/00676450-v:0.00192249/00676864-v:0.00181524/00679239-v:0.00177506/00677683-v:0.00174972/01710481-v:0.0017097/00677203-v:0.00162018
por por SP 1 -
