<OUTPUT SRCFILE="11099.raw">
** ** Fz 1 -
sacerdote sacerdote NCMS000 1 09927451-n:0.0137489/09983572-n:0.0125874/10470779-n:0.0124925/10471250-n:0.0115857/10464178-n:0.0112634
. . Fp 1 -

A_partir_de a_partir_de SP 1 -
1964 1964 Z 1 -
, , Fc 1 -
assumiu assumir VMIS3S0 1 00632236-v:0.0188559/00524682-v:0.0187863/02381726-v:0.018566
a o DA0FS0 0.675415 -
Igreja_de_São_Geraldo igreja_de_são_geraldo NP00O00 1 -
, , Fc 1 -
em em SP 1 -
Porto_Alegre porto_alegre NP00G00 1 -
. . Fp 1 -

Dois 2 Z 1 -
anos ano NCMP000 1 15202634-n:0.00150512/15203565-n:0.00147552/15203791-n:0.00143236/15153787-n:0.00130726/15204297-n:0.00130341/15201505-n:0.00129576/08238660-n:0.00129456/15202806-n:0.00127744/15273626-n:0.00125012/15203229-n:0.00123394
depois depois RG 1 00146281-r:0.00669143/00061203-r:0.00581206
, , Fc 1 -
passou passar VMIS3S0 1 01212230-v:0.00395506/02709277-v:0.00369329/00106960-v:0.00362349
a a SP 0.313151 -
lecionar lecionar VMN0000 0.529581 -
filosofia filosofia NCFS000 1 05943300-n:0.00471229/06158346-n:0.00438221/05944686-n:0.00376911
e e CC 0.999951 -
teologia teologia NCFS000 1 06182144-n:0.00459699/00613973-n:0.0041816/06183899-n:0.00404127
em em SP 1 -
o o DA0MS0 1 -
Seminário_Maior_Nossa_Senhora_da_Conceição seminário_maior_nossa_senhora_da_conceição NP00SP0 1 -
, , Fc 1 -
em em SP 1 -
[ [ Fca 1 -
Viamão viamão NP00G00 1 -
] ] Fct 1 -
( ( Fpa 1 -
http://pt.wikipedia.org/wiki/Viam%C3%A3o http://pt.wikipedia.org/wiki/Viam%C3%A3o Z 1 -
" " Fe 1 -
Viamão viamão NP00V00 1 -
" " Fe 1 -
) ) Fpt 1 -
( ( Fpa 1 -
RS rs NP00O00 1 -
) ) Fpt 1 -
e e CC 0.999951 -
pouco pouco RG 0.690283 -
depois depois RG 1 00146281-r:0.00669143/00061203-r:0.00581206
em em SP 1 -
o o DA0MS0 1 -
    Fz 1 -
Instituto_de_Teologia instituto_de_teologia NP00O00 1 -
e e CC 0.999951 -
em em SP 1 -
o o DA0MS0 1 -
Instituto_de_Pastoral instituto_de_pastoral NP00O00 1 -
, , Fc 1 -
em em SP 1 -
[ [ Fca 1 -
Porto_Alegre porto_alegre NP00G00 1 -
] ] Fct 1 -
( ( Fpa 1 -
http://pt.wikipedia.org/wiki/Porto_Alegre http://pt.wikipedia.org/wiki/porto_alegre RG 0.333288 -
" " Fe 1 -
Porto_Alegre porto_alegre NP00V00 1 -
" " Fe 1 -
) ) Fpt 1 -
. . Fp 1 -

Em em SP 1 -
1970 1970 Z 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00321414/02051694-v:0.00186628/01955984-v:0.00173102/01995549-v:0.00168501/02072849-v:0.00167021/02009433-v:0.00156309/01904930-v:0.00155435/01935233-v:0.00152119/01957529-v:0.00150163/02102398-v:0.00146734/00341560-v:0.00144469/01882814-v:0.00136332/02058994-v:0.00135843/02685951-v:0.00135089/02102002-v:0.00134826/01846916-v:0.00134581/01849221-v:0.00133092/01841079-v:0.00128039/02686471-v:0.00124346/01839538-v:0.0012134/00343898-v:0.0011953
nomeado nomear VMP00SM 0.97619 02475922-v:0.00607022/02396205-v:0.00515831/02396716-v:0.00495236/01028748-v:0.00490881/02400760-v:0.00475365/02401523-v:0.00467758
pároco pároco NCMS000 1 09927451-n:0.009988/09983572-n:0.00823039/10750188-n:0.00765956/10750365-n:0.00763411
de de SP 1 -
São_João_Vianney são_joão_vianney NP00SP0 1 -
e e CC 0.999951 -
Nossa_Senhora_de_Fátima nossa_senhora_de_fátima NP00SP0 1 -
, , Fc 1 -
em em SP 1 -
Viamão viamão NP00G00 1 -
. . Fp 1 -

Por por SP 1 -
indicação indicação NCFS000 1 06797169-n:0.00963286/06643408-n:0.00524286/06651577-n:0.0047418/06798472-n:0.0044588
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
cardeal cardeal NCMS000 0.452596 09894143-n:0.0191628
Vicente_Scherer vicente_scherer NP00SP0 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00217677/02051694-v:0.00124505/01955984-v:0.00116304/01995549-v:0.00113253/02072849-v:0.00111561/01904930-v:0.00105258/02009433-v:0.00104704/01935233-v:0.00101535/01957529-v:0.00100548/02102398-v:0.000982014/00341560-v:0.00096497/01882814-v:0.000910188/02058994-v:0.000907904/02685951-v:0.00090351/02102002-v:0.000899156/01846916-v:0.000898702/01849221-v:0.000889325/01841079-v:0.00085459/02686471-v:0.000829049/01839538-v:0.000809493/00343898-v:0.000797585
trabalhar trabalhar VMN0000 0.328 02413480-v:0.00402515/02410855-v:0.00343964/02419773-v:0.00283623/01668603-v:0.00277988/01235355-v:0.00274991/02415039-v:0.00274287/02594979-v:0.00268388
, , Fc 1 -
em em SP 1 -
1981 1981 Z 1 -
, , Fc 1 -
em em SP 1 -
a o DA0FS0 1 -
Secretaria_de_Estado_do_Vaticano secretaria_de_estado_do_vaticano NP00G00 1 -
, , Fc 1 -
junto junto RG 0.984962 -
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
papa papa NCFS000 0.570854 10453533-n:0.0192417
João_Paulo_II joão_paulo_ii NP00SP0 1 -
. . Fp 1 -

De de SP 1 -
volta volta NCFS000 0.992095 00051192-n:0.00806887/07447022-n:0.00775846
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Brasil brasil NP00G00 1 12489524-n:0.0171709
, , Fc 1 -
reassumiu reassumir VMIS3S0 1 -
as o DA0FP0 0.974798 -
funções função NCFP000 1 00582388-n:0.00440975/00720565-n:0.00437738/05149325-n:0.00421383/00722061-n:0.00410106
de de SP 1 -
pároco pároco NCMS000 1 09927451-n:0.00604051/09983572-n:0.00519172/10750188-n:0.00471938/10750365-n:0.00459193
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
diocese diocese NCFS000 1 08550966-n:0.0177798
de de SP 1 -
Porto_Alegre porto_alegre NP00G00 1 -
e e CC 0.999951 -
integrou integrar VMIS3S0 1 00466651-v:0.00592227/00642980-v:0.00559226/00467451-v:0.0054414
também também RG 0.998533 00047534-r:0.0164022
o o DA0MS0 0.950254 -
Tribunal_Eclesiástico tribunal_eclesiástico NP00O00 1 -
. . Fp 1 -

Foi ir VMIS3S0 0.5 01835496-v:0.00198603/02051694-v:0.00112128/01955984-v:0.00104554/01995549-v:0.00101844/02072849-v:0.0010096/01904930-v:0.000953725/02009433-v:0.000943715/01935233-v:0.000914251/01957529-v:0.000910338/02102398-v:0.000883636/00341560-v:0.000868368/01882814-v:0.000819485/02058994-v:0.000818317/02685951-v:0.000816937/01846916-v:0.000809324/02102002-v:0.000809308/01849221-v:0.000802052/01841079-v:0.000770418/02686471-v:0.000746719/01839538-v:0.000728802/00343898-v:0.000717551
nomeado nomear VMP00SM 0.97619 02475922-v:0.00336893/02396205-v:0.00309694/01028748-v:0.00300094/02396716-v:0.00297496/02400760-v:0.00290901/02401523-v:0.00280815
bispo bispo NCMS000 0.914011 09857200-n:0.0119771/02844056-n:0.00803982
em em SP 1 -
janeiro_de_1991 [??:??/1/1991:??.??:??] W 1 -
por por SP 1 -
o o DA0MS0 1 -
papa papa NCFS000 0.570854 10453533-n:0.0173737
João_Paulo_II joão_paulo_ii NP00SP0 1 -
, , Fc 1 -
assumiu assumir VMIS3S0 1 00632236-v:0.00567663/00524682-v:0.00565172/02381726-v:0.00563664
a o DA0FS0 0.675415 -
diocese diocese NCFS000 1 08550966-n:0.0179789
de de SP 1 -
São_João_da_Boa_Vista são_joão_da_boa_vista NP00G00 1 -
, , Fc 1 -
em em SP 1 -
o o DA0MS0 1 -
interior interior NCMS000 0.992424 08588294-n:0.0107421/08588699-n:0.00798906
de de SP 1 -
São_Paulo são_paulo NP00G00 1 -
. . Fp 1 -

Sua seu AP0FS3S 0.0346895 -
ordenação ordenação NCFS000 1 01009871-n:0.0247828
ocorreu ocorrer VMIS3S0 1 00339934-v:0.0144783/00344643-v:0.0120577
em em SP 1 -
março [??:??/3/??:??.??:??] W 1 -
em em SP 1 -
celebração celebração NCFS000 1 00428000-n:0.00957981/07450651-n:0.00946705/00509846-n:0.0087935
presidida presidir VMP00SF 0.9925 02443609-v:0.023621
por por SP 1 -
dom dom NCMS000 1 05624042-n:0.0122359/05624461-n:0.00834319/13265011-n:0.00820092
Tomás_Vaquero_na_Catedral_Metropolitana_de_Porto_Alegre tomás_vaquero_na_catedral_metropolitana_de_porto_alegre NP00O00 1 -
. . Fp 1 -

Entre entre SP 0.987856 -
os o DA0MP0 0.958022 -
anos ano NCMP000 1 15202634-n:0.00262773/15203565-n:0.00257781/15203791-n:0.00246167/15153787-n:0.00227863/15204297-n:0.00227749/15201505-n:0.00226466/08238660-n:0.00226339/15202806-n:0.00223346/15203229-n:0.00215474/15273626-n:0.00213183
de de SP 1 -
1995 1995 Z 1 -
e e CC 0.999951 -
1998 1998 Z 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00244497/02051694-v:0.00140043/01955984-v:0.00130247/01995549-v:0.00126835/02072849-v:0.00125498/01904930-v:0.00118919/02009433-v:0.00117469/01935233-v:0.00114139/01957529-v:0.00113014/02102398-v:0.00110217/00341560-v:0.00108595/01882814-v:0.0010233/02058994-v:0.00102009/02685951-v:0.00101568/01846916-v:0.00101019/02102002-v:0.00100528/01849221-v:0.000999231/01841079-v:0.000960855/02686471-v:0.000936642/01839538-v:0.000910403/00343898-v:0.00089658
membro membro NCMS000 1 10307234-n:0.00563094/05559908-n:0.00543803/05560244-n:0.00521761/13810615-n:0.00492621
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Comissão_Episcopal_de_Doutrina_na_Conferência_Nacional_dos_Bispos_do_Brasil comissão_episcopal_de_doutrina_na_conferência_nacional_dos_bispos_do_brasil NP00O00 1 -
( ( Fpa 1 -
CNBB cnbb NP00O00 1 -
) ) Fpt 1 -
e e CC 0.999951 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Comissão_de_Acompanhamento_dos_Formadores_dos_Seminários comissão_de_acompanhamento_dos_formadores_dos_seminários NP00O00 1 -
( ( Fpa 1 -
CAFS cafs NP00O00 1 -
) ) Fpt 1 -
em em SP 1 -
São_Paulo são_paulo NP00G00 1 -
. . Fp 1 -

Em em SP 1 -
abril_de_2000 [??:??/4/2000:??.??:??] W 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00478712/02051694-v:0.00279825/01955984-v:0.00258841/01995549-v:0.00251936/02072849-v:0.00250322/02009433-v:0.00233998/01904930-v:0.00231189/01935233-v:0.0022803/01957529-v:0.00224543/02102398-v:0.00219777/00341560-v:0.00216588/01882814-v:0.00204364/02058994-v:0.00203557/02685951-v:0.00202295/01846916-v:0.00201718/02102002-v:0.00200703/01849221-v:0.00199385/01841079-v:0.00191949/02686471-v:0.0018647/01839538-v:0.00181959/00343898-v:0.00179262
nomeado nomear VMP00SM 0.97619 02475922-v:0.00780028/02396205-v:0.00768564/02396716-v:0.00739771/01028748-v:0.00732169/02400760-v:0.00708707/02401523-v:0.00701263
arcebispo-coadjutor arcebispo-coadjutor NCMS000 1 -
de de SP 1 -
Porto_Alegre porto_alegre NP00SP0 1 -
. . Fp 1 -

Em em SP 1 -
esse esse DD0MS0 0.946429 - esse PD0MS00 0.0535714 -
mesmo mesmo RG 0.820175 -
ano ano NCMS000 1 15202634-n:0.00300425/15203565-n:0.00295516/15203791-n:0.00283038/15204297-n:0.00260483/15153787-n:0.00260328/15201505-n:0.00258811/08238660-n:0.00258703/15202806-n:0.00255263/15203229-n:0.00246395/15273626-n:0.00243626
, , Fc 1 -
