<OUTPUT SRCFILE="5150.raw">
** ** Fz 1 -
conselho conselho NCMS000 1 06671484-n:0.0158531
universitário universitário AQ0MS00 0.66129 02699524-a:0.0146228
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Universidade_do_Brasil universidade_do_brasil NP00O00 1 -
. . Fp 1 -

Em em SP 1 -
1950 1950 Z 1 -
passou passar VMIS3S0 1 01212230-v:0.00553429/02709277-v:0.00516704/00106960-v:0.00507256
a a SP 0.313151 -
integrar integrar VMN0000 0.329032 00466651-v:0.00591799/00642980-v:0.00558895/00467451-v:0.00543937
o o DA0MS0 0.950254 -
quadro quadro NCMS000 0.993421 04076846-n:0.0169429
de de SP 1 -
diplomatas diplomata NCCP000 1 10013927-n:0.0104462/10014658-n:0.00797167
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Ministério_das_Relações_Exteriores ministério_das_relações_exteriores NP00O00 1 -
( ( Fpa 1 -
MRE mre NP00O00 1 -
) ) Fpt 1 -
como como RG 0.205121 00159040-r:0.0168257
cônsul cônsul NCMS000 1 09959797-n:0.00963288/03093427-n:0.00925771
de de SP 1 -
terceira terceiro AO0FS00 0.973684 -
classe classe NCFS000 1 05839024-n:0.00277504/14429985-n:0.00113706/07997703-n:0.00102374/05840188-n:0.00095927/13945919-n:0.000859316/08239808-n:0.000858025/05838765-n:0.000832889/08107499-n:0.000818126/08103777-n:0.000782346/07974025-n:0.000773974/08238660-n:0.000772734/08238463-n:0.000762827/08078020-n:0.000759229/14428160-n:0.0007486/03038685-n:0.000734668/05737153-n:0.000731784/05845013-n:0.000715553/07939638-n:0.000709126/07998573-n:0.000687074/14431471-n:0.000683824/05844881-n:0.000670117/05845140-n:0.000630221/05845419-n:0.000629279/05845562-n:0.000628227
. . Fp 1 -

Em em SP 1 -
o o DA0MS0 1 -
ano ano NCMS000 1 08238660-n:0.00316904/15203565-n:0.00194501/15202634-n:0.00191158/15203791-n:0.00188216/15204297-n:0.00166298/15153787-n:0.00166016/15201505-n:0.00164852/15202806-n:0.00162448/15203229-n:0.0015767/15273626-n:0.00155192
seguinte seguinte AQ0CS00 0.932099 00127948-a:0.00741335/00127815-a:0.00739209
fez fazer VMIS3S0 0.997449 00120316-v:0.00385859/02367363-v:0.00116313/01645601-v:0.00106887/01752884-v:0.000979076/02526085-v:0.000738469/00010435-v:0.00069691/01652139-v:0.000650113/01640207-v:0.000637375/01714208-v:0.000630001/01739814-v:0.000627322/01752495-v:0.000623435/01712704-v:0.000622628/01627355-v:0.00062131/01719921-v:0.000608892/01642924-v:0.000602369/01754737-v:0.000601032/01629000-v:0.000596215/01438902-v:0.000588725/01628197-v:0.000585369/02560767-v:0.000585312/00665476-v:0.000573205/01431987-v:0.000555889/01685313-v:0.000550608/02374764-v:0.00054935/01649024-v:0.000541346/00012267-v:0.000534296/02599636-v:0.000517444
o o DA0MS0 0.950254 -
curso curso NCMS000 0.980769 08238660-n:0.00316904/08679972-n:0.00173072/09387222-n:0.00172758/13827426-n:0.00166163/08377085-n:0.00164918/08238463-n:0.00158238/08680888-n:0.00152275/00884466-n:0.00151547/00038262-n:0.00145435/08681222-n:0.00141667/08461595-n:0.00133695
de de SP 1 -
aperfeiçoamento aperfeiçoamento NCMS000 1 00260494-n:0.0146875
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Instituto_Rio_Branco instituto_rio_branco NP00O00 1 -
, , Fc 1 -
tornando tornar VMG0000 1 -
se se PP3CN00 1 -
chefe chefe NCMS000 1 09623038-n:0.0155319
de de SP 1 -
as o DA0FP0 0.974798 - o PD0FP00 0.0142702 - o PP3FPA0 0.0109322 -
seções seção NCFP000 1 08648153-n:0.0150451
de de SP 1 -
Administração_e_de_Pesquisas_e_Publicações_da administração_e_de_pesquisas_e_publicações_da NP00O00 1 -
mesma mesmo PI0FS00 0.968254 -
instituição instituição NCFS000 1 03574555-n:0.00391837/08053576-n:0.00387553/00240184-n:0.0037092/08407330-n:0.00352865
. . Fp 1 -

Ainda ainda RG 1 00047534-r:0.0546014
em em SP 1 -
1951 1951 Z 1 -
, , Fc 1 -
participou participar VMIS3S0 1 02450256-v:0.0576743
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Programa_Internacional_de_Estágio_das_Nações_Unidas programa_internacional_de_estágio_das_nações_unidas NP00V00 1 -
. . Fp 1 -

Serviu servir VMIS3S0 1 01182709-v:0.0077759/01095218-v:0.0074472/01180351-v:0.00708833/02670890-v:0.00701055
como como CS 0.751351 -
terceiro-secretário terceiro-secretário NCMS000 1 -
de de SP 1 -
as o DA0FP0 0.974798 - o PD0FP00 0.0142702 - o PP3FPA0 0.0109322 -
embaixadas embaixada NCFP000 1 08402442-n:0.00706737/08402828-n:0.00625396/08402693-n:0.00605365/03282295-n:0.00585193/00588780-n:0.00529122
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Brasil brasil NP00G00 1 12489524-n:0.0286172
em em SP 1 -
Washington washington NP00G00 1 -
de de SP 1 -
1952 1952 Z 1 -
a a SP 0.313151 -
1954 1954 Z 1 -
, , Fc 1 -
e e CC 0.999951 -
em em SP 1 -
Montevidéu montevidéu NP00G00 1 -
, , Fc 1 -
de de SP 1 -
1954 1954 Z 1 -
a a SP 0.313151 -
1956 1956 Z 1 -
. . Fp 1 -

Em em SP 1 -
esse esse DD0MS0 0.946429 - esse PD0MS00 0.0535714 -
último último AO0MS00 0.866379 01010271-a:0.0135559
ano ano NCMS000 1 15203565-n:0.00176619/15202634-n:0.00175425/15203791-n:0.00169224/15204297-n:0.00152382/15153787-n:0.001523/15201505-n:0.00151215/08238660-n:0.00150676/15202806-n:0.00148933/15273626-n:0.001458/15203229-n:0.00143805
