<OUTPUT SRCFILE="5103.raw">
** ** Fz 1 -
MG mg NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
para_onde para_onde RG 1 -
se se PP3CN00 0.861659 -
transferiu transferir VMIS3S0 1 02293321-v:0.0150909
, , Fc 1 -
quando quando RG 0.998992 -
abriu abrir VMIS3S0 1 01346003-v:0.00265109/00219963-v:0.00256895/01348705-v:0.00225227/01579813-v:0.00200856/02426171-v:0.00200379/02425462-v:0.00197967/01346804-v:0.00197074/00539936-v:0.00192618
uma um DI0FS0 0.903495 -
filial filial NCFS000 0.332647 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
companhia companhia NCFS000 1 08058098-n:0.0024313/08208560-n:0.00204412/08274354-n:0.00200746/08056231-n:0.00197078/08187033-n:0.00195822/08214272-n:0.00193463/08274443-n:0.0018717/08218122-n:0.00183178
. . Fp 1 -

Em em SP 1 -
1985 1985 Z 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00162121/02051694-v:0.000863452/01955984-v:0.00080828/01995549-v:0.000794585/02072849-v:0.000777516/01904930-v:0.000745355/02009433-v:0.000730432/01935233-v:0.000704122/01957529-v:0.000702454/02102398-v:0.00068131/00341560-v:0.000673433/01882814-v:0.000632072/02058994-v:0.000630089/02685951-v:0.000628784/01846916-v:0.000623649/02102002-v:0.000622867/01849221-v:0.000619865/01841079-v:0.000592763/02686471-v:0.000574705/01839538-v:0.00056108/00343898-v:0.00055256
fundador fundador AQ0MS00 0.517364 -
e e CC 0.999951 -
presidente presidente NCMS000 0.998938 10467395-n:0.00262172/10468962-n:0.00258827/10467179-n:0.00238409/10469346-n:0.00229531/10468750-n:0.00227492/10468559-n:0.00218835
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Centro_das_Indústrias_do_Médio_Sapucaí centro_das_indústrias_do_médio_sapucaí NP00O00 1 -
e e CC 0.999951 -
, , Fc 1 -
em em SP 1 -
o o DA0MS0 1 -
ano ano NCMS000 1 15202634-n:0.00162108/15203565-n:0.00159551/15203791-n:0.00155208/15153787-n:0.00141233/15204297-n:0.00140359/08238660-n:0.00139894/15201505-n:0.00139805/15202806-n:0.0013768/15203229-n:0.00133657/15273626-n:0.00131851
seguinte seguinte AQ0CS00 0.932099 00127948-a:0.00627968/00127815-a:0.0062609
, , Fc 1 -
tornou tornar VMIS3S0 1 -
se se PP3CN00 1 -
professor professor NCMS000 1 10694258-n:0.0022433/10560352-n:0.00211131/10480730-n:0.00191433/10559840-n:0.00170358/09759069-n:0.00167972/10298482-n:0.00163275/10252222-n:0.00158666/05854812-n:0.00149744
de de SP 1 -
teoria teoria NCFS000 1 05888929-n:0.00288659/05989479-n:0.00272469/05952979-n:0.00262088/06782680-n:0.00259805/05890249-n:0.00259
geral geral AQ0CS00 0.694581 00489108-a:0.0135152
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
estado estado NCMS000 0.924757 00024720-n:0.00373923/13920835-n:0.00282758/13945919-n:0.0027661/13920429-n:0.00275087/14418395-n:0.00266885
em em SP 1 -
a o DA0FS0 1 -
Faculdade_de_Direito_do_Sul_de_Minas faculdade_de_direito_do_sul_de_minas NP00O00 1 -
, , Fc 1 -
em em SP 1 -
Pouso_Alegre pouso_alegre NP00G00 1 -
. . Fp 1 -

Em em SP 1 -
1987 1987 Z 1 -
, , Fc 1 -
participou participar VMIS3S0 1 02450256-v:0.0115519
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
seminário seminário NCMS000 1 08327816-n:0.00272687/08285109-n:0.00266237/00892145-n:0.00261653/00892413-n:0.00257551
Brasil-França brasil-frança NP00V00 1 -
sobre sobre SP 0.997342 -
privatização privatização NCFS000 1 01152033-n:0.0105656
de de SP 1 -
empresas empresa NCFP000 0.996795 08056231-n:0.0113476
públicas público AQ0FP00 1 00493297-a:0.0105203
, , Fc 1 -
realizado realizar VMP00SM 0.983871 01617192-v:0.00158362/01640855-v:0.0014927/02526085-v:0.00143632/02561995-v:0.001325/00486018-v:0.00129162/02671880-v:0.00128196/02560767-v:0.00125301/02244603-v:0.00115433/02226028-a:0.00112149
em em SP 1 -
Paris paris NP00G00 1 -
, , Fc 1 -
e e CC 0.999951 -
, , Fc 1 -
em em SP 1 -
o o DA0MS0 1 -
ano ano NCMS000 1 15202634-n:0.00140572/15203565-n:0.00138267/15203791-n:0.00135428/15153787-n:0.00122248/15204297-n:0.00121674/08238660-n:0.00121632/15201505-n:0.00121035/15202806-n:0.00119259/15203229-n:0.0011568/15273626-n:0.00113939
seguinte seguinte AQ0CS00 0.932099 00127948-a:0.00544197/00127815-a:0.00542599
, , Fc 1 -
filiou filiar VMIS3S0 1 -
se se PP3CN00 1 -
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Partido_da_Frente_Liberal partido_da_frente_liberal NP00O00 1 -
( ( Fpa 1 -
PFL pfl NP00O00 1 -
) ) Fpt 1 -
em em SP 1 -
a o DA0FS0 1 -
cidade cidade NCFS000 1 08524735-n:0.00274388/08665504-n:0.00234368/08626283-n:0.00182855/08226699-n:0.00182481/08672738-n:0.00174295/08226335-n:0.00161953/08177958-n:0.00153846
mineira mineiro AQ0FS00 0.24904 -
. . Fp 1 -

Eleito eleito AQ0MS00 0.5 00846052-a:0.0138002/01294857-a:0.0118154
prefeito prefeito NCMS000 1 10303814-n:0.0142866/09880881-n:0.00826053/10304018-n:0.00808254
de de SP 1 -
Pouso_Alegre pouso_alegre NP00SP0 1 -
em em SP 1 -
outubro_de_1988 [??:??/10/1988:??.??:??] W 1 -
, , Fc 1 -
não não RN 0.99985 00118531-r:0.0244121
deixou deixar VMIS3S0 1 00120316-v:0.00565136/00800930-v:0.0051943/00802318-v:0.00488275/02310007-v:0.00460111/00771490-v:0.0044283
suas seu DP3FSP 0.994048 -
atividades atividade NCFP000 1 00407535-n:0.00575783/00037396-n:0.00521596/14006945-n:0.00502008/01095753-n:0.00475366/00876737-n:0.00444009
empresariais empresarial AQ0CP00 1 00885288-a:0.0114724/03064382-a:0.011179
. . Fp 1 -

Em em SP 1 -
1989 1989 Z 1 -
tornou tornar VMIS3S0 1 -
se se PP3CN00 1 -
secretário secretário NCMS000 1 10570019-n:0.00530829/10569744-n:0.00528187/01618503-n:0.0049131
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Fundação_Sul_Mineira_de_Ensino fundação_sul_mineira_de_ensino NP00O00 1 -
, , Fc 1 -
administradora administrador NCFS000 0.476101 10014939-n:0.00860256/09770949-n:0.00441207/09770472-n:0.00421779/09770743-n:0.00361149
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Faculdade_de_Direito_do_Sul_de_Minas faculdade_de_direito_do_sul_de_minas NP00O00 1 -
e e CC 0.999951 -
, , Fc 1 -
em em SP 1 -
1991 1991 Z 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00178608/02051694-v:0.00101923/01955984-v:0.000952016/01995549-v:0.000926199/02072849-v:0.000913022/01904930-v:0.000868564/02009433-v:0.000858549/01935233-v:0.000831241/01957529-v:0.000824056/02102398-v:0.000804021/00341560-v:0.000789154/01882814-v:0.000745079/02058994-v:0.000743124/02685951-v:0.000740868/01846916-v:0.000736567/02102002-v:0.000732751/01849221-v:0.000728666/01841079-v:0.000699584/02686471-v:0.00067883/01839538-v:0.000662388/00343898-v:0.000652265
fundador fundador AQ0MS00 0.517364 -
e e CC 0.999951 -
diretor diretor NCMS000 1 10014939-n:0.00860256/10474645-n:0.00398279/10015485-n:0.00384243/10468559-n:0.00372913
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
empresa empresa NCFS000 0.994778 08056231-n:0.0154718
J._S._Têxtil_Aviamentos j._s._têxtil_aviamentos NP00O00 1 -
e e CC 0.999951 -
Tecidos tecer VMP00PM 0.700492 01673891-v:0.00539307/01671039-v:0.00525047/03124541-a:0.00496262
. . Fp 1 -

Deixou deixar VMIS3S0 1 00120316-v:0.00772543/00800930-v:0.00726593/00802318-v:0.00686491/02310007-v:0.00644255/00771490-v:0.00619776
a o DA0FS0 0.675415 -
prefeitura prefeitura NCFS000 1 03036022-n:0.0318353
em em SP 1 -
o o DA0MS0 1 -
final final NCFS000 0.422733 -
de de SP 1 -
seu seu DP3MSS 0.957305 -
mandato mandato NCMS000 0.98913 06556481-n:0.00861971/06552984-n:0.0083777/01140658-n:0.00814018/06530789-n:0.00786754
, , Fc 1 -
em em SP 1 -
o o DA0MS0 1 -
início início NCMS000 1 07325190-n:0.00688531/00235435-n:0.00597471/15265518-n:0.005685/07325990-n:0.00567399/00240184-n:0.00565935/07290905-n:0.00553859
de de SP 1 -
1993 1993 Z 1 -
. . Fp 1 -

Em em SP 1 -
outubro_de_1994 [??:??/10/1994:??.??:??] W 1 -
, , Fc 1 -
obteve obter VMIS3S0 1 02210855-v:0.00181212/02238085-v:0.00165464/02526085-v:0.00160518/02207206-v:0.00141047/02288295-v:0.00138002/02289295-v:0.0013186/02238770-v:0.00129716/02239261-v:0.00124988/02290461-v:0.00122648/02236124-v:0.00122602/00522751-v:0.00122546/00597915-v:0.00120258/02359340-v:0.00116711/02527431-v:0.00116567
uma um DI0FS0 0.903495 -
cadeira cadeira NCFS000 1 04161981-n:0.00459151/04161358-n:0.00419725/04326896-n:0.00390726/03001627-n:0.00386126/08647616-n:0.00358699
em em SP 1 -
a o DA0FS0 1 -
Câmara_dos_Deputados_por_Minas_Gerais câmara_dos_deputados_por_minas_gerais NP00O00 1 -
, , Fc 1 -
com com SP 1 -
a o DA0FS0 0.675415 -
maioria maioria NCFS000 1 05122557-n:0.00556956/13581067-n:0.00549289/15152062-n:0.00540071
de de SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
votos voto NCMP000 0.987805 -
provenientes proveniente AQ0CP00 1 -
de de SP 1 -
sua seu DP3FSS 0.929764 -
base base NCFS000 1 04360501-n:0.00422217/03387016-n:0.00352459/03903868-n:0.00350072/13790912-n:0.00333128/14618253-n:0.00328732
eleitoral eleitoral AQ0CS00 1 02717538-a:0.00851453/00846219-a:0.00767992
em em SP 1 -
o o DA0MS0 1 -
sul sul NCMS000 1 13833375-n:0.00877313/08563085-n:0.00753256
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
estado estado NCMS000 0.924757 00024720-n:0.00464913/13920835-n:0.00365617/13920429-n:0.00356771/13945919-n:0.00355306/14418395-n:0.00346497
. . Fp 1 -

Participou participar VMIS3S0 1 02450256-v:0.0288463
de de SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
trabalhos trabalho NCMP000 1 00575741-n:0.00465072/00584367-n:0.00362879/00582388-n:0.00340061/04602044-n:0.00299333/00576877-n:0.00292434/00796886-n:0.00287628/00581241-n:0.0028663/00621476-n:0.0028222/08137495-n:0.00271622/00576717-n:0.00266525
legislativos legislativo AQ0MP00 1 02829565-a:0.0144914/02829422-a:0.0137064
como como CS 0.751351 -
membro membro NCMS000 1 10307234-n:0.00756998/05559908-n:0.00724887/05560244-n:0.00695447/13810615-n:0.00656724
titular titular AQ0CS00 0.655827 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Comissão_de_Constituição_e_Justiça comissão_de_constituição_e_justiça NP00O00 1 -
. . Fp 1 -

Em em SP 1 -
1995 1995 Z 1 -
, , Fc 1 -
trocou trocar VMIS3S0 1 02257370-v:0.00583738/02257767-v:0.00503653/02259005-v:0.00440816/00161225-v:0.00404834/02259241-v:0.00399677/00121926-v:0.00354485/00009147-v:0.00349968/00161987-v:0.00349967/00548913-v:0.0034404/00169458-v:0.00342213/00121678-v:0.00342121/02393489-v:0.00333283
o o DA0MS0 0.950254 -
PFL pfl NP00O00 1 -
por por SP 1 -
o o DA0MS0 1 -
