<OUTPUT SRCFILE="8891.raw">
** ** Fz 1 -
julgar julgar VMN0000 0.529581 02501278-v:0.00101004/00670261-v:0.000796254/00822367-v:0.000676897/00672277-v:0.000649788/00693780-v:0.000645884/02166460-v:0.000627586
em em SP 1 -
primeira primeiro AO0FS00 0.963287 01012990-a:0.00327661
e e CC 0.999951 -
única único AQ0FS00 0.995283 02215087-a:0.00199075/00505853-a:0.00186853
instância instância NCFS000 1 07185325-n:0.00137116/06513366-n:0.00123269/14451349-n:0.00122806
os o DA0MP0 0.958022 -
presidentes presidente NCMP000 0.432698 10467395-n:0.000776702/10468962-n:0.000739184/10467179-n:0.000723902/10469346-n:0.000641648/10468750-n:0.000635179/10468559-n:0.000612043
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
República república NP00O00 1 08168978-n:0.00264182/08361329-n:0.00179362
em em SP 1 -
os o DA0MP0 1 -
crimes crime NCMP000 1 00766234-n:0.00241915/00768701-n:0.00124418/00767477-n:0.00123291
comuns comum AQ0CP00 0.517364 00489108-a:0.000670115/01672607-a:0.000567749/00485711-a:0.000552597/01593079-a:0.000444129/00970610-a:0.000410214/00492677-a:0.000406858/02152473-a:0.000406134/01046226-a:0.000380802/02346557-a:0.000376469
, , Fc 1 -
os o DA0MP0 0.958022 -
juízes juiz NCMP000 1 10225219-n:0.00101887/10372076-n:0.000895732/10514429-n:0.000716541/09769636-n:0.000665227/10735984-n:0.000633626/10526927-n:0.000604709
de de SP 1 -
seção seção NCFS000 1 08648153-n:0.00352621
em em SP 1 -
os o DA0MP0 1 -
crimes crime NCMP000 1 00766234-n:0.00241915/00768701-n:0.00124418/00767477-n:0.00123291
de de SP 1 -
responsabilidade responsabilidade NCFS000 1 01129920-n:0.000843961/04669247-n:0.000737673/14515633-n:0.000699461/14490319-n:0.000627121/04669828-n:0.000598692/00818466-n:0.000598436
, , Fc 1 -
os o DA0MP0 0.958022 -
ministros ministro NCMP000 1 10320863-n:0.00187352/00585810-n:0.00182367
diplomáticos diplomático AQ0MP00 1 00758459-a:0.00191685/02713715-a:0.00179023
em em SP 1 -
ambos ambos PI0MP00 0.927632 -
os o DA0MP0 0.958022 -
