<OUTPUT SRCFILE="11463.raw">
** ** Fz 1 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
executiva executivo NCFS000 0.487794 09770472-n:0.0128759
regional regional AQ0CS00 1 02871858-a:0.00638118/02408977-a:0.00633556
. . Fp 1 -

Em em SP 1 -
1987 1987 Z 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00196323/02051694-v:0.00112079/01955984-v:0.00104496/01995549-v:0.00101665/02072849-v:0.00100479/01904930-v:0.000952391/02009433-v:0.000946166/01935233-v:0.000914099/01957529-v:0.00090792/02102398-v:0.000883814/00341560-v:0.000867921/01882814-v:0.000819232/02058994-v:0.000816924/02685951-v:0.000813498/01846916-v:0.000808707/02102002-v:0.000806049/01849221-v:0.000800915/01841079-v:0.000769249/02686471-v:0.00074669/01839538-v:0.000728521/00343898-v:0.000717418
eleita eleito AQ0FS00 0.463795 00846052-a:0.00967162/01294857-a:0.00827184
presidente presidente NCMS000 0.998938 10467395-n:0.00340403/10468962-n:0.00336601/10467179-n:0.00317232/10469346-n:0.00297628/10468750-n:0.0029399/10468559-n:0.00284061
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Associação_dos_Licenciados associação_dos_licenciados NP00O00 1 -
em em SP 1 -
Santa_Catarina santa_catarina NP00G00 1 -
( ( Fpa 1 -
Alisc alisc NP00G00 1 -
) ) Fpt 1 -
, , Fc 1 -
que que PR0CN00 0.584265 -
deu dar VMIS3S0 1 02230772-v:0.0011795/02327200-v:0.00114641/02200686-v:0.00109438/02199590-v:0.000979575/00056930-v:0.000961695/02339413-v:0.000946268/02229055-v:0.00087592/02358327-v:0.000875016/02235229-v:0.00086842/02262278-v:0.00086331/02296153-v:0.000793943/02293321-v:0.000787884/02308741-v:0.000785694/02255462-v:0.00076714/02263027-v:0.000756556/02316649-v:0.000737727/02357873-v:0.00070985/02310328-v:0.000702924/02310007-v:0.000694618/01180351-v:0.000691078/02316868-v:0.000684082/02336483-v:0.000680993/02200498-v:0.000676693/01233027-v:0.000660542
origem origem NCFS000 1 04922787-n:0.0181167
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Sindicato_dos_Trabalhadores_na_Educação sindicato_dos_trabalhadores_na_educação NP00O00 1 -
( ( Fpa 1 -
Sinte sinte NP00O00 1 -
) ) Fpt 1 -
. . Fp 1 -

Foi ir VMIS3S0 0.5 01835496-v:0.00278044/02051694-v:0.00160027/01955984-v:0.00148729/01995549-v:0.00144824/02072849-v:0.00143305/01904930-v:0.001344/02009433-v:0.00134178/01935233-v:0.00130424/01957529-v:0.00129988/02102398-v:0.00125932/00341560-v:0.00123926/01882814-v:0.00116955/02058994-v:0.00116565/02685951-v:0.00116502/01846916-v:0.0011558/02102002-v:0.00115063/01849221-v:0.00114432/01841079-v:0.00109824/02686471-v:0.00106573/01839538-v:0.00104067/00343898-v:0.00102478
professora professor NCFS000 0.819323 10694258-n:0.0290041/10560352-n:0.00433945/10480730-n:0.00377199/10559840-n:0.0032142/09759069-n:0.00312958/10298482-n:0.00303647/10252222-n:0.00294827/05854812-n:0.00280894
de de SP 1 -
matemática matemática NCFS000 0.263062 06000644-n:0.0260634
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
quadro quadro NCMS000 0.993421 04076846-n:0.0242168
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
magistério magistério NCMS000 1 10694258-n:0.0290041
estadual estadual AQ0CS00 1 -
catarinense catarinense NCCS000 1 -
de de SP 1 -
1983 1983 Z 1 -
até até SP 0.764262 -
1994 1994 Z 1 -
. . Fp 1 -

Foi ir VMIS3S0 0.5 01835496-v:0.00179206/02051694-v:0.00101915/01955984-v:0.000952705/01995549-v:0.000932279/02072849-v:0.00091356/01904930-v:0.00086955/02009433-v:0.000860036/01935233-v:0.000831617/01957529-v:0.000826885/02102398-v:0.000803752/00341560-v:0.000790636/01882814-v:0.000745063/02685951-v:0.000744417/02058994-v:0.000743668/02102002-v:0.000737002/01846916-v:0.000735642/01849221-v:0.000729656/01841079-v:0.00069983/02686471-v:0.000680209/01839538-v:0.000662568/00343898-v:0.000652872
presidente presidente NCMS000 0.998938 10467395-n:0.00308408/10468962-n:0.00306111/10467179-n:0.0028192/10469346-n:0.00270641/10468750-n:0.0026782/10468559-n:0.00258262
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
    Fz 1 -
[ [ Fca 1 -
Sindicato_dos_Trabalhadores sindicato_dos_trabalhadores NP00O00 1 -
em em SP 1 -
Educação educação NP00O00 1 00883297-n:0.00387445/00887081-n:0.00317787/05984287-n:0.00314559/05753564-n:0.00310767/04921900-n:0.00294172
] ] Fct 1 -
( ( Fpa 1 -
http://pt.wikipedia.org/w/index.php?title=Sindicato_dos_Trabalhadores_em_Educa%C3%A7%C3%A3o&action=edit&redlink=1 http://pt.wikipedia.org/w/index.php?title=Sindicato_dos_Trabalhadores_em_Educa%C3%A7%C3%A3o&action=edit&redlink=1 Z 1 -
" " Fe 1 -
Sindicato_dos_Trabalhadores_em_Educação sindicato_dos_trabalhadores_em_educação NP00O00 1 -
( ( Fpa 1 -
página página NCFS000 1 06256697-n:0.0163657
não não RN 0.99985 00118531-r:0.0155329
existe existir VMIP3S0 0.992958 02603699-v:0.00920684/02653381-v:0.00775398
) ) Fpt 1 -
" " Fe 1 -
) ) Fpt 1 -
    Fz 1 -
( ( Fpa 1 -
Sinte sinte NP00O00 1 -
/ / Fh 1 -
SC sc NP00O00 1 -
) ) Fpt 1 -
por por SP 1 -
dois 2 Z 1 -
mandatos mandato NCMP000 1 06556481-n:0.00391956/06552984-n:0.00381959/01140658-n:0.0037/06530789-n:0.00357792
, , Fc 1 -
em em SP 1 -
1989 1989 Z 1 -
e e CC 0.999951 -
em em SP 1 -
1992 1992 Z 1 -
. . Fp 1 -

Em em SP 1 -
1993 1993 Z 1 -
, , Fc 1 -
também também RG 0.998533 00047534-r:0.0234165
iniciou iniciar VMIS3S0 1 00348746-v:0.00547416/00345761-v:0.00524998/02608347-v:0.0052474/01650610-v:0.00486661/00964911-v:0.0044291
sua seu DP3FSS 0.929764 -
militância militância NCFS000 1 -
em em SP 1 -
o o DA0MS0 1 -
movimento movimento NCMS000 0.990196 07309781-n:0.00261588/00279835-n:0.00259498/00166355-n:0.00225198/00294190-n:0.00223041/08464601-n:0.00222676/07046339-n:0.0022173/14004317-n:0.0021768/00280586-n:0.00216165/00331655-n:0.00215637/00165942-n:0.00209234/11425088-n:0.00201232
sindical sindical AQ0CS00 1 02474191-a:0.0254656
em em SP 1 -
a o DA0FS0 1 -
Associação_dos_Professores_de_Joinville associação_dos_professores_de_joinville NP00O00 1 -
( ( Fpa 1 -
APJ apj NP00O00 1 -
) ) Fpt 1 -
. . Fp 1 -

Foi ir VMIS3S0 0.5 01835496-v:0.0024508/02051694-v:0.00140051/01955984-v:0.00130596/01995549-v:0.00127374/02072849-v:0.00125426/01904930-v:0.0011785/02009433-v:0.00117594/01935233-v:0.00115363/01957529-v:0.0011281/02102398-v:0.00110278/00341560-v:0.00108538/02685951-v:0.001035/01882814-v:0.00102393/02058994-v:0.00102066/01846916-v:0.00101067/02102002-v:0.00100661/01849221-v:0.00100058/01841079-v:0.000961506/02686471-v:0.0009333/01839538-v:0.000910487/00343898-v:0.000897004
uma um DI0FS0 0.903495 -
de de SP 1 -
as o DA0FP0 0.974798 - o PD0FP00 0.0142702 - o PP3FPA0 0.0109322 -
fundadoras fundador NCFP000 0.392664 10107303-n:0.0212611
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Central_Única_dos_Trabalhadores central_única_dos_trabalhadores NP00O00 1 -
( ( Fpa 1 -
CUT cut NP00O00 1 -
/ / Fh 1 -
SC sc NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
sendo ser VMG0000 1 02604760-v:0.0238264
tesoureira tesoureiro NCFS000 1 10727256-n:0.023647
em em SP 1 -
a o DA0FS0 1 -
gestão gestão NCFS000 1 01133281-n:0.00877601/01135952-n:0.00739668/01144876-n:0.00703256
1988-1991 1988-1991 Z 1 -
. . Fp 1 -

Em em SP 1 -
1994 1994 Z 1 -
, , Fc 1 -
elegeu eleger VMIS3S0 1 -
se se PP3CN00 1 -
deputada deputado NCFS000 0.652137 09830400-n:0.015847/10005934-n:0.0156688
estadual estadual AQ0CS00 1 -
por por SP 1 -
o o DA0MS0 1 -
PT pt NP00O00 1 -
, , Fc 1 -
reelegendo reeleger VMG0000 1 -
se se PP3CN00 1 -
em em SP 1 -
1998 1998 Z 1 -
. . Fp 1 -

Em em SP 1 -
este este DD0MS0 0.843484 - este PD0MS00 0.156516 -
período período NCMS000 1 15113229-n:0.00187724/15248564-n:0.00108577/15247518-n:0.00106109/15254028-n:0.00100294/15144371-n:0.000993246/15290337-n:0.000947175/15248020-n:0.000941217/15122231-n:0.000933957/15236475-n:0.00090414/15248269-n:0.000898837/15224486-n:0.000867934/15249236-n:0.000866268/15120346-n:0.000823425/15134490-n:0.000802029
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00144812/02051694-v:0.00080155/01955984-v:0.000753765/01995549-v:0.000736344/02072849-v:0.000720621/01904930-v:0.000699609/02009433-v:0.000679109/01935233-v:0.000657702/01957529-v:0.000655972/02102398-v:0.000633868/00341560-v:0.000623217/01882814-v:0.000586793/02685951-v:0.00058673/02058994-v:0.000585632/02102002-v:0.000580357/01846916-v:0.000579188/01849221-v:0.000574209/01841079-v:0.000551031/02686471-v:0.00053591/01839538-v:0.000521222/00343898-v:0.000512799
líder líder NCCS000 0.996454 09623038-n:0.0124621
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
bancada bancada NCFS000 1 04600486-n:0.0131022
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
PT pt NP00O00 1 -
em em SP 1 -
a o DA0FS0 1 -
Assembléia_Legislativa assembléia_legislativa NP00O00 1 -
( ( Fpa 1 -
1995-96 1995-96 Z 1 -
) ) Fpt 1 -
, , Fc 1 -
membro membro NCMS000 1 10307234-n:0.0033257/05559908-n:0.0031108/05560244-n:0.00298402/13810615-n:0.00281597
de de SP 1 -
quatro 4 Z 1 -
comissões comissão NCFP000 1 08324514-n:0.00267883/08402442-n:0.00236158/00773235-n:0.00227374/13320860-n:0.00222356/06478988-n:0.0022031
permanentes permanente AQ0CP00 0.517364 01754421-a:0.00605113/01759527-a:0.00556577
, , Fc 1 -
presidente presidente NCMS000 0.998938 10467395-n:0.00244025/10468962-n:0.00243097/10467179-n:0.00224524/10469346-n:0.00220477/10468750-n:0.00210166/10468559-n:0.00203133
de de SP 1 -
as o DA0FP0 0.974798 - o PD0FP00 0.0142702 - o PP3FPA0 0.0109322 -
Comissões_Parlamentares_de_Inquérito comissões_parlamentares_de_inquérito NP00O00 1 -
( ( Fpa 1 -
CPIs cpis NP00O00 1 -
) ) Fpt 1 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Telefonia_Rural_Catarinense telefonia_rural_catarinense NP00O00 1 -
( ( Fpa 1 -
1995 1995 Z 1 -
) ) Fpt 1 -
e e CC 0.999951 -
de de SP 1 -
as o DA0FP0 0.974798 - o PD0FP00 0.0142702 - o PP3FPA0 0.0109322 -
Letras letra NCFP000 0.5 06828818-n:0.0052243/06818970-n:0.00440774/07051975-n:0.00401925
( ( Fpa 1 -
1997 1997 Z 1 -
) ) Fpt 1 -
. . Fp 1 -

Entre entre SP 0.987856 -
2000 2000 Z 1 -
e e CC 0.999951 -
2001 2001 Z 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00478698/02051694-v:0.0028005/01955984-v:0.00259038/01995549-v:0.00251939/02072849-v:0.00250789/02009433-v:0.00233927/01904930-v:0.0023106/01935233-v:0.00227997/01957529-v:0.00223991/02102398-v:0.00219918/00341560-v:0.00216575/01882814-v:0.00204362/02058994-v:0.00203588/02685951-v:0.00202182/01846916-v:0.00201736/02102002-v:0.00200602/01849221-v:0.00199335/01841079-v:0.00191955/02686471-v:0.00186397/01839538-v:0.00181953/00343898-v:0.00179251
integrante integrante AQ0CS00 1 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
CPI_do_Banco_do_Estado_de_Santa_Catarina cpi_do_banco_do_estado_de_santa_catarina NP00O00 1 -
( ( Fpa 1 -
Besc besc NP00O00 1 -
) ) Fpt 1 -
. . Fp 1 -

Em em SP 1 -
outubro_de_2002 [??:??/10/2002:??.??:??] W 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.0038563/02051694-v:0.00223918/01955984-v:0.00207403/01995549-v:0.0020204/02072849-v:0.00200449/02009433-v:0.00187538/01904930-v:0.0018576/01935233-v:0.00182584/01957529-v:0.00179626/02102398-v:0.00175949/00341560-v:0.0017333/01882814-v:0.00163583/02058994-v:0.00162948/02685951-v:0.00162034/01846916-v:0.00161497/02102002-v:0.00160709/01849221-v:0.00159677/01841079-v:0.00153618/02686471-v:0.00149167/01839538-v:0.00145601/00343898-v:0.00143429
eleita eleito AQ0FS00 0.463795 00846052-a:0.0193003/01294857-a:0.016539
para para SP 0.999444 -
o o DA0MS0 0.950254 -
Senado_por_Santa_Catarina senado_por_santa_catarina NP00O00 1 -
em em SP 1 -
a o DA0FS0 1 -
legenda legenda NCFS000 0.8193 06346891-n:0.017662/06347588-n:0.01638
petista petista AQ0CS00 0.517364 -
. . Fp 1 -

Obteve obter VMIS3S0 1 02210855-v:0.0020532/02238085-v:0.00184318/02526085-v:0.00178484/02207206-v:0.00159949/02288295-v:0.00157936/02289295-v:0.0014787/02238770-v:0.00143752/02239261-v:0.00139074/02290461-v:0.00136556/02236124-v:0.00136451/00522751-v:0.00136299/00597915-v:0.00134316/02359340-v:0.00129751/02527431-v:0.0012954
1.054.304 1054304 Z 1 -
votos voto NCMP000 0.987805 -
, , Fc 1 -
tendo ter VMG0000 0.996894 00065639-v:0.00715103/02632167-v:0.00687343/00065370-v:0.00499707/02204692-v:0.00491273
sido ser VMP00SM 1 02604760-v:0.0214361
a o DA0FS0 0.675415 -
primeira primeiro AO0FS00 0.963287 01012990-a:0.017075
mulher mulher NCFS000 1 10787470-n:0.00446198/10129825-n:0.0022365/10780632-n:0.00197784/10084295-n:0.00164205/09619168-n:0.00163949/10130686-n:0.00163226/09989290-n:0.00157887/08477634-n:0.00152575/10788852-n:0.00151315/10243137-n:0.00139968/10130447-n:0.00134264/09989045-n:0.0013269/09875663-n:0.00131919
eleita eleito AQ0FS00 0.463795 00846052-a:0.0107966/01294857-a:0.00919377
por por SP 1 -
o o DA0MS0 1 -
estado estado NCMS000 0.924757 00024720-n:0.00558284/13920835-n:0.00407813/13945919-n:0.00406601/13920429-n:0.00396814/14418395-n:0.00385302
para para SP 0.999444 -
o o DA0MS0 0.950254 -
Senado senado NP00O00 1 08161477-n:0.0184416
. . Fp 1 -

Assumiu assumir VMIS3S0 1 00632236-v:0.00520328/00524682-v:0.00514262/02381726-v:0.00508928
o o DA0MS0 0.950254 -
mandato mandato NCMS000 0.98913 06556481-n:0.00393452/06552984-n:0.0038344/01140658-n:0.00370621/06530789-n:0.00358368
em em SP 1 -
fevereiro_de_2003 [??:??/2/2003:??.??:??] W 1 -
e e CC 0.999951 -
integrou integrar VMIS3S0 1 00466651-v:0.0054574/00642980-v:0.00508384/00467451-v:0.00494776
as o DA0FP0 0.974798 -
comissões comissão NCFP000 1 08324514-n:0.00332113/08402442-n:0.00300138/00773235-n:0.00289626/13320860-n:0.00283032/06478988-n:0.00282011
de de SP 1 -
Constituição constituição NP00V00 1 04933544-n:0.00511607/06533648-n:0.00502889/00237078-n:0.00492922
, , Fc 1 -
Justiça justiça NP00V00 1 00694681-n:0.00474943/00694866-n:0.00295559/04850117-n:0.00272823/04839154-n:0.00250918/04826235-n:0.00240473/04850341-n:0.00237422/08135342-n:0.00215024
e e CC 0.999951 -
Cidadania cidadania NP00G00 1 08160276-n:0.00522752/13953467-n:0.00506968/04898208-n:0.00487456
, , Fc 1 -
a a SP 0.313151 -
de de SP 1 -
Educação educação NP00O00 1 00883297-n:0.00388761/00887081-n:0.00318189/05984287-n:0.00317644/05753564-n:0.00311305/04921900-n:0.00294638
, , Fc 1 -
Cultura cultura NP00O00 1 08287844-n:0.00320382/05984936-n:0.00318861/06194409-n:0.0031274/05751794-n:0.00309572/00920510-n:0.00303008
e e CC 0.999951 -
Esporte esporte NP00O00 1 00523513-n:0.00867976/00463246-n:0.00738962
e e CC 0.999951 -
a o DA0FS0 0.675415 -
de de SP 1 -
Serviços_de_Infraestrutura serviços_de_infraestrutura NP00V00 1 -
. . Fp 1 -

Líder líder NCCS000 0.996454 09623038-n:0.0190641
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
bancada bancada NCFS000 1 04600486-n:0.0203794
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
PT pt NP00O00 1 -
em em SP 1 -
o o DA0MS0 1 -
Senado senado NP00O00 1 08161477-n:0.0183715
, , Fc 1 -
votou votar VMIS3S0 1 02461314-v:0.00857676/02400637-v:0.00599852/02462201-v:0.00585292
a o DA0FS0 0.675415 -
favor favor NCMS000 1 01226941-n:0.00966438/05156319-n:0.0091031
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
reforma reforma NCFS000 0.968254 00260622-n:0.00954164/00800940-n:0.00915658
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Previdência previdência NP00O00 1 14494893-n:0.0185233
e e CC 0.999951 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
reforma reforma NCFS000 0.968254 00260622-n:0.00954164/00800940-n:0.00915658
tributária tributário AQ0FS00 0.538829 02847894-a:0.00962383/01855348-a:0.00848298
. . Fp 1 -

Em em SP 1 -
2005 2005 Z 1 -
, , Fc 1 -
o o DA0MS0 0.950254 -
projeto projeto NCMS000 1 05898568-n:0.00350772/00795720-n:0.00309551/05891572-n:0.00263867/05902327-n:0.00262619/05910453-n:0.00257203
de de SP 1 -
lei lei NCFS000 1 08441203-n:0.00518719/06532330-n:0.0039057/05872982-n:0.00323037/08456347-n:0.00302252
de de SP 1 -
sua seu DP3FSS 0.929764 -
autoria autoria NCFS000 1 00929718-n:0.0136325
que que PR0CN00 0.584265 -
garantia garantir VMII3S0 0.26903 00890590-v:0.00458539/00891936-v:0.00451394/00889555-v:0.00438374
as o DA0FP0 0.974798 -
gestantes gestante NCFP000 0.332636 -
o o DA0MS0 0.950254 -
direito direito NCMS000 0.936047 -
a a SP 0.313151 -
escolher escolher VMN0000 0.269565 00674607-v:0.00346342/00676450-v:0.0017705/02400760-v:0.0016888/00676864-v:0.00166641/00679239-v:0.00163759/00677683-v:0.00162839/01710481-v:0.00158198/00677203-v:0.00149452
um um DI0MS0 0.877848 -
acompanhante acompanhante NCCS000 1 09760913-n:0.00604961/09889065-n:0.00587221
para para SP 0.999444 -
a o DA0FS0 0.675415 -
hora hora NCFS000 0.989637 15228378-n:0.00191651/15225249-n:0.00175168/15129927-n:0.00173574/15227846-n:0.00171831/15270431-n:0.00167964/15116910-n:0.00156861/05131023-n:0.00145948/15228910-n:0.00144897
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
parto parto NCMS000 0.914011 13448334-n:0.0129694
foi ir VMIS3S0 0.5 01835496-v:0.00156299/02051694-v:0.000856869/01955984-v:0.000808145/01995549-v:0.000793793/02072849-v:0.000775064/01904930-v:0.000749696/02009433-v:0.000726698/01957529-v:0.000703709/01935233-v:0.000702399/02102398-v:0.000680688/00341560-v:0.000671794/02685951-v:0.000648001/01882814-v:0.00063111/02058994-v:0.000630064/01846916-v:0.000622987/02102002-v:0.00062156/01849221-v:0.000619208/01841079-v:0.000592744/02686471-v:0.000574727/01839538-v:0.000561063/00343898-v:0.000552734
