<OUTPUT SRCFILE="11650.raw">
** ** Fz 1 -
mandatos mandato NCMP000 1 06556481-n:0.00431192/06552984-n:0.00419176/01140658-n:0.00407164/06530789-n:0.00393833
seguidos seguir VMP00PM 0.992518 01995549-v:0.00352851/02634265-v:0.00330211/02720354-v:0.00297017/02025550-v:0.00250864/00597758-a:0.00240412/01998432-v:0.00240195/01991931-v:0.00240036
, , Fc 1 -
de de SP 1 -
1978 1978 Z 1 -
a a SP 0.313151 -
1989 1989 Z 1 -
. . Fp 1 -

Foi ir VMIS3S0 0.5 01835496-v:0.00219559/02051694-v:0.00111402/01955984-v:0.00104531/01995549-v:0.00102256/02072849-v:0.00100889/01904930-v:0.000956531/02009433-v:0.000945981/02685951-v:0.000934184/01935233-v:0.000913056/01957529-v:0.000910027/02102398-v:0.000883843/00341560-v:0.000870632/02686471-v:0.00084856/01882814-v:0.000820294/02058994-v:0.000818202/01846916-v:0.0008102/02102002-v:0.00080932/01849221-v:0.000804774/01841079-v:0.000770609/01839538-v:0.000729735/00343898-v:0.000717731
um um DI0MS0 0.877848 -
de de SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
organizadores organizador NCMP000 0.97619 10383237-n:0.0160663
e e CC 0.999951 -
diretor diretor NCMS000 1 10014939-n:0.00469251/10474645-n:0.00436385/10015485-n:0.00418569/10468559-n:0.00407543
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Pró-Central_Única_dos_Trabalhadores pró-central_única_dos_trabalhadores NP00O00 1 -
e e CC 0.999951 -
esteve estar VMIS3S0 0.982759 02604760-v:0.00420127/02655135-v:0.00285746/00149583-v:0.00254335/01857392-v:0.00249061/02734338-v:0.00242987/02729963-v:0.00237294/00065495-v:0.00222631
envolvido envolver VMP00SM 0.992518 02677332-v:0.00570169/01582200-v:0.00542782/01582070-v:0.0051925
em em SP 1 -
as o DA0FP0 1 -
discussões discussão NCFP000 1 07181935-n:0.00318147/07183151-n:0.00270874/07140659-n:0.00258509/07184149-n:0.00255489/07140978-n:0.0025352/07138085-n:0.00248819/01170813-n:0.00232193
que que PR0CN00 0.584265 -
levaram levar VMIS3P0 0.65 00723545-v:0.0169475
a a SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
construção construção NCFS000 1 00911048-n:0.006813/01104637-n:0.00571036/00912001-n:0.00552954
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Sistema_Único_de_Saúde sistema_único_de_saúde NP00O00 1 -
( ( Fpa 1 -
SUS sus I 1 -
) ) Fpt 1 -
. . Fp 1 -

Elegeu eleger VMIS3S0 1 -
se se PP3CN00 1 -
[ [ Fca 1 -
deputado deputado NCMS000 0.993827 09830400-n:0.00990517/10005934-n:0.00979343
estadual estadual AQ0CS00 1 -
] ] Fct 1 -
( ( Fpa 1 -
http://pt.wikipedia.org/wiki/Deputado_estadual http://pt.wikipedia.org/wiki/deputado_estadual AQ0CS00 1 -
" " Fe 1 -
Deputado deputado NCMS000 0.993827 09830400-n:0.00990517/10005934-n:0.00979343
estadual estadual AQ0CS00 1 -
" " Fe 1 -
) ) Fpt 1 -
pela_primeira_vez pela_primeira_vez RG 1 -
em em SP 1 -
[ [ Fca 1 -
1990 1990 Z 1 -
] ] Fct 1 -
( ( Fpa 1 -
http://pt.wikipedia.org/wiki/1990 http://pt.wikipedia.org/wiki/1990 Z 1 -
