<OUTPUT SRCFILE="1326.raw">
Antônio_Aureliano_Chaves_de_Mendonça antônio_aureliano_chaves_de_mendonça NP00SP0 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
mesmo mesmo PI0MS00 0.176901 -
instituto instituto NCMS000 1 08276720-n:0.00425907/08284481-n:0.00320241/08409617-n:0.00316897/08278324-n:0.00306124/08279298-n:0.00299567/08278169-n:0.00273699/08277393-n:0.00258874/08407330-n:0.00242043
e e CC 0.999951 -
engenheiro-chefe engenheiro-chefe NCMS000 0.846154 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Prefeitura_de_Itajubá prefeitura_de_itajubá NP00O00 1 -
. . Fp 1 -

Pouco pouco RG 0.690283 -
depois depois RG 1 00146281-r:0.00936787/00061203-r:0.00814464
, , Fc 1 -
mudou mudar VMIS3S0 1 -
se se PP3CN00 1 -
para para SP 0.999444 -
Belo_Horizonte belo_horizonte NP00G00 1 -
para para SP 0.999444 -
reger reger VMN0000 0.529581 02441022-v:0.0051067/02586619-v:0.00447137/02539334-v:0.00409593/02442205-v:0.00407502
a o DA0FS0 0.675415 -
cadeira cadeira NCFS000 1 04161981-n:0.0046/04161358-n:0.00414476/04326896-n:0.00391212/03001627-n:0.00379418/08647616-n:0.00358829
de de SP 1 -
transmissão transmissão NCFS000 1 04472243-n:0.00583506/06251781-n:0.00570465/13589003-n:0.00542706
de de SP 1 -
energia energia NCFS000 1 05035961-n:0.00267653/14050143-n:0.0026042/11452218-n:0.00250311/04836683-n:0.00239822/04634833-n:0.00234917/04633197-n:0.00225916/11452079-n:0.00225746
elétrica elétrico AQ0FS00 0.561493 02826877-a:0.00570946/02826701-a:0.00544364/00921631-a:0.00511086
em em SP 1 -
o o DA0MS0 1 -
Instituto_Politécnico_da_Universidade_Católica_de_Minas_Gerais instituto_politécnico_da_universidade_católica_de_minas_gerais NP00O00 1 -
. . Fp 1 -

Em em SP 1 -
1958 1958 Z 1 -
