<OUTPUT SRCFILE="11357.raw">
** ** Fz 1 -
2000 2000 Z 1 -
a a SP 0.313151 -
2002 2002 Z 1 -
. . Fp 1 -

Em em SP 1 -
1988 1988 Z 1 -
se se PP3CN00 0.861659 -
elegeu eleger VMIS3S0 1 00676864-v:0.00405661/02400760-v:0.00405059/01710481-v:0.00384619
    Fz 1 -
vereadora vereador NCFS000 1 09944763-n:0.00642819/09782397-n:0.00591759
por por SP 1 -
Fortaleza fortaleza NP00G00 1 03385557-n:0.00456617/04340935-n:0.00440755/03386011-n:0.00432706
em em SP 1 -
a o DA0FS0 1 -
legenda legenda NCFS000 0.8193 06346891-n:0.00630959/06347588-n:0.00585662
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Partido_da_Frente_Liberal partido_da_frente_liberal NP00O00 1 -
( ( Fpa 1 -
PFL pfl NP00O00 1 -
) ) Fpt 1 -
    Fz 1 -
ano ano NCMS000 1 15202634-n:0.00150586/15203565-n:0.00147627/15203791-n:0.00145304/15153787-n:0.00131125/15204297-n:0.00130227/08238660-n:0.00129888/15201505-n:0.00129567/15202806-n:0.00127779/15203229-n:0.00123253/15273626-n:0.0012214
em em SP 1 -
que que PR0CN00 0.584265 -
também também RG 0.998533 00047534-r:0.0117182
se se PP3CN00 0.861659 -
tornou tornar VMIS3S0 1 00146138-v:0.00428316/00149583-v:0.00426452/00120796-v:0.00376841
vice vice AQ0CN00 1 -
presidente presidente NCMS000 1 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Executiva_Estadual executiva_estadual NP00O00 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
partido partido NCMS000 0.98773 -
em em SP 1 -
o o DA0MS0 1 -
Ceará ceará NP00G00 1 -
. . Fp 1 -

A a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
assumir assumir VMN0000 0.529581 00632236-v:0.00944411/00524682-v:0.00940072/02381726-v:0.00933103
o o DA0MS0 0.950254 -
mandato mandato NCMS000 0.98913 06556481-n:0.00717866/06552984-n:0.00696998/01140658-n:0.0067806/06530789-n:0.00655149
em em SP 1 -
a o DA0FS0 1 -
Câmara_Municipal câmara_municipal NP00O00 1 -
, , Fc 1 -
em em SP 1 -
1989 1989 Z 1 -
, , Fc 1 -
tornou tornar VMIS3S0 1 -
se se PP3CN00 1 -
líder líder NCCS000 0.996454 09623038-n:0.0284644
de de SP 1 -
seu seu DP3MSS 0.957305 -
partido partido NCMS000 0.98773 -
até até SP 0.764262 -
1992 1992 Z 1 -
. . Fp 1 -

Assumiu assumir VMIS3S0 1 00632236-v:0.0027244/00524682-v:0.0027036/02381726-v:0.00268354
a o DA0FS0 0.675415 -
presidência presidência NCFS000 1 00596807-n:0.00396463/15266265-n:0.00394309
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
executiva executivo NCFS000 0.487794 09770472-n:0.00803951
municipal municipal AQ0CS00 0.983871 02697452-a:0.00514737/01038580-a:0.00367706
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
PFL pfl NP00O00 1 -
de de SP 1 -
Fortaleza fortaleza NP00G00 1 03385557-n:0.0030485/04340935-n:0.00294048/03386011-n:0.00288808
em em SP 1 -
1992 1992 Z 1 -
a a SP 0.313151 -
2002 2002 Z 1 -
. . Fp 1 -
    Fz 1 -
Seria ser VMIC1S0 0.332891 02604760-v:0.00911542
reeleita reeleito AQ0FS00 0.463795 -
vereadora vereador NCFS000 1 09944763-n:0.00431075/09782397-n:0.00429246
    Fz 1 -
em em SP 1 -
1992 1992 Z 1 -
, , Fc 1 -
porém porém CC 1 -
em em SP 1 -
1994 1994 Z 1 -
abandonou abandonar VMIS3S0 1 00614057-v:0.000620986/00613683-v:0.000560671/02228031-v:0.000548/00613248-v:0.000542228/02227487-v:0.000502411/02076676-v:0.00049859/02227741-v:0.000485364/02303331-v:0.000480514/02316304-v:0.000476932/00613393-v:0.00046833/02229055-v:0.000464364/02584097-v:0.000459841/00496673-v:0.000451274/02383440-v:0.000440884/00363110-v:0.0004324/01083044-v:0.000423264/02223136-v:0.000415772/01842367-v:0.000412563
    Fz 1 -
o o DA0MS0 0.950254 -
cargo cargo NCMS000 1 00586262-n:0.00569864/13945102-n:0.0038554
para para SP 0.999444 -
se se PP3CN00 0.861659 -
candidatar candidatar VMN0000 0.529581 00869596-v:0.0078163
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
mandato mandato NCMS000 0.98913 06556481-n:0.00206103/06552984-n:0.00202411/01140658-n:0.00199212/06530789-n:0.0018789
de de SP 1 -
deputada deputado NCFS000 0.652137 09830400-n:0.0037791/10005934-n:0.00374782
estadual estadual AQ0CS00 1 -
, , Fc 1 -
elegendo eleger VMG0000 1 -
se se PP3CN00 1 -
em em SP 1 -
este este DD0MS0 0.843484 - este PD0MS00 0.156516 -
ano ano NCMS000 1 15203791-n:0.0010704/15202634-n:0.00100831/15203565-n:0.000987303/15153787-n:0.000879366/08238660-n:0.000871206/15204297-n:0.00086965/15201505-n:0.000866575/15202806-n:0.000853027/15203229-n:0.000825584/15273626-n:0.000816196
, , Fc 1 -
e e CC 0.999951 -
também também RG 0.998533 00047534-r:0.00782817
em em SP 1 -
a o DA0FS0 1 -
eleição eleição NCFS000 1 00181781-n:0.00254422/05790944-n:0.00221406/00183505-n:0.00206488/00180962-n:0.00201251
seguinte seguinte AQ0CS00 0.932099 00127948-a:0.00388748/00127815-a:0.00387601
, , Fc 1 -
em em SP 1 -
1998 1998 Z 1 -
sempre sempre RG 1 00227968-r:0.00163358/00088931-r:0.00162169/00019339-r:0.00159254/00020280-r:0.00158475/00020476-r:0.0015368
por por SP 1 -
o o DA0MS0 1 -
PFL pfl NP00O00 1 -
. . Fp 1 -

De de SP 1 -
1999 1999 Z 1 -
a a SP 0.313151 -
2001 2001 Z 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00483715/02051694-v:0.0027986/01955984-v:0.00259603/01995549-v:0.00252553/02072849-v:0.00250367/02009433-v:0.00234425/01904930-v:0.00232549/01935233-v:0.002293/01957529-v:0.0022486/02102398-v:0.00219988/00341560-v:0.00216609/01882814-v:0.00204422/02058994-v:0.00203738/02685951-v:0.00202387/01846916-v:0.00201827/02102002-v:0.00201222/01849221-v:0.00199544/01841079-v:0.00192218/02686471-v:0.00186421/01839538-v:0.00182076/00343898-v:0.00179263
líder líder NCCS000 0.996454 09623038-n:0.0425801
de de SP 1 -
sua seu DP3FSS 0.929764 -
bancada bancada NCFS000 1 04600486-n:0.0458501
em em SP 1 -
a o DA0FS0 1 -
Assembléia_Legislativa_do_Ceará assembléia_legislativa_do_ceará NP00O00 1 -
. . Fp 1 -

Em em SP 1 -
2002 2002 Z 1 -
, , Fc 1 -
obteve obter VMIS3S0 1 02210855-v:0.00300271/02238085-v:0.00276446/02526085-v:0.00257805/02288295-v:0.00228752/02207206-v:0.00225756/02289295-v:0.00218731/02238770-v:0.00215484/02239261-v:0.00208992/02290461-v:0.00204163/00522751-v:0.00203999/02236124-v:0.00203845/00597915-v:0.00199395/02359340-v:0.00194425/02527431-v:0.001942
uma um DI0FS0 0.903495 -
suplência suplência NCFS000 1 -
para para SP 0.999444 -
o o DA0MS0 0.950254 -
mandato mandato NCMS000 0.98913 06556481-n:0.007185/06552984-n:0.00698942/01140658-n:0.00679866/06530789-n:0.00655372
de de SP 1 -
deputada deputado NCFS000 0.652137 09830400-n:0.0132083/10005934-n:0.0130612
federal federal AQ0CS00 1 01606214-a:0.00669685/01107206-a:0.00652026/02725829-a:0.00648663/01106129-a:0.00633488
    Fz 1 -
por por SP 1 -
o o DA0MS0 1 -
Ceará cear VMIF3S0 1 -
. . Fp 1 -

Em em SP 1 -
2004 2004 Z 1 -
transferiu transferir VMIS3S0 1 -
se se PP3CN00 1 -
para para SP 0.999444 -
o o DA0MS0 0.950254 -
Partido_Liberal partido_liberal NP00O00 1 -
( ( Fpa 1 -
PL pl NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
e e CC 0.999951 -
em em SP 1 -
essa esse DD0FS0 0.887454 - esse PD0FS00 0.112546 -
nova novo AQ0FS00 0.997925 01730444-a:0.00555871/01642477-a:0.00525102/01641648-a:0.00501496/01687167-a:0.00495367
legenda legenda NCFS000 0.8193 06346891-n:0.0110397/06347588-n:0.0102388
assumiu assumir VMIS3S0 1 00632236-v:0.00709431/00524682-v:0.00707231/02381726-v:0.00704962
suas seu DP3FSP 0.994048 -
funções função NCFP000 1 00720565-n:0.00547454/00582388-n:0.0054728/05149325-n:0.00528839/00722061-n:0.00516241
em em SP 1 -
a o DA0FS0 1 -
Câmara_Federal câmara_federal NP00O00 1 -
, , Fc 1 -
entre entre SP 0.987856 -
