<OUTPUT SRCFILE="1032.raw">
Antônio_Mendes_Canale antônio_mendes_canale NP00SP0 1 -
bacharelando bacharelar VMG0000 1 -
se se PP3CN00 1 -
depois depois RG 1 00146281-r:0.0104087/00061203-r:0.00904013
em em SP 1 -
ciências ciência NCFP000 1 05999797-n:0.00416967/05985999-n:0.00375427/05636887-n:0.00374055/06000400-n:0.00367003/05999540-n:0.0035563
jurídicas jurídico AQ0FP00 1 02753724-a:0.0169208
e e CC 0.999951 -
sociais social AQ0CP00 1 02248349-a:0.00339026/02798370-a:0.00324073/02258360-a:0.00321146/01076634-a:0.00315244/02798597-a:0.00302798/02252877-a:0.00293832
por por SP 1 -
a o DA0FS0 1 -
Faculdade_de_Direito_de_Mato_Grosso faculdade_de_direito_de_mato_grosso NP00O00 1 -
. . Fp 1 -

Eleito eleito AQ0MS00 0.5 00846052-a:0.00808973/01294857-a:0.0068957
deputado deputado NCMS000 0.993827 09830400-n:0.00661299/10005934-n:0.00653366
estadual estadual AQ0CS00 1 -
em em SP 1 -
Mato_Grosso mato_grosso NP00SP0 1 -
em em SP 1 -
a o DA0FS0 1 -
legenda legenda NCFS000 0.8193 06346891-n:0.00737239/06347588-n:0.00682756
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Partido_Social_Democrático partido_social_democrático NP00O00 1 -
( ( Fpa 1 -
PSD psd NP00O00 1 -
) ) Fpt 1 -
em em SP 1 -
o o DA0MS0 1 -
pleito pleito NCMS000 1 01182654-n:0.0140385
de de SP 1 -
outubro_de_1950 [??:??/10/1950:??.??:??] W 1 -
, , Fc 1 -
assumiu assumir VMIS3S0 1 00632236-v:0.00473983/00524682-v:0.00470895/02381726-v:0.00468214
o o DA0MS0 0.950254 -
mandato mandato NCMS000 0.98913 06556481-n:0.003597/06552984-n:0.00357929/01140658-n:0.00339515/06530789-n:0.0032824
em em SP 1 -
fevereiro [??:??/2/??:??.??:??] W 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
ano ano NCMS000 1 15202634-n:0.00175648/15203565-n:0.00172524/15203791-n:0.00168576/15153787-n:0.00152446/15204297-n:0.00152061/15201505-n:0.00151186/08238660-n:0.00151082/15202806-n:0.00149013/15203229-n:0.00143797/15273626-n:0.00142424
seguinte seguinte AQ0CS00 0.932099 00127948-a:0.00680381/00127815-a:0.00678398
. . Fp 1 -

Reeleito reeleito NCMS000 0.607634 -
em em SP 1 -
outubro_de_1954 [??:??/10/1954:??.??:??] W 1 -
, , Fc 1 -
obtendo obter VMG0000 1 02210855-v:0.00114594/02526085-v:0.00105221/02238085-v:0.0010392/02288295-v:0.000892948/02207206-v:0.000887757/02289295-v:0.000838418/02238770-v:0.000810216/02239261-v:0.000784184/02236124-v:0.000773878/02290461-v:0.000773242/00522751-v:0.000767937/00597915-v:0.000755824/02359340-v:0.000730443/02527431-v:0.000729373
a o DA0FS0 0.675415 -
maior maior AQ0CS00 0.979323 01395330-a:0.00269109/01471002-a:0.00268674/01511520-a:0.00256996/01383756-a:0.00234482
votação votação NCFS000 1 00183505-n:0.00544135/00182213-n:0.00512759
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
estado estado NCMS000 0.924757 00024720-n:0.00313203/13920835-n:0.00234263/13945919-n:0.00225279/13920429-n:0.00223494/14418395-n:0.00216859
, , Fc 1 -
em em SP 1 -
essa esse DD0FS0 0.887454 - esse PD0FS00 0.112546 -
legislatura legislatura NCFS000 1 15291498-n:0.0109719
participou participar VMIS3S0 1 02450256-v:0.0108336
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
