<OUTPUT SRCFILE="488.raw">
* * Fz 1 -
Mário_Gibson_Alves_Barbosa mário_gibson_alves_barbosa NP00SP0 1 -
* * Fz 1 -
nasceu nascer VMIS3S0 1 00360932-v:0.0212297
em em SP 1 -
Olinda olinda NP00G00 1 -
( ( Fpa 1 -
PE pe NP00O00 1 -
) ) Fpt 1 -
em em SP 1 -
o o DA0MS0 1 -
dia_13_de_março_de_1918 [??:13/3/1918:??.??:??] W 1 -
, , Fc 1 -
filho filho NCMS000 0.986928 10624074-n:0.00400156/09992837-n:0.00381913/10373998-n:0.00371622/09918248-n:0.00361625/09871229-n:0.00348914/09918762-n:0.00320172
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
comerciante comerciante NCCS000 0.632636 10309896-n:0.00500823/10720453-n:0.00481457/09882007-n:0.00446828/10592152-n:0.0043993/10577284-n:0.00437932
Oscar_Bartolomeu_Alves_Barbosa oscar_bartolomeu_alves_barbosa NP00SP0 1 -
e e CC 0.999951 -
de de SP 1 -
Evangelina_Gibson_Barbosa evangelina_gibson_barbosa NP00SP0 1 -
. . Fp 1 -

Cursou cursar VMIS3S0 1 -
o o DA0MS0 0.950254 -
primário primário NCMS000 0.332977 -
em em SP 1 -
o o DA0MS0 1 -
Ginásio_Pernambucano ginásio_pernambucano NP00G00 1 -
, , Fc 1 -
em em SP 1 -
Recife recife NP00G00 1 09406793-n:0.0404095
. . Fp 1 -

Durante durante SP 0.99651 -
o o DA0MS0 0.950254 -
curso curso NCMS000 0.980769 09387222-n:0.00137074/08377085-n:0.00131113/08679972-n:0.00127894/13827426-n:0.00122773/08680888-n:0.00117775/08238660-n:0.00112549/08238463-n:0.00110202/00884466-n:0.00109245/00038262-n:0.00107172/08681222-n:0.00104213/08461595-n:0.000982303
ginasial ginasial AQ0CS00 1 -
perdeu perder VMIS3S0 1 02288828-v:0.00237276/00045817-v:0.00235015/02287618-v:0.00233942/02303331-v:0.00225596/01161087-v:0.00218966
o o DA0MS0 0.950254 -
pai pai NCMS000 1 10080869-n:0.00353337/10399491-n:0.00281487/09988063-n:0.0026557/10944902-n:0.00251969
, , Fc 1 -
sendo ser VMG0000 1 02604760-v:0.0128349
obrigado obrigar VMP00SM 0.323248 01146732-a:0.00290733/00885217-v:0.00288544/02506546-v:0.00288157/02560424-v:0.00288146
a a SP 0.313151 -
trabalhar trabalhar VMN0000 0.328 02413480-v:0.00242722/02410855-v:0.0020753/02419773-v:0.00175036/01235355-v:0.00167669/01668603-v:0.00167075/02415039-v:0.00165148/02594979-v:0.00161262
para para SP 0.999444 -
custear custear VMN0000 0.529581 02252931-v:0.010655
os o DA0MP0 0.958022 -
estudos estudo NCMP000 1 -
. . Fp 1 -

Por por SP 1 -
um um DI0MS0 0.877848 -
curto curto AQ0MS00 0.986111 01442186-a:0.00378865/01436003-a:0.00329393/00547641-a:0.00283645/01442826-a:0.00270189
período período NCMS000 1 15113229-n:0.00190314/15248564-n:0.00101597/15247518-n:0.000991815/15254028-n:0.00093292/15144371-n:0.00093174/15290337-n:0.000901608/15122231-n:0.000888621/15248020-n:0.00088002/15236475-n:0.000841841/15248269-n:0.000840065/15249236-n:0.000809148/15224486-n:0.000807596/15120346-n:0.000769974/15134490-n:0.000750327
foi ir VMIS3S0 0.5 01835496-v:0.00139133/02051694-v:0.000749418/01995549-v:0.0007141/01955984-v:0.000711907/01935233-v:0.000700484/02072849-v:0.000684617/01904930-v:0.000680751/02009433-v:0.000648452/01957529-v:0.000618875/00341560-v:0.000608361/02102398-v:0.000593884/01882814-v:0.000564998/02685951-v:0.000559688/02058994-v:0.000548094/01846916-v:0.000542107/02102002-v:0.000541133/01849221-v:0.000537544/01841079-v:0.000514588/02686471-v:0.000498057/01839538-v:0.000486633/00343898-v:0.000479252
escriturário escriturário NCMS000 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
imposto imposto NCMS000 0.255814 13308999-n:0.00599009/13308864-n:0.00433732/13400798-n:0.00427352
de de SP 1 -
renda renda NCFS000 0.70795 13255145-n:0.00372889/03631177-n:0.00286087/13261597-n:0.00271879/13261380-n:0.00263107
. . Fp 1 -

Bacharel bacharel NCMS000 1 10121467-n:0.0193782
por por SP 1 -
a o DA0FS0 1 -
Faculdade_de_Direito_de_Recife faculdade_de_direito_de_recife NP00O00 1 -
em em SP 1 -
1937 1937 Z 1 -
, , Fc 1 -
ingressou ingressar VMIS3S0 1 02310855-v:0.0205021
em em SP 1 -
a o DA0FS0 1 -
carreira carreira NCFS000 1 00449295-n:0.0072459/00294452-n:0.00711133/00440039-n:0.00669025
diplomática diplomático AQ0FS00 0.667364 00758459-a:0.0112109/02713715-a:0.0104571
em em SP 1 -
1939 1939 Z 1 -
após após SP 1 -
prestar prestar VMN0000 0.529581 02324182-v:0.0213936
concurso concurso NCMS000 1 07456188-n:0.0228053
para para SP 0.999444 -
o o DA0MS0 0.950254 -
Itamarati itamarati NP00O00 1 -
. . Fp 1 -

Nomeado nomear VMP00SM 0.97619 02400760-v:0.0056722/02401523-v:0.00553265/02475922-v:0.00280446/02396205-v:0.00226642/02396716-v:0.00212649/01028748-v:0.00198772
cônsul cônsul NCMS000 1 09959797-n:0.00632677/03093427-n:0.00612598
de de SP 1 -
terceira terceiro AO0FS00 0.973684 -
classe classe NCFS000 1 05839024-n:0.00191093/08238660-n:0.00172411/14429985-n:0.000746782/07997703-n:0.000716737/05840188-n:0.00066154/13945919-n:0.000660393/08239808-n:0.00057512/08238463-n:0.00057351/08107499-n:0.000566396/05838765-n:0.000560013/08078020-n:0.000532885/07974025-n:0.000530059/08103777-n:0.000529581/14428160-n:0.000503345/03038685-n:0.000500107/05737153-n:0.000489483/05845013-n:0.000477402/07939638-n:0.000473543/07998573-n:0.000458505/14431471-n:0.000457092/05844881-n:0.00044674/05845140-n:0.000420278/05845419-n:0.000419631/05845562-n:0.000418883
em em SP 1 -
agosto_de_1940 [??:??/8/1940:??.??:??] W 1 -
, , Fc 1 -
serviu servir VMIS3S0 1 01182709-v:0.00311834/01095218-v:0.00299702/02670890-v:0.00283978/01180351-v:0.00283852
em em SP 1 -
o o DA0MS0 1 -
Ministério_das_Relações_Exteriores ministério_das_relações_exteriores NP00O00 1 -
de de SP 1 -
setembro [??:??/9/??:??.??:??] W 1 -
de de SP 1 -
esse esse DD0MS0 1 -
ano ano NCMS000 1 08238660-n:0.00172411/15202634-n:0.00140558/15203791-n:0.00138267/15203565-n:0.00138093/15153787-n:0.00122331/15204297-n:0.0012164/15201505-n:0.00121023/15202806-n:0.00119251/15203229-n:0.0011534/15273626-n:0.00114092
a a SP 0.313151 -
abril_de_1943 [??:??/4/1943:??.??:??] W 1 -
e e CC 0.999951 -
, , Fc 1 -
em em SP 1 -
maio [??:??/5/??:??.??:??] W 1 -
seguinte seguinte AQ0CS00 0.932099 00127948-a:0.00544221/00127815-a:0.00542626
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00133848/02051694-v:0.000748198/01955984-v:0.000704381/01995549-v:0.000688437/02072849-v:0.000672737/01904930-v:0.000651229/02009433-v:0.000633664/01957529-v:0.000611561/01935233-v:0.000610593/02102398-v:0.000591806/00341560-v:0.000581129/01882814-v:0.000547399/02058994-v:0.000546199/02685951-v:0.000545491/02102002-v:0.000541122/01846916-v:0.000540537/01849221-v:0.000537275/01841079-v:0.000513792/02686471-v:0.00049837/01839538-v:0.000486123/00343898-v:0.000478885
designado designar VMP00SM 0.97619 02400760-v:0.0056722/02401523-v:0.00553265/00677683-v:0.00366571
para para SP 0.999444 -
a o DA0FS0 0.675415 -
função função NCFS000 1 00720565-n:0.00321948/00582388-n:0.00302511/05149325-n:0.00291169/00722061-n:0.00274276
de de SP 1 -
vice vice AQ0CN00 1 -
cônsul cônsul NCMS000 1 -
, , Fc 1 -
em em SP 1 -
Houston houston NP00G00 1 -
, , Fc 1 -
Texas texas NP00G00 1 -
, , Fc 1 -
em em SP 1 -
os o DA0MP0 1 -
EUA eua NP00G00 1 -
. . Fp 1 -

Terceiro-secretário terceiro-secretário NCMS000 1 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
embaixada embaixada NCFS000 1 08402442-n:0.00386046/08402828-n:0.00341469/08402693-n:0.00330521/03282295-n:0.0031943/00588780-n:0.00294547
brasileira brasileiro AQ0FS00 0.822581 02966829-a:0.0153559
em em SP 1 -
Washington washington NP00G00 1 -
— — Fz 1 -
inicialmente inicial RG 1 -
em em SP 1 -
caráter caráter NCMS000 1 04620216-n:0.014052
provisório provisório AQ0MS00 1 00556318-a:0.0154535
— — Fz 1 -
de de SP 1 -
outubro_de_1943 [??:??/10/1943:??.??:??] W 1 -
a o DA0FS0 0.675415 -
fevereiro_de_1945 [??:??/2/1945:??.??:??] W 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00179578/02051694-v:0.00101935/01955984-v:0.000951326/01995549-v:0.000929022/02072849-v:0.000915644/01904930-v:0.00086943/02009433-v:0.000857958/01935233-v:0.000830985/01957529-v:0.000824336/02102398-v:0.000803826/00341560-v:0.000791917/01882814-v:0.000745298/02058994-v:0.000743328/02685951-v:0.000740437/02102002-v:0.000737339/01846916-v:0.000736239/01849221-v:0.000729223/01841079-v:0.000699556/02686471-v:0.000679446/01839538-v:0.000662533/00343898-v:0.000652692
em em SP 1 -
esse esse DD0MS0 0.946429 - esse PD0MS00 0.0535714 -
mês mês NCMS000 1 15206296-n:0.00657673/15209413-n:0.00634997/15207872-n:0.00529969
efetivado efetivado AQ0MS00 1 -
em em SP 1 -
o o DA0MS0 1 -
cargo cargo NCMS000 1 00586262-n:0.0109596/13945102-n:0.00732946
. . Fp 1 -

Promovido promover VMP00SM 0.992518 02554922-v:0.00933008/00875806-v:0.00924855
a o DA0FS0 0.675415 -
segundo-secretário segundo-secretário NCMS000 1 -
em em SP 1 -
dezembro [??:??/12/??:??.??:??] W 1 -
seguinte seguinte AQ0CS00 0.932099 00127948-a:0.0090694/00127815-a:0.00904317
, , Fc 1 -
continuou continuar VMIS3S0 1 00117985-v:0.0060935/02684924-v:0.00289193/02679899-v:0.0022896/01995549-v:0.00211401/02375131-v:0.00196859/00781000-v:0.00192795/02747709-v:0.0019116/00350104-v:0.00186867/02684644-v:0.00184781/02747922-v:0.00183124
a a SP 0.313151 -
servir servir VMN0000 0.330909 01182709-v:0.00520064/01095218-v:0.00496016/01180351-v:0.00472784/02670890-v:0.00468228
em em SP 1 -
a o DA0FS0 1 -
capital capital NCFS000 0.498759 08524735-n:0.0116394/08518505-n:0.00945244
norte-americana norte-americano AQ0FS00 0.97619 02928566-a:0.00964129/02927512-a:0.00956223
, , Fc 1 -
onde onde RG 0.980752 -
permaneceu permanecer VMIS3S0 1 00117985-v:0.0060935/02731024-v:0.00385887/01857392-v:0.00333813/02731242-v:0.00330003/02639075-v:0.00327961/02727462-v:0.00315196
até até SP 0.764262 -
março_de_1949 [??:??/3/1949:??.??:??] W 1 -
. . Fp 1 -

Promovido promover VMP00SM 0.992518 02554922-v:0.0119824/00875806-v:0.011891
a o DA0FS0 0.675415 -
primeiro-secretário primeiro-secretário NCMS000 1 -
em em SP 1 -
setembro_de_1950 [??:??/9/1950:??.??:??] W 1 -
, , Fc 1 -
fez fazer VMIS3S0 0.997449 02367363-v:0.00180251/01645601-v:0.00167057/00120316-v:0.00142737/01752884-v:0.00138715/00010435-v:0.00108077/02526085-v:0.00107993/01714208-v:0.000984799/01652139-v:0.000979625/01712704-v:0.000964782/01640207-v:0.00095943/01719921-v:0.000952917/01642924-v:0.000951977/01752495-v:0.000940194/01629000-v:0.000935894/01627355-v:0.000923705/01438902-v:0.000920853/01754737-v:0.000920809/02560767-v:0.000917762/01628197-v:0.000917035/01739814-v:0.000888788/00665476-v:0.000883854/01431987-v:0.000872733/02374764-v:0.000862485/01685313-v:0.000860121/01649024-v:0.000850437/00012267-v:0.000838335/02599636-v:0.000812599
o o DA0MS0 0.950254 -
curso curso NCMS000 0.980769 08238660-n:0.00498623/08679972-n:0.00270155/09387222-n:0.0026493/13827426-n:0.00261808/08377085-n:0.0025798/08238463-n:0.00248008/08680888-n:0.00238947/00884466-n:0.00234429/00038262-n:0.0022556/08681222-n:0.00222417/08461595-n:0.00209933
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Escola_Superior_de_Guerra escola_superior_de_guerra NP00O00 1 -
entre entre SP 0.987856 -
março [??:??/3/??:??.??:??] W 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
ano ano NCMS000 1 08238660-n:0.00498623/15202634-n:0.0030049/15203565-n:0.00294934/15203791-n:0.00292939/15153787-n:0.00260504/15204297-n:0.00260467/15201505-n:0.00258927/15202806-n:0.00255308/15203229-n:0.00246593/15273626-n:0.00243653
seguinte seguinte AQ0CS00 0.932099 00127948-a:0.0116605/00127815-a:0.0116267
e e CC 0.999951 -
janeiro_de_1952 [??:??/1/1952:??.??:??] W 1 -
. . Fp 1 -

Em em SP 1 -
abril [??:??/4/??:??.??:??] W 1 -
assumiu assumir VMIS3S0 1 00632236-v:0.00632998/00524682-v:0.0062889/02381726-v:0.00619841
o o DA0MS0 0.950254 -
posto posto NCMS000 0.717647 14429985-n:0.0058631/13947415-n:0.00496473/14428160-n:0.00485454/04175859-n:0.00478901
de de SP 1 -
primeiro-secretário primeiro-secretário NCMS000 1 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
representação representação NCFS000 1 00548326-n:0.00616415/00898518-n:0.00610836/01217499-n:0.00595913
brasileira brasileiro AQ0FS00 0.822581 02966829-a:0.0187622
em em SP 1 -
Bruxelas bruxelas NP00G00 1 -
, , Fc 1 -
em em SP 1 -
a o DA0FS0 1 -
Bélgica bélgica NP00G00 1 -
, , Fc 1 -
aí aí RG 0.99505 00082308-r:0.0177554
permanecendo permanecer VMG0000 1 02731024-v:0.00385692/00117985-v:0.00385142/01857392-v:0.0033255/02731242-v:0.00329921/02639075-v:0.00327672/02727462-v:0.0031062
até até SP 0.764262 -
setembro_de_1954 [??:??/9/1954:??.??:??] W 1 -
. . Fp 1 -

Em em SP 1 -
esse esse DD0MS0 0.946429 - esse PD0MS00 0.0535714 -
mesmo mesmo DD0MS0 0.00146199 -
mês mês NCMS000 1 15206296-n:0.0080383/15209413-n:0.00776529/15207872-n:0.0064773
recebeu receber VMIS3S0 1 02210855-v:0.0043136/02288295-v:0.0039969/00522751-v:0.0037744/02290461-v:0.00374256/02108377-v:0.00368508
o o DA0MS0 0.950254 -
título título NCMS000 1 06346461-n:0.00454379/06346891-n:0.00438111/06339416-n:0.00435343/06343520-n:0.00388149/06338908-n:0.00367871
de de SP 1 -
conselheiro conselheiro NCMS000 0.632636 09774266-n:0.0105869/09968845-n:0.0094596
e e CC 0.999951 -
, , Fc 1 -
em em SP 1 -
abril_de_1955 [??:??/4/1955:??.??:??] W 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00218743/02051694-v:0.0012456/01955984-v:0.00116241/01995549-v:0.00113297/02072849-v:0.0011182/01904930-v:0.00105782/02009433-v:0.00104725/01935233-v:0.0010166/01957529-v:0.00100818/02102398-v:0.000984321/00341560-v:0.000966724/01882814-v:0.000910699/02058994-v:0.000908324/02685951-v:0.000904152/01846916-v:0.000899469/02102002-v:0.00089729/01849221-v:0.000891858/01841079-v:0.000854913/02686471-v:0.000829979/01839538-v:0.000809496/00343898-v:0.000797676
promovido promover VMP00SM 0.992518 02554922-v:0.00932284/00875806-v:0.00924925
a o DA0FS0 0.675415 -
ministro ministro NCMS000 0.99763 10320863-n:0.00965759/00585810-n:0.00946592
de de SP 1 -
segunda segundo AO0FS00 0.944444 -
classe classe NCFS000 1 05839024-n:0.00306532/14429985-n:0.0011932/07997703-n:0.00114002/05840188-n:0.0010987/13945919-n:0.00100938/08239808-n:0.000960651/08103777-n:0.00094454/05838765-n:0.00093155/08107499-n:0.000887356/07974025-n:0.000869541/08078020-n:0.000865652/08238660-n:0.000863125/08238463-n:0.000854825/14428160-n:0.00083267/03038685-n:0.000823584/05737153-n:0.000807542/05845013-n:0.000795188/07939638-n:0.000789544/07998573-n:0.000763932/14431471-n:0.000759106/05844881-n:0.000744351/05845140-n:0.000699944/05845419-n:0.000699198/05845562-n:0.000697986
. . Fp 1 -

Entre entre SP 0.987856 -
1956 1956 Z 1 -
e e CC 0.999951 -
1959 1959 Z 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00112518/02051694-v:0.000623922/01955984-v:0.000587647/01995549-v:0.00057544/02072849-v:0.000561733/01904930-v:0.000546019/02009433-v:0.000528237/01935233-v:0.000510769/01957529-v:0.000509319/02102398-v:0.000493633/00341560-v:0.00048659/02685951-v:0.000465992/01882814-v:0.00045653/02058994-v:0.000456228/02102002-v:0.000451306/01846916-v:0.000450765/01849221-v:0.000447335/01841079-v:0.000428504/02686471-v:0.000415229/01839538-v:0.000405255/00343898-v:0.0003994
ministro-conselheiro ministro-conselheiro NCMS000 1 -
em em SP 1 -
Buenos_Aires buenos_aires NP00G00 1 -
, , Fc 1 -
tendo ter VMG0000 0.996894 00065639-v:0.00357628/00065370-v:0.00249871/02204692-v:0.00247654/02632167-v:0.00235936
sido ser VMP00SM 1 02604760-v:0.0107462
encarregado encarregar VMP00SM 0.571918 02349212-v:0.00457358/00883112-v:0.00224516/02480803-v:0.00223298/01097315-a:0.00218352
de de SP 1 -
negócios negócio NCMP000 1 01094725-n:0.00365496/01110274-n:0.0031065/01096245-n:0.00310071
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Brasil_na_Argentina brasil_na_argentina NP00O00 1 -
por por SP 1 -
diversas diverso AQ0FP00 1 02507772-a:0.00328983/02067491-a:0.00317289/02067719-a:0.00305537
vezes vez NCFP000 0.99449 14485064-n:0.00901798
em em SP 1 -
esse esse DD0MS0 0.946429 - esse PD0MS00 0.0535714 -
período período NCMS000 1 15113229-n:0.00148821/15248564-n:0.000845967/15247518-n:0.000826001/15254028-n:0.000776794/15144371-n:0.000774018/15290337-n:0.000745581/15248020-n:0.000732769/15122231-n:0.000727279/15236475-n:0.000700093/15248269-n:0.000699591/15249236-n:0.000674013/15224486-n:0.000671869/15120346-n:0.000641278/15134490-n:0.000624381
, , Fc 1 -
quando quando RG 0.998992 -
a o DA0FS0 0.675415 -
embaixada embaixada NCFS000 1 08402442-n:0.00235859/08402828-n:0.00208621/08402693-n:0.00201866/03282295-n:0.00195117/00588780-n:0.00176413
foi ir VMIS3S0 0.5 01835496-v:0.00112518/02051694-v:0.000623922/01955984-v:0.000587647/01995549-v:0.00057544/02072849-v:0.000561733/01904930-v:0.000546019/02009433-v:0.000528237/01935233-v:0.000510769/01957529-v:0.000509319/02102398-v:0.000493633/00341560-v:0.00048659/02685951-v:0.000465992/01882814-v:0.00045653/02058994-v:0.000456228/02102002-v:0.000451306/01846916-v:0.000450765/01849221-v:0.000447335/01841079-v:0.000428504/02686471-v:0.000415229/01839538-v:0.000405255/00343898-v:0.0003994
chefiada chefiar VMP00SF 0.992518 -
sucessivamente sucessivo RG 1 -
por por SP 1 -
Orlando_Leite_Ribeiro orlando_leite_ribeiro NP00SP0 1 -
, , Fc 1 -
João_Carlos_Muniz joão_carlos_muniz NP00SP0 1 -
e e CC 0.999951 -
Aguinaldo_Boulitreau_Fragoso aguinaldo_boulitreau_fragoso NP00SP0 1 -
. . Fp 1 -

Serviu servir VMIS3S0 1 01182709-v:0.00467001/01095218-v:0.00446747/01180351-v:0.00425501/02670890-v:0.00421346
como como CS 0.751351 -
ministro-conselheiro ministro-conselheiro NCMS000 1 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
missão missão NCFS000 1 08403225-n:0.0036058/00970645-n:0.00357564/00731222-n:0.00350634/00730984-n:0.00341868/08402442-n:0.00333272
brasileira brasileiro AQ0FS00 0.822581 02966829-a:0.0168906
junto junto RG 0.984962 -
a a SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Organização_das_Nações_Unidas organização_das_nações_unidas NP00O00 1 -
( ( Fpa 1 -
ONU onu NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
