<OUTPUT SRCFILE="5108.raw">
Movimento_Democrático_Brasileiro movimento_democrático_brasileiro NP00O00 1 -
( ( Fpa 1 -
MDB mdb NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
partido partido NCMS000 0.98773 -
de de SP 1 -
oposição oposição NCFS000 1 13854649-n:0.00205319/00202284-n:0.00193085/13828905-n:0.00190605/01169744-n:0.00188352/08404188-n:0.00180679
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
regime regime NCMS000 1 05909585-n:0.00859855
militar militar AQ0CS00 0.662338 -
instaurado instaurar VMP00SM 0.992504 -
em em SP 1 -
o o DA0MS0 1 -
país país NCMS000 1 08654360-n:0.00259276/08168978-n:0.00257083/08544813-n:0.00253312/08552138-n:0.00251283
em em SP 1 -
abril_de_1964 [??:??/4/1964:??.??:??] W 1 -
, , Fc 1 -
obtendo obter VMG0000 1 02210855-v:0.0010178/02526085-v:0.000956847/02238085-v:0.000929374/02288295-v:0.000787377/02207206-v:0.000783162/02289295-v:0.000744683/02238770-v:0.000720576/02239261-v:0.000696297/02290461-v:0.000686851/02236124-v:0.000685576/00522751-v:0.000682478/00597915-v:0.000671882/02359340-v:0.00064925/02527431-v:0.000648609
uma um DI0FS0 0.903495 -
suplência suplência NCFS000 1 -
. . Fp 1 -

Em em SP 1 -
novembro_de_1974 [??:??/11/1974:??.??:??] W 1 -
, , Fc 1 -
conseguiu conseguir VMIS3S0 1 02524171-v:0.0218919/02213336-v:0.0188506
eleger eleger VMN03S0 1 -
se se PP3CN00 1 -
deputado deputado NCMS000 0.993827 09830400-n:0.0198102/10005934-n:0.0195881
federal federal AQ0CS00 1 01606214-a:0.010044/01107206-a:0.00977496/02725829-a:0.00972364/01106129-a:0.00949751
. . Fp 1 -

Ligado ligar VMP00SM 0.721833 01354673-v:0.000425726/02623194-v:0.000279765/01355411-v:0.000261733/00667936-a:0.000251668
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
deputado deputado NCMS000 0.993827 09830400-n:0.000531587/10005934-n:0.000521686
Francisco_Pinto francisco_pinto NP00SP0 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.000454404/01995549-v:0.000292676/01904930-v:0.00017701/01955984-v:0.000159623/02009433-v:0.000158355/02051694-v:0.000148748/02072849-v:0.000140306/01957529-v:0.000139412/01935233-v:0.00012776/02685951-v:0.00012684/02102398-v:0.000125016/00341560-v:0.000121624/02058994-v:0.00011458/01849221-v:0.000113959/02102002-v:0.000112692/01882814-v:0.000111276/01846916-v:0.000110718/02686471-v:0.000105575/01841079-v:0.000104188/01839538-v:9.71532e-05/00343898-v:9.60091e-05
um um DI0MS0 0.877848 -
de de SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
coordenadores coordenador NCMP000 0.632636 09963914-n:0.00103507
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
“ “ Fra 1 -
grupo grupo NCMS000 0.997738 00031264-n:0.000842609/07951464-n:0.000285313/07997703-n:0.000227302/07965085-n:0.000214037/07996689-n:0.000116754/07961480-n:0.000107117/07961016-n:9.94553e-05/08240169-n:9.42692e-05/08400452-n:9.12056e-05/06016853-n:9.09099e-05/07954731-n:8.5473e-05/08400772-n:7.97877e-05/07954014-n:7.90391e-05
autêntico autêntico AQ0MS00 1 01115349-a:0.000383736/01115635-a:0.00028346/02460964-a:0.000267353/02465115-a:0.000261799
" " Fe 1 -
de de SP 1 -
seu seu DP3MSS 0.957305 -
partido partido NCMS000 0.98773 -
, , Fc 1 -
assim assim RG 0.998008 00121002-r:0.00106415
chamado chamar VMP00SM 0.983871 02508245-v:0.000313788/01028748-v:0.000272009/00792471-v:0.000236832/01030132-v:0.000233933/01916555-a:0.000207716
por por SP 1 -
a o DA0FS0 1 -
oposição oposição NCFS000 1 00202284-n:0.000285853/13854649-n:0.000276629/01169744-n:0.000237149/08404188-n:0.000227059/13828905-n:0.000225827
mais mais RG 0.999721 00029367-r:0.000777209/00099712-r:0.000666814
agressiva agressivo AQ0FS00 1 00082241-a:0.000312996/00104318-a:0.000256482/00156101-a:0.000239754/01244846-a:0.000220151/01356143-a:0.000207138
que que PR0CN00 0.584265 -
movia mover VMII3S0 0.533323 01850315-v:0.000624597/00010054-v:0.00051598
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
governo governo NCMS000 0.914011 08050678-n:0.000829089/01124794-n:0.000816335/00815173-n:0.000693018
. . Fp 1 -
Em em SP 1 -
o o DA0MS0 1 -
início início NCMS000 1 07325190-n:0.000303249/00235435-n:0.000297877/00240184-n:0.000242067/15265518-n:0.000239561/07325990-n:0.000199698/07290905-n:0.000198828
de de SP 1 -
1977 1977 Z 1 -
, , Fc 1 -
participou participar VMIS3S0 1 02450256-v:0.00115669
ativamente ativo RG 1 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
campanha campanha NCFS000 1 00798245-n:0.000363519/07472929-n:0.000328697/09393605-n:0.000294441/00968155-n:0.000276862
que que PR0CN00 0.584265 -
elegeu eleger VMIS3S0 1 02400760-v:0.000519305/00676864-v:0.000375533/01710481-v:0.000365731
José_Alencar_Furtado josé_alencar_furtado NP00SP0 1 -
líder líder NCCS000 0.996454 09623038-n:0.00134029
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
MDB mdb NP00O00 1 -
em em SP 1 -
a o DA0FS0 1 -
Câmara câmara NP00O00 1 02942699-n:0.000456493/04404997-n:0.000420005/03789171-n:0.000381319
. . Fp 1 -
Entre entre SP 0.987856 -
março [??:??/3/??:??.??:??] W 1 -
e e CC 0.999951 -
abril [??:??/4/??:??.??:??] W 1 -
desse dar VMSI1S0 0.0588235 00056930-v:0.000226971/02327200-v:0.00011763/02339413-v:0.000111594/02230772-v:9.0112e-05/02199590-v:8.70986e-05/02200686-v:8.11098e-05/02262278-v:7.71732e-05/02235229-v:7.59506e-05/02358327-v:7.57091e-05/02308741-v:7.1943e-05/02293321-v:6.6318e-05/02229055-v:6.61317e-05/02255462-v:6.57626e-05/02296153-v:5.97609e-05/02263027-v:5.6649e-05/02316649-v:5.59964e-05/01180351-v:5.29003e-05/02357873-v:4.85261e-05/02310007-v:4.81204e-05/02310328-v:4.77209e-05/02316868-v:4.71734e-05/02336483-v:4.64003e-05/01233027-v:4.53087e-05/02200498-v:4.52873e-05
mesmo mesmo PI0MS00 0.176901 -
ano ano NCMS000 1 15203791-n:0.000222546/15201505-n:0.000164876/15202634-n:0.000160328/15153787-n:0.000145126/15203565-n:0.000144247/15202806-n:0.000130264/08238660-n:0.000127595/15204297-n:0.00012298/15203229-n:0.000119946/15273626-n:0.000118121
, , Fc 1 -
por por SP 1 -
ocasião ocasião NCFS000 1 07308889-n:0.000629693/14485064-n:0.000532363
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
votação votação NCFS000 1 00183505-n:0.000872173/00182213-n:0.000560295
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
projeto projeto NCMS000 1 05898568-n:0.000574456/00795720-n:0.00051285/05891572-n:0.00035699/05902327-n:0.000353391/05910453-n:0.000346398
de de SP 1 -
reforma reforma NCFS000 0.968254 00260622-n:0.000609039/00800940-n:0.000554912
judiciária judiciário AQ0FS00 1 01400961-a:0.000490487/02752987-a:0.000412233/02753205-a:0.000332065
de de SP 1 -
autoria autoria NCFS000 1 00929718-n:0.00118266
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
governo governo NCMS000 0.914011 08050678-n:0.000829089/01124794-n:0.000816335/00815173-n:0.000693018
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.000454404/01995549-v:0.000292676/01904930-v:0.00017701/01955984-v:0.000159623/02009433-v:0.000158355/02051694-v:0.000148748/02072849-v:0.000140306/01957529-v:0.000139412/01935233-v:0.00012776/02685951-v:0.00012684/02102398-v:0.000125016/00341560-v:0.000121624/02058994-v:0.00011458/01849221-v:0.000113959/02102002-v:0.000112692/01882814-v:0.000111276/01846916-v:0.000110718/02686471-v:0.000105575/01841079-v:0.000104188/01839538-v:9.71532e-05/00343898-v:9.60091e-05
contrário contrário NCMS000 0.916667 -
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
