<OUTPUT SRCFILE="11150.raw">
educação educação NCFS000 1 00883297-n:0.0155524/00887081-n:0.00266725/05984287-n:0.00266075/05753564-n:0.00260641/04921900-n:0.00232159
, , Fc 1 -
como como CS 0.751351 -
ensino ensino NCMS000 0.993421 00883297-n:0.0155524
de de SP 1 -
primeiro primeiro AO0MS00 0.722944 01012990-a:0.0109846
e e CC 0.999951 -
segundo segundo AO0MS00 0.19746 -
graus grau NCMP000 1 05093890-n:0.0046635/13939892-n:0.00226553/14429608-n:0.00207689/13611207-n:0.00206616/13714184-n:0.00206233/13584918-n:0.00187195
e e CC 0.999951 -
análise análise NCFS000 1 -
institucional institucional AQ0CS00 1 01231191-a:0.00608482/02749778-a:0.00582342
. . Fp 1 -

Em em SP 1 -
o o DA0MS0 1 -
início início NCMS000 1 00240184-n:0.00160266/07325190-n:0.000537981/07325990-n:0.00053547/00235435-n:0.000486967/15265518-n:0.000436568/07290905-n:0.000408122
de de SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
anos ano NCMP000 1 15203791-n:0.000432495/15202634-n:0.000316876/15203565-n:0.000305112/15153787-n:0.000291402/15201505-n:0.000271087/15204297-n:0.00026683/08238660-n:0.000266484/15202806-n:0.000262727/15203229-n:0.000256627/15273626-n:0.000254131
1980 1980 Z 1 -
participou participar VMIS3S0 1 02450256-v:0.00252866
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
fundação fundação NCFS000 1 00240184-n:0.00160266/08406486-n:0.00115719
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
* * Fz 1 -
[ [ Fca 1 -
* * Fz 1 -
Centro_de_Defesa_dos_Direitos_Humanos centro_de_defesa_dos_direitos_humanos NP00O00 1 -
* * Fz 1 -
] ] Fct 1 -
( ( Fpa 1 -
http://www.google.com.br/url?sa=t&source=web&ct=res&cd=1&url=http%3A%2F%2Fwww.cddh.org.br%2F&ei=zaKASrDeIoT8tgfM9_jnAQ&usg=AFQjCNEk5rY-01rAQv8oZpv1MDA-uYbYsQ&sig2=3ohcMWPq18ZwaK77HotOFA)* http://www.google.com.br/url?sa=t&source=web&ct=res&cd=1&url=http%3A%2F%2Fwww.cddh.org.br%2F&ei=zaKASrDeIoT8tgfM9_jnAQ&usg=AFQjCNEk5rY-01rAQv8oZpv1MDA-uYbYsQ&sig2=3ohcMWPq18ZwaK77HotOFA)* Z 1 -
( ( Fpa 1 -
CDDH cddh NP00O00 1 -
) ) Fpt 1 -
em em SP 1 -
a o DA0FS0 1 -
cidade cidade NCFS000 1 08524735-n:0.00103879/08665504-n:0.000634784/08626283-n:0.000601957/08226699-n:0.000395368/08672738-n:0.000384771/08226335-n:0.000364671/08177958-n:0.000336085
de de SP 1 -
Betim betim NP00G00 1 -
, , Fc 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
qual qual PR0CS00 0.715254 -
viria vir VMIC3S0 0.64998 01849221-v:0.000603754/02053941-v:0.000573554/02005948-v:0.00054451/01849746-v:0.000496945/00341917-v:0.000477524/00360932-v:0.000445793
a a SP 0.313151 -
ser ser VMN0000 0.33093 02604760-v:0.00285773
primeira-secretaria primeira-secretaria NCFS000 0.466598 -
em em SP 1 -
1985 1985 Z 1 -
, , Fc 1 -
1988 1988 Z 1 -
e e CC 0.999951 -
1989 1989 Z 1 -
e e CC 0.999951 -
segunda-tesoureira segunda-tesoureira NCFS000 1 -
em em SP 1 -
1989 1989 Z 1 -
. . Fp 1 -
Em em SP 1 -
1983 1983 Z 1 -
, , Fc 1 -
filiou filiar VMIS3S0 1 -
se se PP3CN00 1 -
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Partido_dos_Trabalhadores partido_dos_trabalhadores NP00O00 1 -
( ( Fpa 1 -
PT pt NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
tendo ter VMG0000 0.996894 00065639-v:0.000935458/02204692-v:0.000688002/00065370-v:0.000652314/02632167-v:0.000646695
uma um DI0FS0 0.903495 -
militância militância NCFS000 1 -
destacada destacar VMP00SF 0.992495 00514069-v:0.00124635/02343762-a:0.00116031
em em SP 1 -
a o DA0FS0 1 -
construção construção NCFS000 1 00911048-n:0.00102834/01104637-n:0.000838497/00912001-n:0.000804032
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
partido partido NCMS000 0.98773 -
em em SP 1 -
Betim betim NP00G00 1 -
( ( Fpa 1 -
MG mg NP00O00 1 -
) ) Fpt 1 -
. . Fp 1 -
Em em SP 1 -
1992 1992 Z 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01849221-v:0.000603754/01835496-v:0.000412858/02072849-v:0.00018918/01904930-v:0.000182277/01995549-v:0.000175604/01955984-v:0.000168746/02051694-v:0.000167797/02009433-v:0.000165994/01957529-v:0.00015369/02102398-v:0.000147655/02685951-v:0.000137753/01935233-v:0.000136386/00341560-v:0.000130618/02058994-v:0.000123483/02102002-v:0.000122071/01882814-v:0.000121898/01846916-v:0.000120981/01841079-v:0.000114306/02686471-v:0.000109489/01839538-v:0.000106838/00343898-v:0.000105247
eleita eleito AQ0FS00 0.463795 00846052-a:0.00145328/01294857-a:0.00120528
prefeita prefeito NCFS000 1 10303814-n:0.00146304/09880881-n:0.000864246/10304018-n:0.000821223
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
cidade cidade NCFS000 1 08524735-n:0.00103879/08665504-n:0.000634784/08626283-n:0.000601957/08226699-n:0.000395368/08672738-n:0.000384771/08226335-n:0.000364671/08177958-n:0.000336085
. . Fp 1 -
Em em SP 1 -
1998 1998 Z 1 -
, , Fc 1 -
elegeu eleger VMIS3S0 1 -
se se PP3CN00 1 -
deputada deputado NCFS000 0.652137 09830400-n:0.00115441/10005934-n:0.00114061
federal federal AQ0CS00 1 01606214-a:0.000585069/01107206-a:0.000570718/02725829-a:0.000567714/01106129-a:0.000552674
por por SP 1 -
o o DA0MS0 1 -
estado estado NCMS000 0.924757 00024720-n:0.00115291/13920835-n:0.00064909/13945919-n:0.000584628/13920429-n:0.000531023/14418395-n:0.000505593
de de SP 1 -
Minas_Gerais minas_gerais NP00G00 1 -
em em SP 1 -
a o DA0FS0 1 -
legenda legenda NCFS000 0.8193 06346891-n:0.00128605/06347588-n:0.00119193
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
PT._Assumiu pt._assumiu NP00V00 1 -
o o DA0MS0 0.950254 -
mandato mandato NCMS000 0.98913 06556481-n:0.000634157/06552984-n:0.000632514/01140658-n:0.000619579/06530789-n:0.000576253
em em SP 1 -
fevereiro_de_1999 [??:??/2/1999:??.??:??] W 1 -
e e CC 0.999951 -
foi ir VMIS3S0 0.5 01849221-v:0.000603754/01835496-v:0.000412858/02072849-v:0.00018918/01904930-v:0.000182277/01995549-v:0.000175604/01955984-v:0.000168746/02051694-v:0.000167797/02009433-v:0.000165994/01957529-v:0.00015369/02102398-v:0.000147655/02685951-v:0.000137753/01935233-v:0.000136386/00341560-v:0.000130618/02058994-v:0.000123483/02102002-v:0.000122071/01882814-v:0.000121898/01846916-v:0.000120981/01841079-v:0.000114306/02686471-v:0.000109489/01839538-v:0.000106838/00343898-v:0.000105247
reeleita reeleito NCFS000 0.536205 -
em em SP 1 -
2002 2002 Z 1 -
. . Fp 1 -
Em em SP 1 -
as o DA0FP0 1 -
eleições eleição NCFP000 1 00181781-n:0.00155971/05790944-n:0.00135002/00183505-n:0.00126932/00180962-n:0.00121507
de de SP 1 -
2004 2004 Z 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01849221-v:0.000603754/01835496-v:0.000412858/02072849-v:0.00018918/01904930-v:0.000182277/01995549-v:0.000175604/01955984-v:0.000168746/02051694-v:0.000167797/02009433-v:0.000165994/01957529-v:0.00015369/02102398-v:0.000147655/02685951-v:0.000137753/01935233-v:0.000136386/00341560-v:0.000130618/02058994-v:0.000123483/02102002-v:0.000122071/01882814-v:0.000121898/01846916-v:0.000120981/01841079-v:0.000114306/02686471-v:0.000109489/01839538-v:0.000106838/00343898-v:0.000105247
derrotada derrotar VMP00SF 0.992518 01101913-v:0.00166786/01108148-v:0.00150584/01109259-v:0.0010617/01108627-v:0.00101828/01104018-v:0.000948399
em em SP 1 -
a o DA0FS0 1 -
eleição eleição NCFS000 1 00181781-n:0.00155971/05790944-n:0.00135002/00183505-n:0.00126932/00180962-n:0.00121507
para para SP 0.999444 -
a o DA0FS0 0.675415 -
prefeitura prefeitura NCFS000 1 03036022-n:0.00231527
de de SP 1 -
Betim betim NP00G00 1 -
por por SP 1 -
o o DA0MS0 1 -
candidato candidato NCMS000 0.962264 09889691-n:0.000764279/09607280-n:0.000650165/09890749-n:0.000620041/10001647-n:0.000576553
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Partido_Liberal partido_liberal NP00O00 1 -
( ( Fpa 1 -
PL pl NP00O00 1 -
) ) Fpt 1 -
. . Fp 1 -
Em em SP 1 -
maio_de_2006 [??:??/5/2006:??.??:??] W 1 -
foi ir VMIS3S0 0.5 01849221-v:0.000603754/01835496-v:0.000412858/02072849-v:0.00018918/01904930-v:0.000182277/01995549-v:0.000175604/01955984-v:0.000168746/02051694-v:0.000167797/02009433-v:0.000165994/01957529-v:0.00015369/02102398-v:0.000147655/02685951-v:0.000137753/01935233-v:0.000136386/00341560-v:0.000130618/02058994-v:0.000123483/02102002-v:0.000122071/01882814-v:0.000121898/01846916-v:0.000120981/01841079-v:0.000114306/02686471-v:0.000109489/01839538-v:0.000106838/00343898-v:0.000105247
eleita eleito AQ0FS00 0.463795 00846052-a:0.00145328/01294857-a:0.00120528
vice vice AQ0CN00 1 -
líder líder NCCS000 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
PT pt NP00O00 1 -
em em SP 1 -
a o DA0FS0 1 -
Câmara_dos_Deputados câmara_dos_deputados NP00O00 1 -
, , Fc 1 -
e e CC 0.999951 -
em em SP 1 -
outubro [??:??/10/??:??.??:??] W 1 -
, , Fc 1 -
conquistou conquistar VMIS3S0 1 01114303-v:0.0012435/00012267-v:0.00112532
seu seu DP3MSS 0.957305 -
terceiro terceiro AO0MS00 0.992424 -
mandato mandato NCMS000 0.98913 06556481-n:0.000634157/06552984-n:0.000632514/01140658-n:0.000619579/06530789-n:0.000576253
em em SP 1 -
a o DA0FS0 1 -
Casa_._Membro_da_Comissão_de_Defesa_do_Consumidor_da_Câmara casa_._membro_da_comissão_de_defesa_do_consumidor_da_câmara NP00G00 1 -
, , Fc 1 -
aprovou aprovar VMIS3S0 1 02453889-v:0.000560944/00806502-v:0.000557207/00861725-v:0.000513855/00673983-v:0.000504831/02447793-v:0.000493495
um um DI0MS0 0.877848 -
projeto projeto NCMS000 1 05898568-n:0.000713812/00795720-n:0.0006132/05902327-n:0.00050072/05891572-n:0.000497932/05910453-n:0.000488905
de de SP 1 -
lei lei NCFS000 1 08441203-n:0.00148818/06532330-n:0.000809783/05872982-n:0.000634565/08456347-n:0.000574403
que que PR0CN00 0.584265 -
proibia proibir VMII3S0 0.53333 00795863-v:0.000813873/02493666-v:0.000653421/00796588-v:0.000627407/00796392-v:0.000624202
propagandas propaganda NCFP000 1 07248801-n:0.00174535/07247071-n:0.00151156/06674542-n:0.000879352
para para SP 0.999444 -
crianças criança NCFP000 1 09917593-n:0.000514132/10624074-n:0.000432481/09827683-n:0.000347169/09992837-n:0.000341274/10285313-n:0.000307587/10084295-n:0.000282558/09918248-n:0.00026199/09976429-n:0.000239937/09918554-n:0.000239164/09833441-n:0.000225768
de de SP 1 -
até até RG 0.235738 00027918-r:0.00227705
12 12 Z 1 -
anos ano NCMP000 1 15203791-n:0.000432495/15202634-n:0.000316876/15203565-n:0.000305112/15153787-n:0.000291402/15201505-n:0.000271087/15204297-n:0.00026683/08238660-n:0.000266484/15202806-n:0.000262727/15203229-n:0.000256627/15273626-n:0.000254131
e e CC 0.999951 -
criava criar VMII3S0 0.533313 01617192-v:0.00104486/01621555-v:0.000716609/01753788-v:0.000677853/01640207-v:0.000559816/01685313-v:0.000475281
restrições restrição NCFP000 1 05846355-n:0.00042066/06247701-n:0.000396407/00808182-n:0.000390772/13998781-n:0.00038643/01149621-n:0.000383801/01148614-n:0.000369745/04081844-n:0.000362712
a a SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
publicidade publicidade NCFS000 1 07248801-n:0.00174535/07247071-n:0.00151156/01101329-n:0.000695804/07250034-n:0.000613574
para para SP 0.999444 -
adolescentes adolescente NCCP000 0.332636 09772029-n:0.00247438
de de SP 1 -
12 12 Z 1 -
a a SP 0.313151 -
18 18 Z 1 -
anos ano NCMP000 1 15203791-n:0.000432495/15202634-n:0.000316876/15203565-n:0.000305112/15153787-n:0.000291402/15201505-n:0.000271087/15204297-n:0.00026683/08238660-n:0.000266484/15202806-n:0.000262727/15203229-n:0.000256627/15273626-n:0.000254131
. . Fp 1 -
Em em SP 1 -
outubro_de_2008 [??:??/10/2008:??.??:??] W 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01849221-v:0.000603754/01835496-v:0.000412858/02072849-v:0.00018918/01904930-v:0.000182277/01995549-v:0.000175604/01955984-v:0.000168746/02051694-v:0.000167797/02009433-v:0.000165994/01957529-v:0.00015369/02102398-v:0.000147655/02685951-v:0.000137753/01935233-v:0.000136386/00341560-v:0.000130618/02058994-v:0.000123483/02102002-v:0.000122071/01882814-v:0.000121898/01846916-v:0.000120981/01841079-v:0.000114306/02686471-v:0.000109489/01839538-v:0.000106838/00343898-v:0.000105247
eleita eleito AQ0FS00 0.463795 00846052-a:0.00145328/01294857-a:0.00120528
prefeita prefeito NCFS000 1 10303814-n:0.00146304/09880881-n:0.000864246/10304018-n:0.000821223
de de SP 1 -
Betim betim NP00G00 1 -
, , Fc 1 -
derrotando derrotar VMG0000 1 01101913-v:0.00166786/01108148-v:0.00150584/01109259-v:0.0010617/01108627-v:0.00101828/01104018-v:0.000948399
Rômulo_Veneroso rômulo_veneroso NP00SP0 1 -
, , Fc 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Partido_Verde partido_verde NP00O00 1 -
( ( Fpa 1 -
PV pv NP00O00 1 -
) ) Fpt 1 -
. . Fp 1 -
Renunciou renunciar VMIS3S0 1 00757544-v:0.00041153/02382367-v:0.000405424/02367032-v:0.000401549/02379198-v:0.00039983/00798717-v:0.00038118/02227487-v:0.000371329/02303331-v:0.000358285
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
mandato mandato NCMS000 0.98913 06556481-n:0.000634157/06552984-n:0.000632514/01140658-n:0.000619579/06530789-n:0.000576253
de de SP 1 -
deputada deputado NCFS000 0.652137 09830400-n:0.00115441/10005934-n:0.00114061
federal federal AQ0CS00 1 01606214-a:0.000585069/01107206-a:0.000570718/02725829-a:0.000567714/01106129-a:0.000552674
em em SP 1 -
31_de_dezembro [??:31/12/??:??.??:??] W 1 -
, , Fc 1 -
e e CC 0.999951 -
em em SP 1 -
o o DA0MS0 1 -
dia dia NCMS000 1 15155220-n:0.00048755/15157225-n:0.000307024/15122231-n:0.000302784/15136453-n:0.000275729/15164957-n:0.000250612/15159583-n:0.000249347/15136723-n:0.000238643/15123115-n:0.000236029/15208333-n:0.000229101/15157041-n:0.00021633/15208540-n:0.000216117
seguinte seguinte AQ0CS00 0.932099 00127948-a:0.00118403/00127815-a:0.00118053
foi ir VMIS3S0 0.5 01849221-v:0.000603754/01835496-v:0.000412858/02072849-v:0.00018918/01904930-v:0.000182277/01995549-v:0.000175604/01955984-v:0.000168746/02051694-v:0.000167797/02009433-v:0.000165994/01957529-v:0.00015369/02102398-v:0.000147655/02685951-v:0.000137753/01935233-v:0.000136386/00341560-v:0.000130618/02058994-v:0.000123483/02102002-v:0.000122071/01882814-v:0.000121898/01846916-v:0.000120981/01841079-v:0.000114306/02686471-v:0.000109489/01839538-v:0.000106838/00343898-v:0.000105247
empossada empossar VMP00SF 0.992518 -
prefeita prefeito NCFS000 1 10303814-n:0.00146304/09880881-n:0.000864246/10304018-n:0.000821223
. . Fp 1 -
Em em SP 1 -
abril_de_2009 [??:??/4/2009:??.??:??] W 1 -
, , Fc 1 -
assumiu assumir VMIS3S0 1 02381726-v:0.000854051/00632236-v:0.000852866/00524682-v:0.00084284
a o DA0FS0 0.675415 -
secretaria-geral secretaria-geral NCMS000 1 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Frente_Nacional_de_Prefeitos frente_nacional_de_prefeitos NP00O00 1 -
. . Fp 1 -
    Fz 1 -
* * Fz 1 -
Miliandre_Garcia miliandre_garcia NP00SP0 1 -
* * Fz 1 -
* * Fz 1 -
    Fz 1 -
* * Fz 1 -

</OUTPUT>
