<OUTPUT SRCFILE="11222.raw">
obtendo obter VMG0000 1 02210855-v:0.00121425/02526085-v:0.00115547/02238085-v:0.00111653/02288295-v:0.000948992/02207206-v:0.000916157/02289295-v:0.000895106/02238770-v:0.000863105/02239261-v:0.000836901/02290461-v:0.000821288/02236124-v:0.000817858/00522751-v:0.00081711/00597915-v:0.000807682/02359340-v:0.000778624/02527431-v:0.000777954
sucesso sucesso NCMS000 1 00063652-n:0.00452598/14474052-n:0.0037237/00064504-n:0.00371946
. . Fp 1 -

Em em SP 1 -
** ** Fz 1 -
[ [ Fca 1 -
1994 1994 Z 1 -
] ] Fct 1 -
( ( Fpa 1 -
http://pt.wikipedia.org/wiki/1994 http://pt.wikipedia.org/wiki/1994 Z 1 -
" " Fe 1 -
1994 1994 Z 1 -
" " Fe 1 -
) ) Fpt 1 -
, , Fc 1 -
elegeu eleger VMIS3S0 1 -
se se PP3CN00 1 -
deputado deputado NCMS000 0.993827 09830400-n:0.00528377/10005934-n:0.00522385
estadual estadual AQ0CS00 1 -
com com SP 1 -
10.997 10997 Z 1 -
[ [ Fca 1 -
votos voto AQ0MP00 0.0121951 -
] ] Fct 1 -
( ( Fpa 1 -
http://pt.wikipedia.org/wiki/Voto http://pt.wikipedia.org/wiki/voto NCMS000 1 -
" " Fe 1 -
Voto voto NCMS000 0.968254 -
" " Fe 1 -
) ) Fpt 1 -
, , Fc 1 -
pelo pelar VMIP1S0 0.30702 01262936-v:0.0116279
[ [ Fca 1 -
Partido_Trabalhista_Brasileiro partido_trabalhista_brasileiro NP00O00 1 -
] ] Fct 1 -
( ( Fpa 1 -
http://pt.wikipedia.org/wiki/Partido_Trabalhista_Brasileiro http://pt.wikipedia.org/wiki/partido_trabalhista_brasileiro NCMS000 0.8 -
" " Fe 1 -
Partido_Trabalhista_Brasileiro partido_trabalhista_brasileiro NP00V00 1 -
" " Fe 1 -
) ) Fpt 1 -
( ( Fpa 1 -
PTB ptb NP00O00 1 -
) ) Fpt 1 -
. . Fp 1 -

Tomou tomar VMIS3S0 1 01170052-v:0.00228328/01171183-v:0.00206248/01156834-v:0.00176845/01202068-v:0.00171164/02205272-v:0.00162651/01172275-v:0.00162004/02248299-v:0.00145168
posse posse NCFS000 1 00032613-n:0.00560055/00809702-n:0.00531587
em em SP 1 -
o o DA0MS0 1 -
dia dia NCMS000 1 15155220-n:0.00183007/15122231-n:0.00133339/15157225-n:0.00128361/15136453-n:0.00123796/15164957-n:0.00109596/15159583-n:0.00108755/15136723-n:0.00108696/15208333-n:0.00104059/15123115-n:0.00103796/15208540-n:0.000982553/15157041-n:0.000980672
1º 1º Z 1 -
de de SP 1 -
fevereiro [??:??/2/??:??.??:??] W 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
ano ano NCMS000 1 15202634-n:0.00142613/15203565-n:0.00138029/15203791-n:0.00136115/15201505-n:0.00122658/15153787-n:0.00122331/15204297-n:0.00121863/08238660-n:0.00120861/15202806-n:0.00119585/15203229-n:0.00116472/15273626-n:0.00114784
seguinte seguinte AQ0CS00 0.932099 00127948-a:0.00544192/00127815-a:0.00542581
. . Fp 1 -

Na_Ales na_ales NP00SP0 1 -
, , Fc 1 -
participou participar VMIS3S0 1 02450256-v:0.00866478
de de SP 1 -
as o DA0FP0 0.974798 - o PD0FP00 0.0142702 - o PP3FPA0 0.0109322 -
seguintes seguinte AQ0CP00 0.97619 00127948-a:0.00408151/00127815-a:0.00406957
comissões comissão NCFP000 1 08324514-n:0.00182847/08402442-n:0.00164785/00773235-n:0.00159299/13320860-n:0.00156032/06478988-n:0.00154541
: : Fd 1 -
Constituição constituição NCFS000 1 04933544-n:0.00281647/06533648-n:0.00275282/00237078-n:0.00271883
e e CC 0.999951 -
Justiça justiça NP00V00 1 00694681-n:0.00261249/00694866-n:0.00162566/04850117-n:0.00149873/04839154-n:0.0013792/04826235-n:0.00132292/04850341-n:0.00130505/08135342-n:0.001172
; ; Fx 1 -
Defesa_da_Cidadania defesa_da_cidadania NP00V00 1 -
e e CC 0.999951 -
de de SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
Direitos_Humanos direitos_humanos NP00O00 1 -
; ; Fx 1 -
Defesa_do_Consumidor_,_de_Proteção_ao_Meio_Ambiente defesa_do_consumidor_,_de_proteção_ao_meio_ambiente NP00O00 1 -
, , Fc 1 -
de de SP 1 -
Agricultura agricultura NP00V00 1 01104406-n:0.00271566/00453731-n:0.0026483/00918176-n:0.00260504
, , Fc 1 -
de de SP 1 -
Abastecimento abastecimento NP00V00 1 01057200-n:0.00859119
e e CC 0.999951 -
de de SP 1 -
Reforma_Agrária reforma_agrária NP00V00 1 -
; ; Fx 1 -
Defesa_da defesa_da NP00V00 1 -
Cidadania cidadania NCFS000 1 08160276-n:0.00287648/13953467-n:0.00278755/04898208-n:0.00268218
e e CC 0.999951 -
de de SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
Direitos_Humanos direitos_humanos NP00O00 1 -
; ; Fx 1 -
Finanças finanças NP00O00 1 13356112-n:0.00851537
, , Fc 1 -
Economia economia NP00O00 1 04893787-n:0.00180962/08366753-n:0.00177415/06149484-n:0.00175738/00192613-n:0.0017474/05644727-n:0.0017428
, , Fc 1 -
Orçamento orçamento NP00O00 1 13421462-n:0.00461347/13421832-n:0.00444726
, , Fc 1 -
Fiscalização fiscalização NCFS000 1 -
, , Fc 1 -
Controle controlo NCMS000 0.969804 -
e e CC 0.999951 -
Tribunal_de_Contas tribunal_de_contas NP00O00 1 -
. . Fp 1 -

Em em SP 1 -
o o DA0MS0 1 -
