<OUTPUT SRCFILE="480.raw">
* * Fz 1 -
Demócrito_Barbosa demócrito_barbosa NP00SP0 1 -
* * Fz 1 -
nasceu nascer VMIS3S0 1 00360932-v:0.021227
em em SP 1 -
o o DA0MS0 1 -
Rio_de_Janeiro rio_de_janeiro NP00G00 1 -
, , Fc 1 -
então então RG 0.994792 -
capital capital NCFS000 0.498759 08524735-n:0.0132223/08518505-n:0.0106351
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Império império NP00G00 1 08058937-n:0.00518302/08405723-n:0.0051225/08557482-n:0.00502753/08052413-n:0.00482847
, , Fc 1 -
em em SP 1 -
1880 1880 Z 1 -
, , Fc 1 -
fi fazer VMIS1S0 1 -
lhe lhe PP3CSD0 1 -
o o PP3MSA0 1 -
de de SP 1 -
Francisco_Pereira_da_Silva_Barbosa francisco_pereira_da_silva_barbosa NP00SP0 1 -
. . Fp 1 -

Matriculou matricular VMIS3S0 1 -
se se PP3CN00 1 -
em em SP 1 -
a o DA0FS0 1 -
Escola_Militar escola_militar NP00O00 1 -
em em SP 1 -
1889 1889 Z 1 -
, , Fc 1 -
alcançando alcançar VMG0000 1 02585860-v:0.0305259
o o DA0MS0 0.950254 -
posto posto NCMS000 0.717647 14429985-n:0.0105461/13947415-n:0.00892368/14428160-n:0.00870785/04175859-n:0.00862301
de de SP 1 -
segundo-tenente segundo-tenente NCCS000 1 -
em em SP 1 -
1907 1907 Z 1 -
. . Fp 1 -

Cursou cursar VMIS3S0 1 -
a o DA0FS0 0.675415 -
Escola_Militar_de_Artilharia_em_Fontainebleau escola_militar_de_artilharia_em_fontainebleau NP00O00 1 -
, , Fc 1 -
em em SP 1 -
a o DA0FS0 1 -
França frança NP00G00 1 -
, , Fc 1 -
durante durante SP 0.99651 -
a o DA0FS0 0.675415 -
Primeira_Guerra_Mundial primeira_guerra_mundial NP00V00 1 -
( ( Fpa 1 -
1914-1918 1914-1918 Z 1 -
) ) Fpt 1 -
. . Fp 1 -

Promovido promover VMP00SM 0.992518 02554922-v:0.00599821/00875806-v:0.0059456
a o DA0FS0 0.675415 -
tenente-coronel tenente-coronel NCMS000 0.271562 10259780-n:0.0113517
em em SP 1 -
1930 1930 Z 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00142959/02051694-v:0.000801528/01955984-v:0.000753217/01995549-v:0.000733074/02072849-v:0.000719692/01904930-v:0.000699637/02009433-v:0.00067711/01957529-v:0.000654612/01935233-v:0.00065437/02102398-v:0.000634483/00341560-v:0.000622203/01882814-v:0.00058622/02058994-v:0.000585169/02685951-v:0.000584226/01846916-v:0.000579053/02102002-v:0.000577523/01849221-v:0.000574666/01841079-v:0.000550416/02686471-v:0.000534331/01839538-v:0.000521804/00343898-v:0.000512914
nomeado nomear VMP00SM 0.97619 02475922-v:0.00249316/02396205-v:0.00227739/02396716-v:0.00212715/01028748-v:0.00211069/02400760-v:0.00210635/02401523-v:0.00201505
interventor interventor NCMS000 0.632633 -
em em SP 1 -
o o DA0MS0 1 -
Rio_de_Janeiro rio_de_janeiro NP00G00 1 -
pela pelar VMIP3S0 0.470159 01262936-v:0.0124586
junta junta NCFS000 0.574074 08324514-n:0.012569
governativa governativo AQ0FS00 1 -
provisória provisório AQ0FS00 1 00556318-a:0.0121432
formada formar VMP00SF 0.992518 01659248-v:0.00646835/00142191-v:0.00631636
com com SP 1 -
a o DA0FS0 0.675415 -
deposição deposição NCFS000 1 00208943-n:0.0115099
de de SP 1 -
Washington_Luís washington_luís NP00SP0 1 -
em em SP 1 -
24_de_outubro [??:24/10/??:??.??:??] W 1 -
de de SP 1 -
esse esse DD0MS0 1 -
ano ano NCMS000 1 15202634-n:0.00150475/15203565-n:0.0014767/15203791-n:0.00144188/15153787-n:0.0013099/15204297-n:0.00130269/15201505-n:0.00129675/08238660-n:0.00129596/15202806-n:0.00127761/15203229-n:0.00123378/15273626-n:0.00122116
. . Fp 1 -

Empossado empossar VMP00SM 0.992518 -
em em SP 1 -
essa esse DD0FS0 0.887454 - esse PD0FS00 0.112546 -
mesma mesmo PI0FS00 0.968254 -
data data NCFS000 0.870968 15159583-n:0.0133446/15159819-n:0.0118109
permaneceu permanecer VMIS3S0 1 00117985-v:0.00454706/02731024-v:0.00434164/02639075-v:0.00386904/01857392-v:0.00373477/02731242-v:0.00371263/02727462-v:0.00364417
em em SP 1 -
o o DA0MS0 1 -
cargo cargo NCMS000 1 00586262-n:0.0127907/13945102-n:0.0100762
por por SP 1 -
cinco 5 Z 0.997312 -
dias dia NCMP000 1 15159583-n:0.0133446/15155220-n:0.00426015/15122231-n:0.00250628/15157225-n:0.00242917/15136453-n:0.00227174/15164957-n:0.0020369/15136723-n:0.00203542/15123115-n:0.00194736/15208333-n:0.00194467/15157041-n:0.00185131/15208540-n:0.00182505
, , Fc 1 -
sendo ser VMG0000 1 02604760-v:0.0253751
substituído substituir VMP00SM 0.721918 02405390-v:0.00551701/00162688-v:0.00297965/02394662-v:0.0029125/00161225-v:0.00287645/02258617-v:0.00267127/02257767-v:0.00265933/02394445-v:0.00264194/02406011-v:0.00246702
por por SP 1 -
Plínio_de_Castro_Casado plínio_de_castro_casado NP00SP0 1 -
em em SP 1 -
29_de_outubro [??:29/10/??:??.??:??] W 1 -
. . Fp 1 -

Atingiu atingir VMIS3S0 1 02526085-v:0.0033447/02210855-v:0.00329883/02524171-v:0.00186039/02238085-v:0.0018559/02207206-v:0.00153644/02288295-v:0.00152748/01640855-v:0.00146008/02238770-v:0.00144455/02206014-v:0.00139908/02239261-v:0.0013902/00597915-v:0.00133879/02022162-v:0.00133235/00484892-v:0.00132325/01209135-v:0.00131708/02522864-v:0.00131505/02359340-v:0.00131163/01152396-v:0.00131018/02527431-v:0.00130208/02248299-v:0.00124396/02213336-v:0.00122621/02526811-v:0.00120197
o o DA0MS0 0.950254 -
posto posto NCMS000 0.717647 14429985-n:0.00936405/13947415-n:0.00749601/14428160-n:0.00728231/04175859-n:0.00718689
de de SP 1 -
coronel coronel NCMS000 1 09937250-n:0.0270461
em em SP 1 -
1931 1931 Z 1 -
, , Fc 1 -
passando passar VMG0000 1 01212230-v:0.00922611/02709277-v:0.00861166/00106960-v:0.00845479
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
comando comando NCMS000 0.990196 08404373-n:0.0258682
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Setor_Leste setor_leste NP00G00 1 -
. . Fp 1 -

Em em SP 1 -
o o DA0MS0 1 -
ano ano NCMS000 1 15202634-n:0.00300627/15203565-n:0.00294828/15203791-n:0.00283296/15153787-n:0.00260838/15204297-n:0.00260453/15201505-n:0.00259017/08238660-n:0.00258718/15202806-n:0.00255334/15203229-n:0.00246505/15273626-n:0.00244007
seguinte seguinte AQ0CS00 0.932099 00127948-a:0.0116608/00127815-a:0.0116264
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00281768/02051694-v:0.00160132/01955984-v:0.00149423/01995549-v:0.00145669/02072849-v:0.00143691/01904930-v:0.00137521/02009433-v:0.00135284/01935233-v:0.00131234/01957529-v:0.00130151/02102398-v:0.00126162/00341560-v:0.00124242/01882814-v:0.00117012/02058994-v:0.00116608/02685951-v:0.00116094/01846916-v:0.00115545/02102002-v:0.00115101/01849221-v:0.00114854/01841079-v:0.00109978/02686471-v:0.00106681/01839538-v:0.00104066/00343898-v:0.00102513
chefe chefe NCMS000 1 09623038-n:0.0244419
de de SP 1 -
gabinete gabinete NCMS000 1 03175081-n:0.0218194
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
ministro ministro NCMS000 0.99763 10320863-n:0.0124073/00585810-n:0.0121659
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Guerra guerra NP00V00 1 00973077-n:0.00894464/13981403-n:0.00775262/01236296-n:0.00771751
. . Fp 1 -

Fez fazer VMIS3S0 0.997449 02367363-v:0.00311592/01645601-v:0.00291323/00120316-v:0.00229882/01752884-v:0.0022528/00010435-v:0.00187698/02526085-v:0.00177989/01714208-v:0.00171534/01712704-v:0.0016688/01640207-v:0.00166306/01719921-v:0.00166247/01652139-v:0.00165999/01642924-v:0.00164621/01629000-v:0.0016375/01752495-v:0.00162147/01438902-v:0.00161058/01628197-v:0.00160596/01627355-v:0.00160553/02560767-v:0.00160428/01754737-v:0.00160121/01739814-v:0.0015497/00665476-v:0.00154213/01431987-v:0.00152533/02374764-v:0.00150794/01685313-v:0.00150564/01649024-v:0.00148782/00012267-v:0.00146471/02599636-v:0.0014213
os o DA0MP0 0.958022 -
cursos curso NCMP000 1 08679972-n:0.00470794/09387222-n:0.00460517/13827426-n:0.00455045/08377085-n:0.0044862/08238660-n:0.0041954/08680888-n:0.0041739/08238463-n:0.00410752/00884466-n:0.004076/00038262-n:0.00392148/08681222-n:0.00388801/08461595-n:0.00366997
de de SP 1 -
estado-maior estado-maior AQ0CS00 0.981132 -
e e CC 0.999951 -
de de SP 1 -
engenharia engenharia NCFS000 0.846837 00949619-n:0.0218956/06125041-n:0.0216107
. . Fp 1 -

Faleceu falecer VMIS3S0 1 00358431-v:0.0854844/00354845-v:0.0798657
em em SP 1 -
1961 1961 Z 1 -
. . Fp 1 -

</OUTPUT>
