<OUTPUT SRCFILE="11408.raw">
** ** Fz 1 -
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Partido_Democrático_Social partido_democrático_social NP00O00 1 -
( ( Fpa 1 -
PDS pds NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
em em SP 1 -
que que PR0CN00 0.584265 -
a o DA0FS0 0.675415 -
maioria maioria NCFS000 1 05122557-n:0.00464012/13581067-n:0.004558/15152062-n:0.00450084
de de SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
membros membro NCMP000 1 10307234-n:0.00376597/05559908-n:0.00362789/05560244-n:0.00347955/13810615-n:0.003284
era ser VMII1S0 0.331795 02604760-v:0.0159173
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Arena arena NCFS000 1 02736511-n:0.0136535
. . Fp 1 -

Entre entre SP 0.987856 -
1980 1980 Z 1 -
e e CC 0.999951 -
1982 1982 Z 1 -
, , Fc 1 -
participou participar VMIS3S0 1 02450256-v:0.0247049
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
diretório diretório NCMS000 1 03376279-n:0.0142363/03337383-n:0.0134766
municipal municipal AQ0CS00 0.983871 02697452-a:0.0127809/01038580-a:0.0110075
e e CC 0.999951 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
diretório diretório NCMS000 1 03376279-n:0.0142363/03337383-n:0.0134766
regional regional AQ0CS00 1 02871858-a:0.0118483/02408977-a:0.0117287
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
agremiação agremiação NCFS000 1 -
. . Fp 1 -

Em em SP 1 -
1982 1982 Z 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00276342/02051694-v:0.00158792/01955984-v:0.00148441/01995549-v:0.00144771/02072849-v:0.00143007/01904930-v:0.0013558/02009433-v:0.00134161/01935233-v:0.0013015/01957529-v:0.00128623/02102398-v:0.0012579/00341560-v:0.00123748/01882814-v:0.00116866/02058994-v:0.0011645/02685951-v:0.0011602/01846916-v:0.00115361/02102002-v:0.00115036/01849221-v:0.0011414/01841079-v:0.00109789/02686471-v:0.00106572/01839538-v:0.00104043/00343898-v:0.00102499
reeleito reeleito NCMS000 0.607634 -
. . Fp 1 -

Em em SP 1 -
1985 1985 Z 1 -
, , Fc 1 -
licenciou licenciar VMIS3S0 1 -
se se PP3CN00 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
mandato mandato NCMS000 0.98913 06556481-n:0.00718736/06552984-n:0.0069789/01140658-n:0.00678637/06530789-n:0.00655232
e e CC 0.999951 -
assumiu assumir VMIS3S0 1 00632236-v:0.00944202/00524682-v:0.00941567/02381726-v:0.00930396
a o DA0FS0 0.675415 -
Secretaria_do_Desenvolvimento_Social_de_Florianópolis secretaria_do_desenvolvimento_social_de_florianópolis NP00O00 1 -
, , Fc 1 -
cargo cargo NCMS000 1 00586262-n:0.0170512/13945102-n:0.013441
em em SP 1 -
que que PR0CN00 0.584265 -
permaneceu permanecer VMIS3S0 1 00117985-v:0.00580061/02731024-v:0.0057865/01857392-v:0.00497194/02731242-v:0.00494939/02639075-v:0.00491538/02727462-v:0.004643
até até SP 0.764262 -
1986 1986 Z 1 -
. . Fp 1 -

Reeleito reeleito NCMS000 0.607634 -
em em SP 1 -
1986 1986 Z 1 -
em em SP 1 -
a o DA0FS0 1 -
legenda legenda NCFS000 0.8193 06346891-n:0.0126163/06347588-n:0.0117011
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
PDS pds NP00O00 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00276493/02051694-v:0.00160003/01955984-v:0.00148734/01995549-v:0.00144793/02072849-v:0.00143234/02009433-v:0.00134148/01904930-v:0.0013384/01935233-v:0.00130534/01957529-v:0.00128874/02102398-v:0.00126037/00341560-v:0.00123983/01882814-v:0.0011691/02058994-v:0.00116518/02685951-v:0.00116042/01846916-v:0.00115431/02102002-v:0.00114818/01849221-v:0.00114132/01841079-v:0.00109798/02686471-v:0.00106568/01839538-v:0.00104031/00343898-v:0.00102468
deputado deputado NCMS000 0.993827 09830400-n:0.0113198/10005934-n:0.0111922
estadual estadual AQ0CS00 1 -
constituinte constituinte AQ0CS00 0.531381 00901345-a:0.0234761
. . Fp 1 -

Deixou deixar VMIS3S0 1 00120316-v:0.00337588/00800930-v:0.00303419/00802318-v:0.0028534/02310007-v:0.00269041/00771490-v:0.00258485
o o DA0MS0 0.950254 -
PDS pds NP00O00 1 -
em em SP 1 -
1990 1990 Z 1 -
e e CC 0.999951 -
filiou filiar VMIS3S0 1 -
se se PP3CN00 1 -
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Partido_da_Reconstrução_Nacional partido_da_reconstrução_nacional NP00O00 1 -
( ( Fpa 1 -
[ [ Fca 1 -
PRN prn NP00O00 1 -
] ] Fct 1 -
( ( Fpa 1 -
http://pt.wikipedia.org/wiki/PRN http://pt.wikipedia.org/wiki/prn NCMS000 0.624125 -
" " Fe 1 -
PRN prn NP00V00 1 -
" " Fe 1 -
) ) Fpt 1 -
) ) Fpt 1 -
, , Fc 1 -
tendo ter VMG0000 0.996894 00065639-v:0.00536373/00065370-v:0.00374787/02204692-v:0.00366006/02632167-v:0.00352637
sido ser VMP00SM 1 02604760-v:0.0160768
novamente novamente RG 0.5 00040365-r:0.00570444/00112843-r:0.00544276/00112601-r:0.00491249
reeleito reeleito AQ0MS00 0.392366 -
deputado deputado NCMS000 0.993827 09830400-n:0.00660404/10005934-n:0.00652966
estadual estadual AQ0CS00 1 -
. . Fp 1 -

Deixou deixar VMIS3S0 1 00120316-v:0.00280456/00800930-v:0.00242754/00802318-v:0.00228771/02310007-v:0.00217837/00771490-v:0.00206746
o o DA0MS0 0.950254 -
PRN prn NP00O00 1 -
em em SP 1 -
1993 1993 Z 1 -
e e CC 0.999951 -
ingressou ingressar VMIS3S0 1 02310855-v:0.010933
em em SP 1 -
o o DA0MS0 1 -
Partido_Progressista_Renovador partido_progressista_renovador NP00O00 1 -
( ( Fpa 1 -
PPR ppr NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
em em SP 1 -
outubro [??:??/10/??:??.??:??] W 1 -
seguinte seguinte AQ0CS00 0.932099 00127948-a:0.00544228/00127815-a:0.00542596
obteve obter VMIS3S0 1 02210855-v:0.00125421/02238085-v:0.00110994/02526085-v:0.00107826/02207206-v:0.000981712/02288295-v:0.000920948/02289295-v:0.000905364/02238770-v:0.000864422/02236124-v:0.000860954/02239261-v:0.000836256/02290461-v:0.000822869/00522751-v:0.000822238/00597915-v:0.000809561/02359340-v:0.000778926/02527431-v:0.000777689
mais mais RG 0.999721 00029367-r:0.00805441/00099712-r:0.00678927
uma um DI0FS0 0.903495 -
reeleição reeleição NCFS000 1 00181373-n:0.0110313
e e CC 0.999951 -
, , Fc 1 -
ainda ainda RG 1 00047534-r:0.0109396
em em SP 1 -
1994 1994 Z 1 -
, , Fc 1 -
tornou tornar VMIS3S0 1 -
se se PP3CN00 1 -
membro membro NCMS000 1 10307234-n:0.00302279/05559908-n:0.00290404/05560244-n:0.00278504/13810615-n:0.00262831
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
diretório diretório NCMS000 1 03376279-n:0.00664569/03337383-n:0.00629097
regional regional AQ0CS00 1 02871858-a:0.00553597/02408977-a:0.005491
em em SP 1 -
Florianópolis florianópolis NP00G00 1 -
. . Fp 1 -

Em em SP 1 -
1995 1995 Z 1 -
, , Fc 1 -
filiou filiar VMIS3S0 1 -
se se PP3CN00 1 -
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Partido_Progressista_Brasileiro partido_progressista_brasileiro NP00O00 1 -
( ( Fpa 1 -
PPB ppb NP00O00 1 -
) ) Fpt 1 -
– – Fz 1 -
resultado resultado NCMS000 0.936047 07292694-n:0.00419276/11410625-n:0.00416928/11416988-n:0.00270088/07295507-n:0.0026675/07291312-n:0.00265497/06746005-n:0.00262237/07293546-n:0.00243276/11411610-n:0.00239461
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
fusão fusão NCFS000 1 13566535-n:0.00315654/00380568-n:0.00312224/01238424-n:0.00301952/13485525-n:0.00297406/07373602-n:0.00297171/14418662-n:0.00285321/13485767-n:0.00279025
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
PPR ppr NP00O00 1 -
com com SP 1 -
o o DA0MS0 0.950254 -
Partido_Popular partido_popular NP00O00 1 -
( ( Fpa 1 -
PP pp NP00O00 1 -
) ) Fpt 1 -
. . Fp 1 -

Presidiu presidir VMIS3S0 1 02443609-v:0.0275563
o o DA0MS0 0.950254 -
diretório diretório NCMS000 1 03376279-n:0.0166112/03337383-n:0.015725
Micro_Regional micro_regional NP00SP0 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
partido partido NCMS000 0.98773 -
em em SP 1 -
o o DA0MS0 1 -
município município NCMS000 1 08524735-n:0.0132961/08626283-n:0.00965004/08225581-n:0.00911231
de de SP 1 -
Lages lages NP00G00 1 -
( ( Fpa 1 -
1996-2002 1996-2002 Z 1 -
) ) Fpt 1 -
. . Fp 1 -

Em em SP 1 -
a o DA0FS0 1 -
eleição eleição NCFS000 1 00181781-n:0.00779253/05790944-n:0.00662255/00183505-n:0.00617765/00180962-n:0.00591486
de de SP 1 -
outubro_de_1998 [??:??/10/1998:??.??:??] W 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00282439/02051694-v:0.00160106/01955984-v:0.00148905/01995549-v:0.00144913/02072849-v:0.00143392/02009433-v:0.00134736/01904930-v:0.00134218/01935233-v:0.0013049/01957529-v:0.00128991/02102398-v:0.001261/00341560-v:0.00123997/01882814-v:0.00116944/02058994-v:0.00116595/02685951-v:0.00116006/01846916-v:0.00115452/02102002-v:0.00115074/01849221-v:0.00114358/01841079-v:0.00109845/02686471-v:0.0010664/01839538-v:0.00104048/00343898-v:0.00102556
por por SP 1 -
a o DA0FS0 1 -
sexta sexto AO0FS00 0.49375 02202854-a:0.0264355
vez vez NCFS000 1 14485064-n:0.0231873
eleito eleito AQ0MS00 0.5 00846052-a:0.0140005/01294857-a:0.0118243
deputado deputado NCMS000 0.993827 09830400-n:0.0113357/10005934-n:0.0111979
estadual estadual AQ0CS00 1 -
. . Fp 1 -

Durante durante SP 0.99651 -
seus seu DP3MPS 0.857735 -
mandatos mandato NCMP000 1 06556481-n:0.00861405/06552984-n:0.00837557/01140658-n:0.00813928/06530789-n:0.0078633
, , Fc 1 -
ocupou ocupar VMIS3S0 1 00600370-v:0.0120797/01126360-v:0.0109234/02649042-v:0.0107016
a o DA0FS0 0.675415 -
presidência presidência NCFS000 1 00596807-n:0.0164327/15266265-n:0.0163833
e e CC 0.999951 -
a o DA0FS0 0.675415 -
vice vice AQ0CN00 1 -
presidência presidência NCFS000 1 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Casa casa NP00G00 1 03544360-n:0.0047197/02913152-n:0.00292685/08559508-n:0.00285641/03259505-n:0.0027568/02726305-n:0.00244805/08558963-n:0.00240782/08078020-n:0.002399/03546340-n:0.00237742/04417809-n:0.00225099/03545150-n:0.00216909/14513694-n:0.00215945/08060446-n:0.00212969/08559155-n:0.00210401/07971449-n:0.00208846/03002816-n:0.00195578/03180865-n:0.00190727
. . Fp 1 -

Em em SP 1 -
outubro_de_2002 [??:??/10/2002:??.??:??] W 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00277906/02051694-v:0.00160013/01955984-v:0.0014885/01995549-v:0.00144808/02072849-v:0.00143311/02009433-v:0.00134356/01904930-v:0.00133898/01935233-v:0.0013055/01957529-v:0.00128972/02102398-v:0.00126001/00341560-v:0.00123893/01882814-v:0.0011699/02058994-v:0.00116532/02685951-v:0.00116006/01846916-v:0.00115461/02102002-v:0.0011496/01849221-v:0.00114223/01841079-v:0.00109829/02686471-v:0.00106584/01839538-v:0.00104035/00343898-v:0.00102472
eleito eleito AQ0MS00 0.5 00846052-a:0.0138404/01294857-a:0.0118212
deputado deputado NCMS000 0.993827 09830400-n:0.0113341/10005934-n:0.011198
federal federal AQ0CS00 1 01606214-a:0.00574028/01107206-a:0.00559152/02725829-a:0.00556195/01106129-a:0.0054284
por por SP 1 -
Santa_Catarina santa_catarina NP00G00 1 -
em em SP 1 -
a o DA0FS0 1 -
legenda legenda NCFS000 0.8193 06346891-n:0.0126166/06347588-n:0.0117012
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
PPB ppb NP00O00 1 -
. . Fp 1 -

Tomou tomar VMIS3S0 1 01170052-v:0.00426582/01171183-v:0.00385749/01156834-v:0.00330104/01202068-v:0.00320766/02205272-v:0.00304683/01172275-v:0.00303557/02248299-v:0.00272127
posse posse NCFS000 1 00032613-n:0.0104932/00809702-n:0.00996584
em em SP 1 -
fevereiro [??:??/2/??:??.??:??] W 1 -
seguinte seguinte AQ0CS00 0.932099 00127948-a:0.0102031/00127815-a:0.0101731
