<OUTPUT SRCFILE="11496.raw">
foi ir VMIS3S0 0.5 01835496-v:0.00124778/02051694-v:0.000701352/01955984-v:0.00065893/01995549-v:0.000641033/02072849-v:0.000629087/01904930-v:0.000606602/02009433-v:0.000594298/01935233-v:0.0005723/01957529-v:0.000571251/02102398-v:0.000554324/00341560-v:0.000543252/01882814-v:0.000512944/02058994-v:0.00051215/02685951-v:0.000510816/01846916-v:0.000506595/02102002-v:0.000506072/01849221-v:0.000502202/01841079-v:0.000481576/02686471-v:0.00046694/01839538-v:0.000455671/00343898-v:0.000448583
presidente presidente NCMS000 0.998938 10467395-n:0.00217504/10468962-n:0.00214166/10467179-n:0.00198369/10469346-n:0.00187854/10468750-n:0.00185186/10468559-n:0.00178171
entre entre SP 0.987856 -
1987 1987 Z 1 -
e e CC 0.999951 -
1990 1990 Z 1 -
. . Fp 1 -
    Fz 1 -
Em em SP 1 -
1989 1989 Z 1 -
, , Fc 1 -
reelegeu reeleger VMIS3S0 1 -
se se PP3CN00 1 -
para para SP 0.999444 -
o o DA0MS0 0.950254 -
cargo cargo NCMS000 1 00586262-n:0.006658/13945102-n:0.0050528
legislativo legislativo AQ0MS00 1 02829565-a:0.00543851/02829422-a:0.00514588
por por SP 1 -
o o DA0MS0 1 -
PL. pl. NP00O00 1 -
Em em SP 1 -
1990 1990 Z 1 -
, , Fc 1 -
ingressou ingressar VMIS3S0 1 02310855-v:0.010227
em em SP 1 -
o o DA0MS0 1 -
Partido_da_Frente_Liberal partido_da_frente_liberal NP00O00 1 -
( ( Fpa 1 -
PFL pfl NP00O00 1 -
) ) Fpt 1 -
e e CC 0.999951 -
entre entre SP 0.987856 -
junho_de_1990 [??:??/6/1990:??.??:??] W 1 -
e e CC 0.999951 -
abril_de_1991 [??:??/4/1991:??.??:??] W 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00124778/02051694-v:0.000701352/01955984-v:0.00065893/01995549-v:0.000641033/02072849-v:0.000629087/01904930-v:0.000606602/02009433-v:0.000594298/01935233-v:0.0005723/01957529-v:0.000571251/02102398-v:0.000554324/00341560-v:0.000543252/01882814-v:0.000512944/02058994-v:0.00051215/02685951-v:0.000510816/01846916-v:0.000506595/02102002-v:0.000506072/01849221-v:0.000502202/01841079-v:0.000481576/02686471-v:0.00046694/01839538-v:0.000455671/00343898-v:0.000448583
secretário secretário NCMS000 1 10570019-n:0.00366408/10569744-n:0.00363407/01618503-n:0.00337823
de de SP 1 -
Agricultura agricultura NP00V00 1 01104406-n:0.00339083/00453731-n:0.00330981/00918176-n:0.00325582
e e CC 0.999951 -
Abastecimento_de_São_José abastecimento_de_são_josé NP00V00 1 -
. . Fp 1 -

Entre entre SP 0.987856 -
maio_de_1991 [??:??/5/1991:??.??:??] W 1 -
e e CC 0.999951 -
abril_de_1992 [??:??/4/1992:??.??:??] W 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00323636/02051694-v:0.00186701/01955984-v:0.00173406/01995549-v:0.0016869/02072849-v:0.00167086/02009433-v:0.00156672/01904930-v:0.00156359/01935233-v:0.00152131/01957529-v:0.0015075/02102398-v:0.00146917/00341560-v:0.00144504/01882814-v:0.00136398/02058994-v:0.00135928/02685951-v:0.00135177/01846916-v:0.00134981/02102002-v:0.00134769/01849221-v:0.00133179/01841079-v:0.00128298/02686471-v:0.0012516/01839538-v:0.00121366/00343898-v:0.00119538
secretário secretário NCMS000 1 10570019-n:0.00968513/10569744-n:0.00967398/01618503-n:0.00900655
municipal municipal AQ0CS00 0.983871 02697452-a:0.0152875/01038580-a:0.0130755
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Indústria_,_Comércio indústria_,_comércio NP00O00 1 -
e e CC 0.999951 -
Turismo turismo NP00O00 1 00298161-n:0.0262722
em em SP 1 -
a o DA0FS0 1 -
mesma mesmo PI0FS00 0.968254 -
