<OUTPUT SRCFILE="11644.raw">
foi ir VMIS3S0 0.5 01835496-v:0.00125463/02051694-v:0.000655788/01955984-v:0.000621142/01995549-v:0.000620542/02072849-v:0.000594905/01904930-v:0.00057977/02009433-v:0.000558821/01935233-v:0.000544102/01957529-v:0.000539066/00341560-v:0.000523644/02102398-v:0.000522339/02685951-v:0.000489233/01882814-v:0.000484061/02058994-v:0.000482926/02102002-v:0.000477988/01846916-v:0.000477864/01849221-v:0.000474929/01841079-v:0.000453804/02686471-v:0.000440135/01839538-v:0.000429701/00343898-v:0.000423045
tardia tardio AQ0FS00 1 00816481-a:0.00230718/00819235-a:0.00209122/01901186-a:0.00208871/00820721-a:0.00205004/01841295-a:0.00182782
e e CC 0.999951 -
inscreveu inscrever VMIS3S0 1 -
se se PP3CN00 1 -
, , Fc 1 -
durante durante SP 0.99651 -
boa bom AQ0FS00 0.897321 01123148-a:0.00132687/00633410-a:0.00115525/01129977-a:0.00113479/00064787-a:0.00113022/01993408-a:0.00108737/01661289-a:0.00107754/01879261-a:0.0010764/01333477-a:0.00105868/01586752-a:0.00103073
parte parte NCFS000 0.969571 03892891-n:0.000981861/03081021-n:0.000940857/06392001-n:0.000905967/05868954-n:0.000882643/04164989-n:0.000881908/13809207-n:0.000851789/13086908-n:0.00083708/09385911-n:0.000834194/01085098-n:0.000830959/03390207-n:0.000819634/09428741-n:0.000771453/13286524-n:0.000770483
de de SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
séculos século NCMP000 1 15205532-n:0.00546045/15248564-n:0.00484098
XIX xix NCMS000 0.500479 -
e e CC 0.999951 -
XX x NCMP000 1 06833663-n:0.00897953
, , Fc 1 -
em em SP 1 -
a o DA0FS0 1 -
lógica lógica NCFS000 0.493976 06163751-n:0.00216701/05664069-n:0.00205531/05871618-n:0.0020207/05615028-n:0.00200726/04784664-n:0.00200686
assistencialista assistencialista AQ0CS00 0.75 -
e e CC 0.999951 -
repressiva repressivo AQ0FS00 1 02004176-a:0.00977633
conhecida conhecer VMP00SF 0.962264 00594621-v:0.00343238/02596113-v:0.00322829/00965894-a:0.00299722
como como CS 0.751351 -
a o DA0FS0 0.675415 -
* * Fz 1 -
política política NCFS000 0.28594 06148148-n:0.00220876/06656408-n:0.00215316/05901508-n:0.00208398/13840719-n:0.00196089/00611972-n:0.00194332
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
pão pão NCMS000 1 07679356-n:0.00212635/07683786-n:0.00178417/07570720-n:0.00169636/13365286-n:0.00163995/07649582-n:0.00163465/07685730-n:0.00160528
e e CC 0.999951 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
palmatória palmatória NCFS000 1 -
* * Fz 1 -
. . Fp 1 -

Para para SP 0.999444 -
que que CS 0.398036 -
se se PP3CN00 0.861659 -
entenda entender VMSP3S0 0.648523 00594621-v:0.00693492/00588888-v:0.00259696/00588221-v:0.00179623/00728617-v:0.00120998/00623151-v:0.00112288/02106506-v:0.00105602/00590366-v:0.000991713/00589904-v:0.000976421/00591115-v:0.000974665/00593852-v:0.000951326/00589738-v:0.000905298/00620239-v:0.000897184
melhor melhor RG 0.243316 -
tal tal DI0CS0 0.395425 -
processo processo NCMS000 0.998008 01023820-n:0.00211009/01181902-n:0.00203234/01198307-n:0.00201939/01182654-n:0.00199716/01195867-n:0.00191182/01023636-n:0.00187209
, , Fc 1 -
é ser VMIP3S0 1 02604760-v:0.0127389
preciso preciso AQ0MS00 0.990196 00021766-a:0.00327133/01837744-a:0.00319851/00914421-a:0.00315256/00631798-a:0.00266854
conhecer conhecer VMN0000 0.310769 00594621-v:0.00693492/02596113-v:0.00548321
a o DA0FS0 0.675415 -
Doutrina_do_Direito_Penal_do_Menor doutrina_do_direito_penal_do_menor NP00G00 1 -
e e CC 0.999951 -
a o DA0FS0 0.675415 -
Doutrina_da_Situação_Irregular doutrina_da_situação_irregular NP00V00 1 -
, , Fc 1 -
pois pois CS 0.996988 -
estas este PD0FP00 0.127329 -
se se PP3CN00 0.861659 -
caracterizam caracterizar VMIP3P0 1 02697950-v:0.00548921/00956687-v:0.00540942
como como CS 0.751351 -
a o DA0FS0 0.675415 -
base base NCFS000 1 04360501-n:0.0026864/03387016-n:0.00234927/03903868-n:0.00233232/13790912-n:0.00226289/14618253-n:0.00219536
filosófica filosófico AQ0FS00 1 02858231-a:0.00553692/00858053-a:0.00552865
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
legislação legislação NCFS000 1 06535222-n:0.0061575/01125693-n:0.00608386
e e CC 0.999951 -
de de SP 1 -
as o DA0FP0 0.974798 - o PD0FP00 0.0142702 - o PP3FPA0 0.0109322 -
políticas política NCFP000 0.170732 06148148-n:0.00251791/06656408-n:0.00244408/05901508-n:0.00236695/13840719-n:0.00222198/00611972-n:0.00220677
públicas público AQ0FP00 1 00493297-a:0.0105174
de de SP 1 -
esse esse DD0MS0 1 -
período período NCMS000 1 15113229-n:0.00175579/15248564-n:0.00101936/15247518-n:0.000990934/15254028-n:0.000936385/15144371-n:0.000926629/15290337-n:0.000891063/15248020-n:0.000879387/15122231-n:0.000875712/15248269-n:0.000838938/15236475-n:0.000837762/15249236-n:0.000809366/15224486-n:0.000805535/15120346-n:0.00077878/15134490-n:0.000749029
. . Fp 1 -

A o DA0FS0 0.675415 -
Doutrina_do_Direito_Penal_do_Menor doutrina_do_direito_penal_do_menor NP00G00 1 -
, , Fc 1 -
sob sob SP 1 -
a o DA0FS0 0.675415 -
inspiração inspiração NCFS000 1 00836788-n:0.00546308/05797473-n:0.00519214
de de SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
Códigos_Criminais códigos_criminais NP00O00 1 -
de de SP 1 -
1830 1830 Z 1 -
( ( Fpa 1 -
império império NCMS000 1 08058937-n:0.00276594/08405723-n:0.0027426/08557482-n:0.00269365/08052413-n:0.0025769
) ) Fpt 1 -
e e CC 0.999951 -
1890 1890 Z 1 -
( ( Fpa 1 -
república república NCFS000 0.375348 08168978-n:0.00591455/08361329-n:0.00555055
) ) Fpt 1 -
, , Fc 1 -
marca marcar VMIP3S0 0.0188679 00508032-v:0.00391502/00966330-v:0.00278177/00190023-v:0.00264984/00234725-v:0.00255981
uma um DI0FS0 0.903495 -
postura postura NCFS000 0.819307 05079866-n:0.00355717/06196284-n:0.00301948/05082507-n:0.00296543/00755863-n:0.0026754
oficial oficial AQ0CS00 0.8125 01632537-a:0.00332355/01634736-a:0.00267013/01959918-a:0.00262442/01636363-a:0.00259083
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Estado estado NP00O00 1 00024720-n:0.00326351/13945919-n:0.0027498/13920835-n:0.00248243/13920429-n:0.00238182/14418395-n:0.00231173
brasileiro brasileiro AQ0MS00 0.211538 02966829-a:0.0112606
, , Fc 1 -
especialmente especial RG 1 -
em em SP 1 -
as o DA0FP0 1 -
últimas último AO0FP00 0.80531 01010271-a:0.010842
décadas década NCFP000 1 15204983-n:0.0298735
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
século_XIX [s:xix] W 1 -
até até SP 0.764262 -
a o DA0FS0 0.675415 -
primeira primeiro AO0FS00 0.963287 01012990-a:0.0102464
década década NCFS000 1 15204983-n:0.0298735
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
século_XX [s:xx] W 1 -
. . Fp 1 -

De_acordo de_acordo RG 1 -
com com SP 1 -
essa esse DD0FS0 0.887454 -
