<OUTPUT SRCFILE="10956.raw">
* * Fz 1 -
Zenaldo_Rodrigues_Coutinho_Júnior zenaldo_rodrigues_coutinho_júnior NP00SP0 1 -
* * Fz 1 -
nasceu nascer VMIS3S0 1 00360932-v:0.0283004
em em SP 1 -
Belém_do_Pará belém_do_pará NP00G00 1 -
em em SP 1 -
o o DA0MS0 1 -
dia_4_de_fevereiro_de_1961 [??:4/2/1961:??.??:??] W 1 -
, , Fc 1 -
filho filho NCMS000 0.986928 10624074-n:0.0052945/09992837-n:0.00508721/10373998-n:0.00495055/09918248-n:0.00481342/09871229-n:0.00465159/09918762-n:0.00426878
de de SP 1 -
Zenaldo_Rodrigues_Coutinho zenaldo_rodrigues_coutinho NP00SP0 1 -
e e CC 0.999951 -
de de SP 1 -
Maria_Helena_Neves_Coutinho maria_helena_neves_coutinho NP00V00 1 -
. . Fp 1 -

A_partir_de a_partir_de SP 1 -
1982 1982 Z 1 -
, , Fc 1 -
começou começar VMIS3S0 1 00345761-v:0.00549148/02608347-v:0.00303894/01864230-v:0.00279433/00348746-v:0.00272064/01650610-v:0.00251077/01526605-v:0.00245348/02425462-v:0.00241139/01628449-v:0.00239264/00347918-v:0.00224262/00348103-v:0.00222543/02379528-v:0.00219/00348252-v:0.00216933/02609439-v:0.00216411/00347804-v:0.00211403/02439281-v:0.0020592
a a SP 0.313151 -
cursar cursar VMN0000 0.529581 -
direito direito NCMS000 0.936047 -
em em SP 1 -
a o DA0FS0 1 -
Universidade_Federal_do_Pará universidade_federal_do_pará NP00O00 1 -
( ( Fpa 1 -
UFPA ufpa NP00O00 1 -
) ) Fpt 1 -
. . Fp 1 -

Ainda ainda RG 1 00047534-r:0.00746848
em em SP 1 -
o o DA0MS0 1 -
mesmo mesmo PI0MS00 0.176901 -
ano ano NCMS000 1 15202634-n:0.000961549/15203791-n:0.000953171/15203565-n:0.000946347/15153787-n:0.00084119/15204297-n:0.000831081/08238660-n:0.000829669/15201505-n:0.000827783/15202806-n:0.000813946/15203229-n:0.000787715/15273626-n:0.00078061
, , Fc 1 -
iniciou iniciar VMIS3S0 1 00348746-v:0.00175456/00345761-v:0.00168767/02608347-v:0.00167731/01650610-v:0.00155362/00964911-v:0.00141215
sua seu DP3FSS 0.929764 -
