<OUTPUT SRCFILE="1698.raw">
* * Fz 1 -
Alércio_Dias alércio_dias NP00SP0 1 -
* * Fz 1 -
nasceu nascer VMIS3S0 1 00360932-v:0.0242591
em em SP 1 -
Joinvile joinvile NP00G00 1 -
( ( Fpa 1 -
SC sc NP00O00 1 -
) ) Fpt 1 -
em em SP 1 -
o o DA0MS0 1 -
dia_22_de_dezembro_de_1942 [??:22/12/1942:??.??:??] W 1 -
, , Fc 1 -
filho filho NCMS000 0.986928 10624074-n:0.0045425/09992837-n:0.00436227/10373998-n:0.00424457/09918248-n:0.00412653/09871229-n:0.00398716/09918762-n:0.00365903
de de SP 1 -
Feliciano_Galdino_Dias feliciano_galdino_dias NP00SP0 1 -
e e CC 0.999951 -
de de SP 1 -
Maria_Gonçalves_Dias maria_gonçalves_dias NP00SP0 1 -
. . Fp 1 -

Graduado graduar VMP00SM 0.721844 02264179-v:0.00668163/01211665-a:0.00652654
em em SP 1 -
ciências ciência NCFP000 1 05999797-n:0.00313478/05985999-n:0.00282135/05636887-n:0.00280645/06000400-n:0.00275386/05999540-n:0.00266988
jurídicas jurídico AQ0FP00 1 02753724-a:0.0126914
e e CC 0.999951 -
sociais social AQ0CP00 1 02248349-a:0.00255391/02798370-a:0.00245564/02258360-a:0.00240933/01076634-a:0.00236505/02798597-a:0.00227486/02252877-a:0.00220429
por por SP 1 -
a o DA0FS0 1 -
Universidade_Federal_do_Rio_de_Janeiro universidade_federal_do_rio_de_janeiro NP00O00 1 -
( ( Fpa 1 -
UFRJ ufrj NP00O00 1 -
) ) Fpt 1 -
em em SP 1 -
1974 1974 Z 1 -
, , Fc 1 -
assumiu assumir VMIS3S0 1 00632236-v:0.00474442/00524682-v:0.00471106/02381726-v:0.00465916
em em SP 1 -
1979 1979 Z 1 -
a a SP 0.313151 -
presidência presidência NCFS000 1 00596807-n:0.00684967/15266265-n:0.0068295
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Companhia_de_Eletricidade_do_Acre companhia_de_eletricidade_do_acre NP00O00 1 -
( ( Fpa 1 -
Eletroacre eletroacre NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
em em SP 1 -
o o DA0MS0 1 -
governo governo NCMS000 0.914011 08050678-n:0.00497185/01124794-n:0.00477305/00815173-n:0.00440336
de de SP 1 -
Joaquim_Falcão_Macedo joaquim_falcão_macedo NP00V00 1 -
( ( Fpa 1 -
1979-1983 1979-1983 Z 1 -
) ) Fpt 1 -
. . Fp 1 -

Em em SP 1 -
1981 1981 Z 1 -
tornou tornar VMIS3S0 1 -
se se PP3CN00 1 -
