<OUTPUT SRCFILE="10874.raw">
** ** Fz 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
ingressar ingressar VMN0000 0.529581 02310855-v:0.0148732
em em SP 1 -
o o DA0MS0 1 -
Departamento_de_Economia_e_Contabilidade_da_UECE departamento_de_economia_e_contabilidade_da_uece NP00O00 1 -
, , Fc 1 -
onde onde RG 0.980752 -
atuou atuar VMIS3S0 1 00010435-v:0.0161831
como como CS 0.751351 -
professor professor NCMS000 1 10694258-n:0.00262793/10560352-n:0.0024938/10480730-n:0.00225328/10559840-n:0.0020129/09759069-n:0.00197263/10298482-n:0.00192408/10252222-n:0.00186597/05854812-n:0.00176922
por por SP 1 -
mais mais RG 0.999721 00029367-r:0.0109824/00099712-r:0.0092576
de de SP 1 -
três 3 Z 1 -
décadas década NCFP000 1 15204983-n:0.0205998
. . Fp 1 -

Entre entre SP 0.987856 -
1977 1977 Z 1 -
e e CC 0.999951 -
1986 1986 Z 1 -
trabalhou trabalhar VMIS3S0 1 02410855-v:0.00409112/02413480-v:0.00407647/02419773-v:0.0028775/01668603-v:0.00278216/01235355-v:0.00274975/02415039-v:0.00274692/02594979-v:0.00271404
em em SP 1 -
o o DA0MS0 1 -
Banco_Nacional_de_Habitação banco_nacional_de_habitação NP00O00 1 -
( ( Fpa 1 -
BNH bnh NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
exercendo exercer VMG0000 1 02204564-v:0.00524635/01095218-v:0.00516427/02568672-v:0.00512771/01166093-v:0.00424382
as o DA0FP0 0.974798 -
funções função NCFP000 1 00582388-n:0.00512668/00720565-n:0.00491661/05149325-n:0.00467204/00722061-n:0.00458618
de de SP 1 -
economista economista NCCS000 0.482636 10043643-n:0.0222141
e e CC 0.999951 -
de de SP 1 -
gerente gerente NCCS000 0.332655 10014939-n:0.0140535/10125697-n:0.00874563
de de SP 1 -
poupança poupança NCFS000 1 05644727-n:0.0186524
e e CC 0.999951 -
empréstimo empréstimo NCMS000 1 13398953-n:0.005047/01093666-n:0.00460726/01111133-n:0.00459312/06293460-n:0.00444794
. . Fp 1 -

Em em SP 1 -
1987 1987 Z 1 -
passou passar VMIS3S0 1 01212230-v:0.00307707/02709277-v:0.0028735/00106960-v:0.00281871
a a SP 0.313151 -
atuar atuar VMN0000 0.529581 00010435-v:0.00991836
como como CS 0.751351 -
gerente gerente NCCS000 0.332655 10014939-n:0.00703652/10125697-n:0.00437832
adjunto adjunto AQ0MS00 0.66129 00793250-a:0.00874055
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Departamento_de_Crédito_Imobiliário departamento_de_crédito_imobiliário NP00O00 1 -
, , Fc 1 -
em em SP 1 -
o o DA0MS0 1 -
Banco_do_Estado_do_Ceará banco_do_estado_do_ceará NP00O00 1 -
( ( Fpa 1 -
BEC bec NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
permanecendo permanecer VMG0000 1 00117985-v:0.00193611/02731024-v:0.00193044/01857392-v:0.00165863/02731242-v:0.00165088/02639075-v:0.00164714/02727462-v:0.00155021
em em SP 1 -
o o DA0MS0 1 -
cargo cargo NCMS000 1 00586262-n:0.00607406/13945102-n:0.00448429
até até SP 0.764262 -
1990 1990 Z 1 -
, , Fc 1 -
ano ano NCMS000 1 15203791-n:0.00118278/15202634-n:0.00117279/15203565-n:0.00114883/15153787-n:0.00102231/15204297-n:0.00101439/15201505-n:0.00100915/08238660-n:0.00100777/15202806-n:0.000994074/15273626-n:0.000974004/15203229-n:0.000960097
em em SP 1 -
que que PR0CN00 0.584265 -
assumiu assumir VMIS3S0 1 00524682-v:0.00317584/00632236-v:0.00316344/02381726-v:0.00311097
a o DA0FS0 0.675415 -
Secretaria_Municipal_de_Finanças secretaria_municipal_de_finanças NP00O00 1 -
de de SP 1 -
