<OUTPUT SRCFILE="11003.raw">
( ( Fpa 1 -
PCdoB pcdob NP00O00 1 -
) ) Fpt 1 -
. . Fp 1 -

Graduou graduar VMIS3S0 1 -
se se PP3CN00 1 -
em em SP 1 -
comunicação comunicação NCFS000 1 06252138-n:0.00647264/00033020-n:0.00622695/06746580-n:0.00621107/06623614-n:0.00613495
social social AQ0CS00 1 02248349-a:0.00435197/02258360-a:0.00412874/02798370-a:0.00411191/01076634-a:0.00405405/02798597-a:0.00388749/02252877-a:0.00377768
/ / Fh 1 -
jornalismo jornalismo NCMS000 1 06266417-n:0.0127087/06263369-n:0.0119288
em em SP 1 -
a o DA0FS0 1 -
Pontifícia_Universidade_Católica pontifícia_universidade_católica NP00O00 1 -
( ( Fpa 1 -
PUC puc NP00O00 1 -
/ / Fh 1 -
RS rs NP00O00 1 -
) ) Fpt 1 -
em em SP 1 -
2003 2003 Z 1 -
. . Fp 1 -

Assumiu assumir VMIS3S0 1 00632236-v:0.0141458/00524682-v:0.0140918/02381726-v:0.0139263
a o DA0FS0 0.675415 -
vice vice AQ0CN00 1 -
presidência presidência NCFS000 1 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
União_Nacional_dos_Estudantes_do_Rio_Grande_do_Sul união_nacional_dos_estudantes_do_rio_grande_do_sul NP00O00 1 -
entre entre SP 0.987856 -
2003 2003 Z 1 -
e e CC 0.999951 -
2004 2004 Z 1 -
. . Fp 1 -

Em em SP 1 -
esse esse DD0MS0 0.946429 - esse PD0MS00 0.0535714 -
último último AO0MS00 0.866379 01010271-a:0.0135655
ano ano NCMS000 1 15153787-n:0.00557408/15202634-n:0.00350976/15203565-n:0.00349126/15203791-n:0.00345333/15204297-n:0.00304251/08238660-n:0.00303392/15201505-n:0.00302062/15202806-n:0.00297851/15203229-n:0.00287418/15273626-n:0.0028426
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00165973/02051694-v:0.000934806/01955984-v:0.00087448/01995549-v:0.000854426/02072849-v:0.000842998/01904930-v:0.000812651/02009433-v:0.000788768/01957529-v:0.000766245/01935233-v:0.000762146/02102398-v:0.000737739/00341560-v:0.000727389/02685951-v:0.00068442/01882814-v:0.000683448/02058994-v:0.000682045/01846916-v:0.000674895/02102002-v:0.000673789/01849221-v:0.000670976/01841079-v:0.00064154/02686471-v:0.000622317/01839538-v:0.000607881/00343898-v:0.000598636
