<OUTPUT SRCFILE="11270.raw">
** ** Fz 1 -
criança criança NCFS000 1 09917593-n:0.00182423/10624074-n:0.00156493/09992837-n:0.00147607/09827683-n:0.00133786/10285313-n:0.00128441/10084295-n:0.00124168/09918248-n:0.00122791/09918554-n:0.00109344/09976429-n:0.0010876/09833441-n:0.00103251
, , Fc 1 -
sua seu DP3FSS 0.929764 -
família família NCFS000 1 07970721-n:0.0022975/08078020-n:0.00137835/07969695-n:0.00131688/07997703-n:0.00127887/08101937-n:0.00126787/08107499-n:0.00124199/07970406-n:0.00122799/05838765-n:0.00118434/10236304-n:0.00112663/07971141-n:0.00103822
transferiu transferir VMIS3S0 1 -
se se PP3CN00 1 -
para para SP 0.999444 -
o o DA0MS0 0.950254 -
[ [ Fca 1 -
Tocantins tocantim AQ0MP00 0.367364 -
] ] Fct 1 -
( ( Fpa 1 -
http://pt.wikipedia.org/wiki/Tocantins http://pt.wikipedia.org/wiki/tocantins NCMP000 1 -
" " Fe 1 -
Tocantins tocantim NCMP000 0.632636 -
" " Fe 1 -
) ) Fpt 1 -
, , Fc 1 -
onde onde RG 0.980752 -
fixaram fixar VMIS3P0 0.65 01340439-v:0.00722713/01343892-v:0.00585791
residência residência NCFS000 1 03259505-n:0.005889/08558963-n:0.00586689
em em SP 1 -
a o DA0FS0 1 -
cidade cidade NCFS000 1 08524735-n:0.00290102/08665504-n:0.00244179/08626283-n:0.00185689/08226699-n:0.00179887/08672738-n:0.00175361/08226335-n:0.0016208/08177958-n:0.00153467
de de SP 1 -
[ [ Fca 1 -
Araguaína araguaína NP00G00 1 -
] ] Fct 1 -
( ( Fpa 1 -
http://pt.wikipedia.org/wiki/Aragua%C3%ADna http://pt.wikipedia.org/wiki/Aragua%C3%ADna Z 1 -
" " Fe 1 -
Araguaína araguaína NCFS000 1 -
" " Fe 1 -
) ) Fpt 1 -
, , Fc 1 -
região região NCFS000 1 08497294-n:0.00227956/08630039-n:0.00216466/08552138-n:0.00215416/08574314-n:0.00207274/08630985-n:0.00206716/08673395-n:0.00195942
norte norte AQ0CN00 0.152778 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
