<OUTPUT SRCFILE="11028.raw">
** ** Fz 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Câmara_Municipal_de_Cachoeiro_de_Itapemirim câmara_municipal_de_cachoeiro_de_itapemirim NP00O00 1 -
. . Fp 1 -

Em em SP 1 -
o o DA0MS0 1 -
pleito pleito NCMS000 1 01182654-n:0.0139768
de de SP 1 -
outubro_de_1990 [??:??/10/1990:??.??:??] W 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00165129/02051694-v:0.000934669/01955984-v:0.000874866/01995549-v:0.00085418/02072849-v:0.000839151/01904930-v:0.000801737/02009433-v:0.000789322/01935233-v:0.00076288/01957529-v:0.000758522/02102398-v:0.000737699/00341560-v:0.000727948/01882814-v:0.000683225/02058994-v:0.000681979/02685951-v:0.000679156/01846916-v:0.000674628/02102002-v:0.00067259/01849221-v:0.000668999/01841079-v:0.000641537/02686471-v:0.000623071/01839538-v:0.000607266/00343898-v:0.000600198
eleito eleito AQ0MS00 0.5 00846052-a:0.00807855/01294857-a:0.00689449
deputado deputado NCMS000 0.993827 09830400-n:0.00661245/10005934-n:0.00653307
estadual estadual AQ0CS00 1 -
, , Fc 1 -
reelegendo reeleger VMG0000 1 -
se se PP3CN00 1 -
quatro 4 Z 1 -
anos ano NCMP000 1 15202634-n:0.00175565/15203565-n:0.00172494/15203791-n:0.00167773/15153787-n:0.0015252/15204297-n:0.00152031/15201505-n:0.00151164/08238660-n:0.00151096/15202806-n:0.00149/15203229-n:0.0014383/15273626-n:0.00142391
depois depois RG 1 00146281-r:0.0078066/00061203-r:0.00678764
, , Fc 1 -
em em SP 1 -
essa esse DD0FS0 0.887454 - esse PD0FS00 0.112546 -
oportunidade oportunidade NCFS000 1 14483917-n:0.015378
por por SP 1 -
o o DA0MS0 1 -
Partido_Trabalhista_Brasileiro partido_trabalhista_brasileiro NP00O00 1 -
( ( Fpa 1 -
PTB ptb NP00O00 1 -
) ) Fpt 1 -
com com SP 1 -
12.223 12223 Z 1 -
votos voto NCMP000 0.987805 -
. . Fp 1 -

Entre entre SP 0.987856 -
1995 1995 Z 1 -
e e CC 0.999951 -
1997 1997 Z 1 -
presidiu presidir VMIS3S0 1 02443609-v:0.0217815
a o DA0FS0 0.675415 -
Assembleia_Legislativa_do_Estado_do_Espírito_Santo assembleia_legislativa_do_estado_do_espírito_santo NP00O00 1 -
( ( Fpa 1 -
ALES ales NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
o o DA0MS0 0.950254 -
mais mais RG 0.999721 00029367-r:0.0151257/00099712-r:0.0127287
jovem jovem AQ0CS00 0.336957 -
presidente presidente NCMS000 0.998938 10468962-n:0.00557748/10467395-n:0.00555881/10467179-n:0.00490773/10468559-n:0.00475693/10468750-n:0.00465972/10469346-n:0.00403333
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
história história NCFS000 1 06756831-n:0.00227786/06514093-n:0.002261/07221094-n:0.00195795/06757057-n:0.00189644/06369829-n:0.00186634/06681551-n:0.00181904/06155567-n:0.00181636/06515662-n:0.00179227/15121406-n:0.00178832/06156752-n:0.00174395/07220773-n:0.00173324/15123996-n:0.00165731
de de SP 1 -
aquela aquele DD0FS0 0.846535 - aquele PD0FS00 0.153465 -
casa casa NCFS000 0.994169 03544360-n:0.00296121/02913152-n:0.00185978/08559508-n:0.00178156/03259505-n:0.00172156/02726305-n:0.00153057/08078020-n:0.00151818/08558963-n:0.00150469/03546340-n:0.00148445/04417809-n:0.00141619/03545150-n:0.0013579/14513694-n:0.00135141/08060446-n:0.00133378/08559155-n:0.00131259/07971449-n:0.00130606/03002816-n:0.00122297/03180865-n:0.00119213
. . Fp 1 -

Em em SP 1 -
1997 1997 Z 1 -
, , Fc 1 -
afastou afastar VMIS3S0 1 -
se se PP3CN00 1 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
ALES alar VMSP2S0 0.991597 -
para para SP 0.999444 -
assumir assumir VMN0000 0.529581 00632236-v:0.00405975/00524682-v:0.00405386/02381726-v:0.00401202
o o DA0MS0 0.950254 -
cargo cargo NCMS000 1 00586262-n:0.00740273/13945102-n:0.00577155
de de SP 1 -
secretário secretário NCMS000 1 10570019-n:0.00417835/10569744-n:0.00416407/01618503-n:0.0038607
- - Fg 1 -
[ [ Fca 1 -
chefe chefe NCMS000 1 09623038-n:0.0123073
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Casa_Civil casa_civil NP00G00 1 -
] ] Fct 1 -
( ( Fpa 1 -
http://pt.wikipedia.org/w/index.php?title=Chefe_da_Casa_Civil&action=edit&redlink=1 http://pt.wikipedia.org/w/index.php?title=Chefe_da_Casa_Civil&action=edit&redlink=1 Z 1 -
" " Fe 1 -
Chefe chefe NCMS000 1 09623038-n:0.0123073
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Casa_Civil casa_civil NP00O00 1 -
( ( Fpa 1 -
página página NCFS000 1 06256697-n:0.0128632
não não RN 0.99985 00118531-r:0.0122059
existe existir VMIP3S0 0.992958 02603699-v:0.00723519/02653381-v:0.00609277
) ) Fpt 1 -
" " Fe 1 -
) ) Fpt 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Governo_do_Estado_do_Espírito_Santo governo_do_estado_do_espírito_santo NP00O00 1 -
, , Fc 1 -
durante durante SP 0.99651 -
o o DA0MS0 0.950254 -
mandato mandato NCMS000 0.98913 06556481-n:0.00308366/06552984-n:0.00299985/01140658-n:0.00291113/06530789-n:0.00281104
de de SP 1 -
José josé NP00SP0 1 -
    Fz 1 -
Ignácio_Ferreira ignácio_ferreira NP00SP0 1 -
. . Fp 1 -

Em em SP 1 -
o o DA0MS0 1 -
pleito pleito NCMS000 1 01182654-n:0.0167646
de de SP 1 -
outubro_de_1998 [??:??/10/1998:??.??:??] W 1 -
, , Fc 1 -
