<OUTPUT SRCFILE="11474.raw">
cargo cargo NCMS000 1 00586262-n:0.0151435/13945102-n:0.013368
que que PR0CN00 0.584265 -
ocupou ocupar VMIS3S0 1 00600370-v:0.00863158/01126360-v:0.00781186/02649042-v:0.00766889
até até SP 0.764262 -
1982 1982 Z 1 -
. . Fp 1 -

    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
Em em SP 1 -
1985 1985 Z 1 -
, , Fc 1 -
filiou filiar VMIS3S0 1 -
se se PP3CN00 1 -
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Partido_do_Movimento_Democrático_Brasileiro partido_do_movimento_democrático_brasileiro NP00O00 1 -
( ( Fpa 1 -
PMDB pmdb NP00O00 1 -
) ) Fpt 1 -
e e CC 0.999951 -
, , Fc 1 -
em em SP 1 -
o o DA0MS0 1 -
ano ano NCMS000 1 15202634-n:0.00233866/15203565-n:0.00229244/15203791-n:0.00218396/15153787-n:0.00202585/15204297-n:0.00202543/15201505-n:0.00201369/08238660-n:0.00201094/15202806-n:0.00198599/15203229-n:0.00191552/15273626-n:0.00189475
seguinte seguinte AQ0CS00 0.932099 00127948-a:0.00906955/00127815-a:0.00904276
, , Fc 1 -
formou formar VMIS3S0 1 -
se se PP3CN00 1 -
em em SP 1 -
direito direito NCMS000 0.936047 -
por por SP 1 -
o o DA0MS0 1 -
Centro_Universitário_de_João_Pessoa centro_universitário_de_joão_pessoa NP00O00 1 -
( ( Fpa 1 -
UNIPÊ unipê NP00O00 1 -
) ) Fpt 1 -
. . Fp 1 -

Ainda ainda RG 1 00047534-r:0.0136769
em em SP 1 -
1986 1986 Z 1 -
, , Fc 1 -
tornou tornar VMIS3S0 1 -
se se PP3CN00 1 -
advogado advogado NCMS000 0.975904 09774783-n:0.0106815/10249950-n:0.00388553/09775663-n:0.00288251/10623175-n:0.00287827/09840963-n:0.00283784
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
governo governo NCMS000 0.914011 01124794-n:0.00520473/08050678-n:0.00504276/00815173-n:0.0044035
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Paraíba paraíba NP00G00 1 -
, , Fc 1 -
em em SP 1 -
João_Pessoa joão_pessoa NP00SP0 1 -
, , Fc 1 -
e e CC 0.999951 -
, , Fc 1 -
em em SP 1 -
o o DA0MS0 1 -
ano ano NCMS000 1 15202634-n:0.00175531/15203565-n:0.00172117/15203791-n:0.00169317/15153787-n:0.00152608/15204297-n:0.00151958/08238660-n:0.00151291/15201505-n:0.00151186/15202806-n:0.00149008/15203229-n:0.00143859/15273626-n:0.00142349
seguinte seguinte AQ0CS00 0.932099 00127948-a:0.00680238/00127815-a:0.00678224
, , Fc 1 -
alcançou alcançar VMIS3S0 1 02585860-v:0.0127194
o o DA0MS0 0.950254 -
cargo cargo NCMS000 1 00586262-n:0.00884804/13945102-n:0.00687598
de de SP 1 -
defensor defensor NCMS000 0.632633 09774783-n:0.0106815/09614684-n:0.00690591
público público AQ0MS00 0.47277 00493297-a:0.0131474
. . Fp 1 -

    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
Filiou filiar VMIS3S0 1 -
se se PP3CN00 1 -
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Partido_Democrático_Trabalhista partido_democrático_trabalhista NP00O00 1 -
( ( Fpa 1 -
PDT pdt NP00O00 1 -
) ) Fpt 1 -
em em SP 1 -
1990 1990 Z 1 -
, , Fc 1 -
partido partido NCMS000 0.98773 -
por por SP 1 -
o o DA0MS0 1 -
qual qual PR0CS00 0.715254 -
se se PP3CN00 0.861659 -
elegeu eleger VMIS3S0 1 00676864-v:0.00709938/02400760-v:0.00708011/01710481-v:0.00670785
deputado deputado NCMS000 0.993827 09830400-n:0.00990779/10005934-n:0.00979565
estadual estadual AQ0CS00 1 -
em em SP 1 -
o o DA0MS0 1 -
pleito pleito NCMS000 1 01182654-n:0.0209528
de de SP 1 -
outubro_de_1994 [??:??/10/1994:??.??:??] W 1 -
. . Fp 1 -

Líder líder NCCS000 0.996454 09623038-n:0.010709
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
partido partido NCMS000 0.98773 -
em em SP 1 -
a o DA0FS0 1 -
Assembleia_Legislativa_da_Paraíba assembleia_legislativa_da_paraíba NP00O00 1 -
, , Fc 1 -
( ( Fpa 1 -
ALPB alpb NP00O00 1 -
) ) Fpt 1 -
entre entre SP 0.987856 -
1995 1995 Z 1 -
e e CC 0.999951 -
1997 1997 Z 1 -
, , Fc 1 -
em em SP 1 -
o o DA0MS0 1 -
último último AO0MS00 0.866379 01010271-a:0.0101716
ano ano NCMS000 1 15203565-n:0.00132815/15202634-n:0.00132252/15203791-n:0.00129536/15201505-n:0.0011711/15153787-n:0.00114719/15204297-n:0.00114291/08238660-n:0.00113401/15202806-n:0.00112111/15203229-n:0.00108039/15273626-n:0.00106922
e e CC 0.999951 -
em em SP 1 -
1998 1998 Z 1 -
participou participar VMIS3S0 1 02450256-v:0.0108313
, , Fc 1 -
em em SP 1 -
missão missão NCFS000 1 08403225-n:0.00225591/00970645-n:0.00223805/00731222-n:0.00219627/00730984-n:0.00213789/08402442-n:0.00208502
oficial oficial AQ0CS00 0.8125 01632537-a:0.00311207/01634736-a:0.00250373/01959918-a:0.00246172/01636363-a:0.00241156
, , Fc 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Encontro_da_União_Nacional_dos_Legislativos_Estaduais encontro_da_união_nacional_dos_legislativos_estaduais NP00O00 1 -
( ( Fpa 1 -
UNALE unale NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
o o DA0MS0 0.950254 -
primeiro primeiro AO0MS00 0.722944 01012990-a:0.00960526
realizado realizar VMP00SM 0.983871 01617192-v:0.00151048/02526085-v:0.00145556/01640855-v:0.00143371/02561995-v:0.001244/02671880-v:0.00120343/00486018-v:0.00120183/02560767-v:0.00117712/02244603-v:0.00108151/02226028-a:0.00105136
em em SP 1 -
Brasília brasília NP00G00 1 -
e e CC 0.999951 -
o o DA0MS0 0.950254 -
segundo segundo NCMS000 0.105081 15244650-n:0.00421288/15246353-n:0.00234082/15235126-n:0.00208483/15247110-n:0.00203815/15245382-n:0.00203758
em em SP 1 -
São_Paulo são_paulo NP00G00 1 -
. . Fp 1 -

    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
Em em SP 1 -
1998 1998 Z 1 -
, , Fc 1 -
filiou filiar VMIS3S0 1 -
se se PP3CN00 1 -
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
