<OUTPUT SRCFILE="11517.raw">
** ** Fz 1 -
prefeito prefeito NCMS000 1 10303814-n:0.00910299/09880881-n:0.00526018/10304018-n:0.00514437
de de SP 1 -
[ [ Fca 1 -
Parnaíba parnaíba NP00O00 1 -
] ] Fct 1 -
( ( Fpa 1 -
http://pt.wikipedia.org/wiki/Parna%C3%ADba http://pt.wikipedia.org/wiki/Parna%C3%ADba Z 1 -
" " Fe 1 -
Parnaíba parnaíba NP00SP0 1 -
" " Fe 1 -
) ) Fpt 1 -
em em SP 1 -
2004 2004 Z 1 -
. . Fp 1 -

Formou formar VMIS3S0 1 -
se se PP3CN00 1 -
em em SP 1 -
administração administração NCFS000 1 01133281-n:0.00264765/08164585-n:0.00254834/01135952-n:0.00229736/08381165-n:0.00227309/01124794-n:0.00218411/08357784-n:0.00217494
de de SP 1 -
empresas empresa NCFP000 0.996795 08056231-n:0.0131415
, , Fc 1 -
estudou estudar VMIS3S0 1 00597915-v:0.0037084/00607114-v:0.00326296/00607405-v:0.00319629/00599992-v:0.00317469
contabilidade contabilidade NCFS000 1 13354985-n:0.00293765/13405962-n:0.00279317/00618734-n:0.00269941/13929037-n:0.0026852/05662532-n:0.0026037
e e CC 0.999951 -
fez fazer VMIS3S0 0.997449 00120316-v:0.00176673/02367363-v:0.00100352/01645601-v:0.000904498/01752884-v:0.000884426/02526085-v:0.000653056/00010435-v:0.000592065/01652139-v:0.000561101/01640207-v:0.000542281/01712704-v:0.000539044/01714208-v:0.00053789/01752495-v:0.000534736/01739814-v:0.000524755/01719921-v:0.000517327/01642924-v:0.000512182/01629000-v:0.00050987/01627355-v:0.000509555/01754737-v:0.000504305/01438902-v:0.000500327/01628197-v:0.000497101/02560767-v:0.000495835/00665476-v:0.000492843/01431987-v:0.000470685/01685313-v:0.000466703/02374764-v:0.000465261/01649024-v:0.000458105/00012267-v:0.000455024/02599636-v:0.000437997
especialização especialização NCFS000 1 00583747-n:0.0044915/00583461-n:0.00421876/13559782-n:0.00421556
em em SP 1 -
técnicas técnica NCFP000 0.333333 05637558-n:0.00356656/05665146-n:0.00353209/05660268-n:0.00346115/05643190-n:0.00329419
