<OUTPUT SRCFILE="2500.raw">
* * Fz 1 -
Valdemar_de_Oliveira_Guimarães valdemar_de_oliveira_guimarães NP00SP0 1 -
* * Fz 1 -
nasceu nascer VMIS3S0 1 00360932-v:0.0283053
em em SP 1 -
Salvador salvador NP00G00 1 10553805-n:0.0268774
em em SP 1 -
o o DA0MS0 1 -
dia_15_de_dezembro_de_1914 [??:15/12/1914:??.??:??] W 1 -
, , Fc 1 -
filho filho NCMS000 0.986928 10624074-n:0.00536481/09992837-n:0.00510066/10373998-n:0.00495267/09918248-n:0.00481444/09871229-n:0.00465164/09918762-n:0.00427067
de de SP 1 -
Alonso_Ribeiro_Guimarães alonso_ribeiro_guimarães NP00G00 1 -
e e CC 0.999951 -
Virgínia_de_Oliveira_Guimarães virgínia_de_oliveira_guimarães NP00SP0 1 -
. . Fp 1 -

Seu seu DP3MSS 0.957305 -
avô avô NCMS000 1 10143172-n:0.00435872/10142747-n:0.0035537/10142391-n:0.00347203/10375506-n:0.00344633
materno materno AQ0MS00 1 01734884-a:0.00403266/01735346-a:0.00344391/01722529-a:0.00317121/02759367-a:0.0030641
Manuel_Duarte_Oliveira manuel_duarte_oliveira NP00SP0 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00157727/02051694-v:0.000862917/01955984-v:0.000808506/01995549-v:0.000786185/02072849-v:0.000773516/01904930-v:0.000740651/02009433-v:0.000727522/01957529-v:0.000704152/01935233-v:0.000703979/02102398-v:0.000682462/00341560-v:0.000668298/01882814-v:0.000631526/02058994-v:0.000629937/02685951-v:0.000627691/01846916-v:0.000623464/02102002-v:0.00062078/01849221-v:0.00061748/01841079-v:0.00059289/02686471-v:0.000574204/01839538-v:0.000561141/00343898-v:0.000552132
senador senador NCMS000 1 10578471-n:0.0142672
estadual estadual AQ0CS00 1 -
e e CC 0.999951 -
seu seu DP3MSS 0.957305 -
tio tio NCMS000 1 10736091-n:0.00364805/09823502-n:0.00358224/10736259-n:0.00327204/10153414-n:0.00302643
Aníbal_Duarte aníbal_duarte NP00SP0 1 -
d d NCMS000 1 06831498-n:0.0117478
’ ’ Frc 1 -
Oliveira oliveira NCFS000 1 12300840-n:0.0128111
foi ir VMIS3S0 0.5 01835496-v:0.00157727/02051694-v:0.000862917/01955984-v:0.000808506/01995549-v:0.000786185/02072849-v:0.000773516/01904930-v:0.000740651/02009433-v:0.000727522/01957529-v:0.000704152/01935233-v:0.000703979/02102398-v:0.000682462/00341560-v:0.000668298/01882814-v:0.000631526/02058994-v:0.000629937/02685951-v:0.000627691/01846916-v:0.000623464/02102002-v:0.00062078/01849221-v:0.00061748/01841079-v:0.00059289/02686471-v:0.000574204/01839538-v:0.000561141/00343898-v:0.000552132
deputado deputado NCMS000 0.993827 09830400-n:0.00615787/10005934-n:0.00609178
federal federal AQ0CS00 1 01606214-a:0.003092/01107206-a:0.0030122/02725829-a:0.00299379/01106129-a:0.00292284
por por SP 1 -
o o DA0MS0 1 -
Pará pará NP00G00 1 -
( ( Fpa 1 -
1946-1951 1946-1951 Z 1 -
) ) Fpt 1 -
. . Fp 1 -

Transferiu transferir VMIS3S0 1 -
se se PP3CN00 1 -
para para SP 0.999444 -
o o DA0MS0 0.950254 -
Pará pará NP00G00 1 -
e e CC 0.999951 -
