<OUTPUT SRCFILE="11519.raw">
foi ir VMIS3S0 0.5 01835496-v:0.00123358/02051694-v:0.000660774/01955984-v:0.000624718/01995549-v:0.000618234/01904930-v:0.000596977/02072849-v:0.000594207/02009433-v:0.000578264/01957529-v:0.000543624/01935233-v:0.000541742/02102398-v:0.000523812/00341560-v:0.00051378/02685951-v:0.000492737/02058994-v:0.000485352/01882814-v:0.00048378/02102002-v:0.000477885/01846916-v:0.000477879/01849221-v:0.000475716/01841079-v:0.000454101/02686471-v:0.000439861/01839538-v:0.000429293/00343898-v:0.00042319
possível possível AQ0CS00 0.995495 01821266-a:0.00528451/00044353-a:0.00504914
graças graça NCFP000 1 05003590-n:0.00276836/06778102-n:0.00269972/05003423-n:0.00249427/04840715-n:0.00241701
a a SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
mais mais RG 0.999721 00029367-r:0.00710671/00099712-r:0.00599107
de de SP 1 -
30_mil 30000 Z 1 -
votos voto NCMP000 0.987805 -
de de SP 1 -
legenda legenda NCFS000 0.8193 06346891-n:0.00519837/06347588-n:0.00482346
dados dar VMP00PM 0.0718954 02327200-v:0.00101443/02230772-v:0.000693427/02200686-v:0.000648695/02199590-v:0.000590327/02339413-v:0.000584266/00056930-v:0.000580373/02262278-v:0.000560093/02358327-v:0.000520662/02235229-v:0.000518244/02229055-v:0.000517507/02296153-v:0.000472543/02308741-v:0.000470441/02293321-v:0.000468026/02255462-v:0.000447969/02263027-v:0.000447238/02316649-v:0.000437574/02357873-v:0.000421204/02310328-v:0.000414486/01180351-v:0.000410379/02310007-v:0.000409656/02316868-v:0.0004046/02336483-v:0.000404572/02200498-v:0.000398213/01233027-v:0.000389532
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Prona prona NP00V00 1 -
, , Fc 1 -
tendo ter VMG0000 0.996894 00065639-v:0.00378844/00065370-v:0.0026459/02204692-v:0.00260604/02632167-v:0.00250438
sido ser VMP00SM 1 02604760-v:0.011411
a o DA0FS0 0.675415 -
única único AQ0FS00 0.995283 02215087-a:0.00546567/00505853-a:0.00515814
candidata candidato NCFS000 0.498655 09889691-n:0.00282626/09607280-n:0.0025919/09890749-n:0.00245843/10001647-n:0.00233046
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
partido partido NCMS000 0.98773 -
eleita eleito AQ0FS00 0.463795 00846052-a:0.00576344/01294857-a:0.00487015
em em SP 1 -
a o DA0FS0 1 -
cidade cidade NCFS000 1 08524735-n:0.002441/08665504-n:0.00209704/08626283-n:0.00162222/08226699-n:0.00157054/08672738-n:0.00153729/08226335-n:0.00142943/08177958-n:0.00135293
. . Fp 1 -

Dois 2 Z 1 -
anos ano NCMP000 1 15202634-n:0.00191455/15203565-n:0.00187666/15203791-n:0.00181801/15153787-n:0.00166391/15204297-n:0.00165693/15201505-n:0.0016486/08238660-n:0.00164761/15202806-n:0.00162562/15203229-n:0.00156805/15273626-n:0.00155288
mais mais RG 0.999721 00029367-r:0.0109823/00099712-r:0.00925768
tarde tarde RG 0.248768 -
, , Fc 1 -
em em SP 1 -
o o DA0MS0 1 -
pleito pleito NCMS000 1 01182654-n:0.0152433
de de SP 1 -
outubro_de_2006 [??:??/10/2006:??.??:??] W 1 -
, , Fc 1 -
lançada lançar VMP00SF 0.721918 01508368-v:0.00324195/01507143-v:0.00159912/01507792-v:0.00148119/01512465-v:0.00147562/01514655-v:0.00147231/01514525-v:0.00144521/01951480-v:0.00143693/02043190-v:0.00143618/01515196-v:0.00142107/01242689-v:0.00141582/01241614-v:0.00132802
por por SP 1 -
Enéas enéas NP00SP0 1 -
, , Fc 1 -
candidatou candidatar VMIS3S0 1 -
se se PP3CN00 1 -
a o DA0FS0 0.675415 -
deputada deputado NCFS000 0.652137 09830400-n:0.00720531/10005934-n:0.00712418
federal federal AQ0CS00 1 01606214-a:0.00365341/01107206-a:0.00355632/02725829-a:0.00353715/01106129-a:0.00345417
por por SP 1 -
o o DA0MS0 1 -
estado estado NCMS000 0.924757 00024720-n:0.0042818/13920835-n:0.00332159/13920429-n:0.00324551/13945919-n:0.00322174/14418395-n:0.00315243
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Rio_de_Janeiro rio_de_janeiro NP00G00 1 -
. . Fp 1 -

Foi ir VMIS3S0 0.5 01835496-v:0.00100154/02051694-v:0.000535227/01955984-v:0.000512128/01995549-v:0.000495285/02072849-v:0.000481857/01904930-v:0.00047968/02009433-v:0.000455765/01957529-v:0.000442016/01935233-v:0.000437605/02102398-v:0.000429734/00341560-v:0.000417204/02685951-v:0.000403602/01882814-v:0.000392329/02058994-v:0.000392011/01846916-v:0.000387552/02102002-v:0.000386213/01849221-v:0.000385076/01841079-v:0.000370885/02686471-v:0.000355978/01839538-v:0.000350181/00343898-v:0.000344503
eleita eleito AQ0FS00 0.463795 00846052-a:0.00465654/01294857-a:0.00394186
com com SP 1 -
mais mais RG 0.999721 00029367-r:0.0057531/00099712-r:0.00484974
de de SP 1 -
23_mil 23000 Z 1 -
votos voto NCMP000 0.987805 -
e e CC 0.999951 -
logo logo RG 0.994911 00061203-r:0.0077654
após após SP 1 -
as o DA0FP0 0.974798 -
eleições eleição NCFP000 1 00181781-n:0.00261872/05790944-n:0.00221111/00183505-n:0.00206095/00180962-n:0.00197262
passou passar VMIS3S0 1 01212230-v:0.00263837/02709277-v:0.00246135/00106960-v:0.00241668
a a SP 0.313151 -
integrar integrar VMN0000 0.329032 00466651-v:0.00284151/00642980-v:0.00266364/00467451-v:0.0026054
as o DA0FP0 0.974798 -
fileiras fileira NCFP000 1 08431437-n:0.00760233
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
recém-criado recém-criado NCMS000 0.749637 -
Partido_da_República partido_da_república NP00O00 1 -
( ( Fpa 1 -
[ [ Fca 1 -
PR pr NP00O00 1 -
] ] Fct 1 -
( ( Fpa 1 -
http://pt.wikipedia.org/wiki/Partido_Republicano_(Brasil) http://pt.wikipedia.org/wiki/partido_republicano_(brasil) VMN0000 0.0592876 -
" " Fe 1 -
Partido_Republicano partido_republicano NP00SP0 1 -
( ( Fpa 1 -
Brasil brasil NP00G00 1 12489524-n:0.00817702
) ) Fpt 1 -
" " Fe 1 -
) ) Fpt 1 -
) ) Fpt 1 -
, , Fc 1 -
