<OUTPUT SRCFILE="11563.raw">
1956 1956 Z 1 -
. . Fp 1 -

Em em SP 1 -
seguida seguida NCFS000 0.488372 -
graduou graduar VMIS3S0 1 -
se se PP3CN00 1 -
em em SP 1 -
direito direito NCMS000 0.936047 -
por por SP 1 -
a o DA0FS0 1 -
    Fz 1 -
[ [ Fca 1 -
Universidade_Federal_de_Santa_Catarina universidade_federal_de_santa_catarina NP00O00 1 -
] ] Fct 1 -
( ( Fpa 1 -
http://pt.wikipedia.org/wiki/Universidade_Federal_de_Santa_Catarina http://pt.wikipedia.org/wiki/universidade_federal_de_santa_catarina NCFS000 0.625053 -
" " Fe 1 -
Universidade_Federal_de_Santa_Catarina universidade_federal_de_santa_catarina NP00O00 1 -
" " Fe 1 -
) ) Fpt 1 -
. . Fp 1 -

Vereador vereador NCMS000 1 09944763-n:0.00451006/09782397-n:0.00415262
em em SP 1 -
Florianópolis florianópolis NP00G00 1 -
de de SP 1 -
1969 1969 Z 1 -
a a SP 0.313151 -
1972 1972 Z 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00105018/02051694-v:0.00056195/01955984-v:0.000539465/01995549-v:0.000520765/02072849-v:0.00050631/01904930-v:0.000501613/02009433-v:0.000480245/01935233-v:0.000466119/01957529-v:0.000464304/02102398-v:0.000447366/00341560-v:0.000445402/01882814-v:0.000411709/02058994-v:0.000411687/02685951-v:0.000410901/01846916-v:0.000407184/02102002-v:0.000406078/01849221-v:0.000404508/01841079-v:0.000386551/02686471-v:0.000373799/00343898-v:0.000366795/01839538-v:0.000365282
eleito eleito AQ0MS00 0.5 00846052-a:0.00487856/01294857-a:0.00414841
deputado deputado NCMS000 0.993827 09830400-n:0.00396978/10005934-n:0.00393565
estadual estadual AQ0CS00 1 -
em em SP 1 -
1974 1974 Z 1 -
em em SP 1 -
a o DA0FS0 1 -
legenda legenda NCFS000 0.8193 06346891-n:0.00441833/06347588-n:0.00410006
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Aliança_Renovadora_Nacional aliança_renovadora_nacional NP00O00 1 -
( ( Fpa 1 -
Arena arena NP00O00 1 02736511-n:0.00819396
) ) Fpt 1 -
, , Fc 1 -
partido partido NCMS000 0.98773 -
que que PR0CN00 0.584265 -
dava dar VMII3S0 0.495843 02327200-v:0.000870344/02230772-v:0.0005909/02200686-v:0.000550526/00056930-v:0.000549753/02339413-v:0.000512471/02199590-v:0.000505519/02235229-v:0.000446438/02358327-v:0.00044595/02229055-v:0.000439562/02262278-v:0.000438551/02308741-v:0.000408254/02293321-v:0.000404863/02296153-v:0.000398026/02255462-v:0.000386168/02263027-v:0.000380359/02316649-v:0.000376208/02357873-v:0.000359475/02310328-v:0.000352243/01180351-v:0.000350904/02310007-v:0.000350237/02336483-v:0.000344281/02316868-v:0.000343014/02200498-v:0.00033864/01233027-v:0.000331198
sustentação sustentação NCFS000 1 01216191-n:0.00817458
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
regime regime NCMS000 1 05909585-n:0.00773947
militar militar AQ0CS00 0.662338 -
instaurado instaurar VMP00SM 0.992504 -
em em SP 1 -
o o DA0MS0 1 -
país país NCMS000 1 08168978-n:0.00239572/08654360-n:0.00237596/08544813-n:0.0023384/08552138-n:0.00229356
em em SP 1 -
1964 1964 Z 1 -
. . Fp 1 -
    Fz 1 -
De de SP 1 -
1979 1979 Z 1 -
e e CC 0.999951 -
1983 1983 Z 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00105018/02051694-v:0.00056195/01955984-v:0.000539465/01995549-v:0.000520765/02072849-v:0.00050631/01904930-v:0.000501613/02009433-v:0.000480245/01935233-v:0.000466119/01957529-v:0.000464304/02102398-v:0.000447366/00341560-v:0.000445402/01882814-v:0.000411709/02058994-v:0.000411687/02685951-v:0.000410901/01846916-v:0.000407184/02102002-v:0.000406078/01849221-v:0.000404508/01841079-v:0.000386551/02686471-v:0.000373799/00343898-v:0.000366795/01839538-v:0.000365282
secretário secretário NCMS000 1 10570019-n:0.00292261/10569744-n:0.00290806/01618503-n:0.00270296
de de SP 1 -
Administração administração NP00O00 1 01124794-n:0.00432233/08164585-n:0.00179118/01133281-n:0.00169896/08381165-n:0.00149262/01135952-n:0.0014871/08357784-n:0.00147518
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
governo governo NCMS000 0.914011 01124794-n:0.00432233/08050678-n:0.00330349/00815173-n:0.00264383
estadual estadual AQ0CS00 1 -
de de SP 1 -
Jorge_Bornhausen jorge_bornhausen NP00SP0 1 -
. . Fp 1 -

Em em SP 1 -
1982 1982 Z 1 -
, , Fc 1 -
