<OUTPUT SRCFILE="11218.raw">
Rodrigo_Felinto_Ibarra_Epitácio_Maia rodrigo_felinto_ibarra_epitácio_maia NP00SP0 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00355248/02051694-v:0.00185458/01955984-v:0.00173004/01995549-v:0.00168916/02072849-v:0.00167742/02009433-v:0.00157063/01904930-v:0.00156299/01935233-v:0.00151878/01957529-v:0.00149967/02102398-v:0.00146656/00341560-v:0.00144439/01882814-v:0.00136748/02058994-v:0.00136483/02685951-v:0.00135198/01846916-v:0.00134746/02102002-v:0.00134093/01849221-v:0.00133357/01841079-v:0.0012829/02686471-v:0.00124305/01839538-v:0.00121505/00343898-v:0.00119545
criado criar VMP00SM 0.497027 01617192-v:0.00636922/01621555-v:0.00621559/01640207-v:0.00595366/01753788-v:0.00592892/01685313-v:0.00531241
em em SP 1 -
o o DA0MS0 1 -
Rio_de_Janeiro rio_de_janeiro NP00G00 1 -
. . Fp 1 -

Cursou cursar VMIS3S0 1 -
o o DA0MS0 0.950254 -
ensino ensino NCMS000 0.993421 00883297-n:0.0136716
fundamental fundamental AQ0CS00 0.596154 02349604-a:0.00288176/00656132-a:0.00248066/01277097-a:0.00245724/01856419-a:0.00242001/00901060-a:0.00240382
e e CC 0.999951 -
médio médio AQ0MS00 0.97619 01531957-a:0.0118267
em em SP 1 -
o o DA0MS0 1 -
tradicional tradicional AQ0CS00 1 00611047-a:0.00669025/01690767-a:0.00615855
Colégio_Santo_Agostinho colégio_santo_agostinho NP00G00 1 -
e e CC 0.999951 -
em em SP 1 -
1989 1989 Z 1 -
ingressou ingressar VMIS3S0 1 02310855-v:0.0125866
em em SP 1 -
o o DA0MS0 1 -
curso curso NCMS000 0.980769 08679972-n:0.00145713/09387222-n:0.00144595/08377085-n:0.00142886/00884466-n:0.0014234/13827426-n:0.00141411/08238463-n:0.00130552/08238660-n:0.00130185/08680888-n:0.00129644/00038262-n:0.00122768/08681222-n:0.00119933/08461595-n:0.0011318
de de SP 1 -
economia economia NCFS000 1 04893787-n:0.00277849/06149484-n:0.00270467/00192613-n:0.00268111/05644727-n:0.00267733/08366753-n:0.00264574
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Faculdade_Cândido_Mendes faculdade_cândido_mendes NP00O00 1 -
, , Fc 1 -
que que PR0CN00 0.584265 -
não não RN 0.99985 00118531-r:0.0131463
chegou chegar VMIS3S0 1 00634472-v:0.00690865/00208055-v:0.00493066/02015384-v:0.00431966
a a SP 0.313151 -
concluir concluir VMN0000 0.329032 00634472-v:0.00690865/00636574-v:0.00206763/01022420-v:0.00195282/00944924-v:0.00194431/00352826-v:0.00179837/00636441-v:0.00170748/00945125-v:0.0016197/00698855-v:0.00152246/00715074-v:0.00146847
. . Fp 1 -

Começou começar VMIS3S0 1 00345761-v:0.0055032/02608347-v:0.0030414/01864230-v:0.00279473/00348746-v:0.00272412/01650610-v:0.00251411/01526605-v:0.00245402/02425462-v:0.00242315/01628449-v:0.00239662/00347918-v:0.00224365/00348103-v:0.00222683/02379528-v:0.00219281/00348252-v:0.00217141/02609439-v:0.00216454/00347804-v:0.00211628/02439281-v:0.00206456
a a SP 0.313151 -
trabalhar trabalhar VMN0000 0.328 02413480-v:0.00723964/02410855-v:0.00618913/02419773-v:0.00510509/01668603-v:0.00500126/01235355-v:0.0049484/02415039-v:0.00493697/02594979-v:0.00483005
em em SP 1 -
1990 1990 Z 1 -
como como CS 0.751351 -
analista analista NCCS000 0.563317 09791530-n:0.0323122
financeiro financeiro AQ0MS00 0.97619 02847894-a:0.0367965
em em SP 1 -
o o DA0MS0 1 -
Banco_BMG banco_bmg NP00O00 1 -
. . Fp 1 -

Em em SP 1 -
1993 1993 Z 1 -
, , Fc 1 -
tornou tornar VMIS3S0 1 -
se se PP3CN00 1 -
analista analista NCCS000 0.563317 09791530-n:0.014695
financeiro financeiro AQ0MS00 0.97619 02847894-a:0.0167272
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Banco_Icatu banco_icatu NP00O00 1 -
, , Fc 1 -
onde onde RG 0.980752 -
trabalhou trabalhar VMIS3S0 1 02413480-v:0.00329194/02410855-v:0.00281404/02419773-v:0.00232037/01668603-v:0.00227531/01235355-v:0.00224968/02415039-v:0.00224398/02594979-v:0.00219597
até até SP 0.764262 -
1997 1997 Z 1 -
, , Fc 1 -
quando quando RG 0.998992 -
iniciou iniciar VMIS3S0 1 00348746-v:0.00348577/00345761-v:0.00334525/02608347-v:0.00333962/01650610-v:0.00309748/00964911-v:0.00281871
sua seu DP3FSS 0.929764 -
trajetória trajetória NCFS000 1 11481334-n:0.0152831
em em SP 1 -
a o DA0FS0 1 -
vida vida NCFS000 0.994169 00017222-n:0.00146302/04632157-n:0.00140196/15141059-n:0.00124359/15140892-n:0.00122835/04632963-n:0.00112897/13961642-n:0.00108525/15140405-n:0.00104966/11473291-n:0.000985936/13963192-n:0.000977493/15140744-n:0.000974908/13961399-n:0.000959342/00006269-n:0.000945582/05810561-n:0.000945343/09178727-n:0.000940301/10260706-n:0.000909898
pública público AQ0FS00 1 00493297-a:0.0143427
. . Fp 1 -

Em em SP 1 -
1996 1996 Z 1 -
participou participar VMIS3S0 1 02450256-v:0.0157429
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
campanha campanha NCFS000 1 00798245-n:0.00528094/07472929-n:0.00434538/09393605-n:0.00381234/00968155-n:0.00365729
de de SP 1 -
Luís_Paulo_Conde luís_paulo_conde NP00SP0 1 -
para para SP 0.999444 -
a o DA0FS0 0.675415 -
prefeitura prefeitura NCFS000 1 03036022-n:0.0145031
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Rio_de_Janeiro rio_de_janeiro NP00G00 1 -
– – Fz 1 -
candidatura candidatura NCFS000 1 00799537-n:0.0155918
lançada lançar VMP00SF 0.721918 01508368-v:0.00324359/01507143-v:0.00159991/01507792-v:0.00148126/01512465-v:0.00147606/01514655-v:0.00147363/01514525-v:0.00144527/02043190-v:0.00143765/01951480-v:0.00143344/01515196-v:0.00141928/01242689-v:0.00141599/01241614-v:0.00132802
por por SP 1 -
seu seu DP3MSS 0.957305 -
pai pai NCMS000 1 10080869-n:0.00478322/10399491-n:0.00383377/09988063-n:0.00362053/10944902-n:0.0034351
, , Fc 1 -
então então RG 0.994792 -
prefeito prefeito NCMS000 1 10303814-n:0.00912709/09880881-n:0.00540715/10304018-n:0.00514608
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
cidade cidade NCFS000 1 08524735-n:0.00468995/08626283-n:0.0037175/08665504-n:0.00349751/08226699-n:0.00245588/08672738-n:0.00237707/08226335-n:0.00227793/08177958-n:0.00209116
. . Fp 1 -

Com com SP 1 -
a o DA0FS0 0.675415 -
vitória vitória NCFS000 1 07473441-n:0.00562558/07354731-n:0.00372962/07528097-n:0.00362762/07319103-n:0.00361341/13259917-n:0.00346777/09567913-n:0.00328557
de de SP 1 -
Conde conde NP00G00 1 10041373-n:0.0117886/09969218-n:0.0106474
e e CC 0.999951 -
sua seu DP3FSS 0.929764 -
posse posse NCFS000 1 00032613-n:0.0104944/00809702-n:0.0100134
em em SP 1 -
1997 1997 Z 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00253719/02051694-v:0.00140127/01955984-v:0.00131402/01995549-v:0.00127399/02072849-v:0.00125666/01904930-v:0.00118795/02009433-v:0.0011809/01935233-v:0.00115907/01957529-v:0.00114084/02102398-v:0.0011071/00341560-v:0.00108502/02058994-v:0.00102548/01882814-v:0.00102541/02685951-v:0.0010167/01846916-v:0.00101521/02102002-v:0.00100824/01849221-v:0.00100473/01841079-v:0.000962403/02686471-v:0.000932966/01839538-v:0.00091093/00343898-v:0.000896864
nomeado nomear VMP00SM 0.97619 02475922-v:0.00395801/02396205-v:0.00388351/02396716-v:0.00371769/01028748-v:0.0036866/02400760-v:0.00358777/02401523-v:0.00351072
secretário secretário NCMS000 1 10570019-n:0.00727811/10569744-n:0.00725947/01618503-n:0.00675511
