lemma,poscode,surface
AAP — Aquisição e Administação de Patrimônios,3,AAP — Aquisição e Administação de Patrimônios
ABAG,3,ABAG
ABDIB,3,ABDIB
ABE,3,ABE
ABERT,3,ABERT
ABI,3,ABI
ABIFA,3,ABIFA
ABIMAQ,3,ABIMAQ
ABL,3,ABL
ABM,3,ABM
ABRH Associação Brasileira de Recursos Hídricos,3,ABRH Associação Brasileira de Recursos Hídricos
ABRINQ,3,ABRINQ
ACI,3,ACI
ACIJ,3,ACIJ
ACIT,3,ACIT
ACRJ,3,ACRJ
ACSP,3,ACSP
ADEMI,3,ADEMI
AEB,3,AEB
AGRISHOW,3,AGRISHOW
ALERJ,3,ALERJ
ALES,3,ALES
ALESP,3,ALESP
ALGO,3,ALGO
ALPB,3,ALPB
ALSC,3,ALSC
Companhia Nacional de Escolas,3,Companhia Nacional de Escolas
AMB,3,AMB
AML,3,AML
ANA,3,ANA
ANC,3,ANC
APEOESP,3,APEOESP
APPC,3,APPC
Abrigo Lar dos Velhos Vicentini,3,Abrigo Lar dos Velhos Vicentini
Academia Alagoana de Letras,3,Academia Alagoana de Letras
Instituto Histórico e Geográfico de Alagoas,3,Instituto Histórico e Geográfico de Alagoas
Instituto Histórico e Geográfico de Sergipe,3,Instituto Histórico e Geográfico de Sergipe
Academia Brasileira de Ciências,3,Academia Brasileira de Ciências
Academia Brasileira de Ciências Econômicas e Administrativas,3,Academia Brasileira de Ciências Econômicas e Administrativas
Academia Brasileira de Ciências Sociais e Políticas,3,Academia Brasileira de Ciências Sociais e Políticas
Academia Brasileira de Direito Empresarial,3,Academia Brasileira de Direito Empresarial
Academia Brasileira de Letras,3,Academia Brasileira de Letras
Academia Brasileira de Música,3,Academia Brasileira de Música
Academia Brasiliense de Letras,3,Academia Brasiliense de Letras
Academia Cultural de Curitiba (ACCUR),3,Academia Cultural de Curitiba (ACCUR)
Academia Fluminense de Letras,3,Academia Fluminense de Letras
Academia Friburguense de Letras,3,Academia Friburguense de Letras
Academia Mineira de Letras,3,Academia Mineira de Letras
Academia Nacional de Direito,3,Academia Nacional de Direito
Academia Nacional de Medicina,3,Academia Nacional de Medicina
Academia Paraibana de Letras,3,Academia Paraibana de Letras
Academia Paraibana de Medicina,3,Academia Paraibana de Medicina
Academia Paulista de Educação e da Ordem dos Velhos Jornalistas de São Paulo,3,Academia Paulista de Educação e da Ordem dos Velhos Jornalistas de São Paulo
Academia Paulista de Jornalismo,3,Academia Paulista de Jornalismo
Academia Paulista de Letras,3,Academia Paulista de Letras
Academia Sergipana de Letras,3,Academia Sergipana de Letras
Academia de Cultura de Foz do Iguaçu,3,Academia de Cultura de Foz do Iguaçu
Academia de Letras Jurídicas da Bahia,3,Academia de Letras Jurídicas da Bahia
Academia de Letras da Bahia,3,Academia de Letras da Bahia
Academia de Letras de Campo Mourão,3,Academia de Letras de Campo Mourão
Acesita,3,Acesita
Adepol do Brasil,3,Adepol do Brasil
Administradora Dibens,3,Administradora Dibens
Aeroclube Brasileiro,3,Aeroclube Brasileiro
Affemg,3,Affemg
Agricultural Mortgage Corporation,3,Agricultural Mortgage Corporation
Agrinco do Brasil,3,Agrinco do Brasil
Agro-Industrial Vale do Brejo Ltda,3,Agro-Industrial Vale do Brejo Ltda
Agroindustrial Suassuna,3,Agroindustrial Suassuna
Agroindustrial Vale do Brejo Ltda,3,Agroindustrial Vale do Brejo Ltda
Agroindustrial e Comercial Cavalcanti Ltda,3,Agroindustrial e Comercial Cavalcanti Ltda
Agroindústria Piauí,3,Agroindústria Piauí
Agulhas Negras Indústria e Comércio de Móveis,3,Agulhas Negras Indústria e Comércio de Móveis
Agência Especial de Financiamento Industrial (Finame),3,Agência Especial de Financiamento Industrial (Finame)
Agência Estadual de Regulação dos Serviços Públicos,3,Agência Estadual de Regulação dos Serviços Públicos
Agência Nacional de Aviação Civil (Anac),3,Agência Nacional de Aviação Civil (Anac)
Agência Nacional de Telecomunicações (ANATEL),3,Agência Nacional de Telecomunicações (ANATEL)
Agência Nacional de Águas (ANA),3,Agência Nacional de Águas (ANA)
Agência Promotora de Exportações (Apex),3,Agência Promotora de Exportações (Apex)
Agência de Desenvolvimento de Pernambuco,3,Agência de Desenvolvimento de Pernambuco
Agência de Desenvolvimento do Ceará (Adece),3,Agência de Desenvolvimento do Ceará (Adece)
Agência de Desenvolvimento do Estado do Tocantins,3,Agência de Desenvolvimento do Estado do Tocantins
Agência de Regulação do Estado da Paraíba,3,Agência de Regulação do Estado da Paraíba
Ajufe,3,Ajufe
Ala Moça,3,Ala Moça
Alcatel — Telecomunicações,3,Alcatel — Telecomunicações
Alcântara Machado Comércio e Empreendimentos,3,Alcântara Machado Comércio e Empreendimentos
Alerj,3,Alerj
Aliança Liberal,3,Aliança Liberal
Aliança Nacional Libertadora (ANL),3,Aliança Nacional Libertadora (ANL)
Aliança Renovadora Nacional (Arena),3,Aliança Renovadora Nacional (Arena)
Amazonas,3,Amazonas
Amazônia Mineração,3,Amazônia Mineração
Amforp,3,Amforp
Amparo Maternal,3,Amparo Maternal
América Futebol Clube,3,América Futebol Clube
Ana Néri Hospitalar Ltda,3,Ana Néri Hospitalar Ltda
Anac,3,Anac
Anamages,3,Anamages
Anamatra,3,Anamatra
Anatel,3,Anatel
Anderson Clayton,3,Anderson Clayton
Anglo-Turkish Society,3,Anglo-Turkish Society
Ansef,3,Ansef
Aracruz Celulose,3,Aracruz Celulose
Arena,3,Arena
Ariquemes Country Club,3,Ariquemes Country Club
Artex S,3,Artex S
Artplan,3,Artplan
Asilo da Velhice e Mendicidade,3,Asilo da Velhice e Mendicidade
Assembleia,3,Assembleia
Assembleia Legislativa,3,Assembleia Legislativa
Assembleia Nacional Constituinte,3,Assembleia Nacional Constituinte
Assembléia Constituinte,3,Assembléia Constituinte
Assembléia Estadual Constituinte,3,Assembléia Estadual Constituinte
Assembléia Nacional de Cuba,3,Assembléia Nacional de Cuba
Assembléia Provincial no Império,3,Assembléia Provincial no Império
Assistência à Infância,3,Assistência à Infância
